company_name_canonical,senior_share_2024,senior_share_2026,staff_share_2024,staff_share_2026,n_total_2024,n_total_2026,senior_delta,staff_delta
Zipline,0.6923076923076923,0.5625,0.15384615384615385,0.125,13.0,16.0,-0.1298076923076923,-0.028846153846153855
Robert Half,0.35185185185185186,0.2222222222222222,0.0,0.012345679012345678,54.0,81.0,-0.12962962962962965,0.012345679012345678
TEKsystems,0.25806451612903225,0.13636363636363635,0.0,0.00909090909090909,31.0,110.0,-0.1217008797653959,0.00909090909090909
Photon,0.18,0.058823529411764705,0.0,0.0,50.0,17.0,-0.12117647058823529,0.0
Adobe,0.5555555555555556,0.4409448818897638,0.1111111111111111,0.023622047244094488,18.0,127.0,-0.1146106736657918,-0.08748906386701662
TikTok,0.2,0.08666666666666667,0.0,0.0,15.0,150.0,-0.11333333333333334,0.0
Tata Consultancy Services,0.25,0.13740458015267176,0.0,0.0,72.0,131.0,-0.11259541984732824,0.0
Walmart,0.45930232558139533,0.34763948497854075,0.1744186046511628,0.26609442060085836,172.0,233.0,-0.11166284060285459,0.09167581594969557
SAIC,0.34782608695652173,0.24,0.0,0.0,46.0,25.0,-0.10782608695652174,0.0
Aditi Consulting,0.10714285714285714,0.0,0.0,0.0,28.0,33.0,-0.10714285714285714,0.0
Ledgent Technology,0.35294117647058826,0.25,0.0,0.15625,17.0,32.0,-0.10294117647058826,0.15625
Prudential Financial,0.45454545454545453,0.35714285714285715,0.0,0.0,11.0,14.0,-0.09740259740259738,0.0
Rivian,0.6176470588235294,0.53125,0.3235294117647059,0.625,34.0,32.0,-0.08639705882352944,0.3014705882352941
Amazon,0.31213872832369943,0.22686567164179106,0.0,0.0,173.0,335.0,-0.08527305668190838,0.0
Apex Systems,0.2564102564102564,0.19653179190751446,0.0,0.0,78.0,173.0,-0.059878464502741924,0.0
Capgemini,0.21739130434782608,0.17355371900826447,0.0,0.008264462809917356,23.0,121.0,-0.04383758533956161,0.008264462809917356
Harnham,0.6111111111111112,0.5714285714285714,0.1111111111111111,0.08571428571428572,18.0,35.0,-0.039682539682539764,-0.02539682539682539
Rose International,0.1,0.06666666666666667,0.0,0.0,10.0,15.0,-0.03333333333333334,0.0
FIS,0.43333333333333335,0.4,0.016666666666666666,0.0,60.0,15.0,-0.033333333333333326,-0.016666666666666666
Piper Companies,0.2916666666666667,0.26262626262626265,0.0,0.0,24.0,99.0,-0.029040404040404033,0.0
Synechron,0.27586206896551724,0.25396825396825395,0.0,0.0,29.0,63.0,-0.021893814997263283,0.0
Innovative Defense Technologies (IDT),0.2,0.18181818181818182,0.0,0.0,10.0,11.0,-0.018181818181818188,0.0
Tesla,0.4177215189873418,0.4,0.0759493670886076,0.0,79.0,20.0,-0.017721518987341756,-0.0759493670886076
Trimble Inc.,0.07142857142857142,0.05555555555555555,0.0,0.0,14.0,36.0,-0.015873015873015872,0.0
Guidehouse,0.15384615384615385,0.14285714285714285,0.0,0.0,13.0,14.0,-0.010989010989011005,0.0
Experis,0.25,0.2413793103448276,0.0,0.017241379310344827,44.0,58.0,-0.008620689655172403,0.017241379310344827
Stripe,0.0,0.0,0.17391304347826086,0.15,23.0,20.0,0.0,-0.02391304347826087
Quantum World Technologies Inc.,0.0,0.0,0.0,0.0,14.0,11.0,0.0,0.0
Collabera,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0
Captivation,0.0,0.0,0.0,0.0,41.0,23.0,0.0,0.0
Phaxis,0.1,0.1,0.0,0.0,10.0,10.0,0.0,0.0
Cognizant,0.5,0.509090909090909,0.0,0.0,20.0,55.0,0.009090909090909038,0.0
Akkodis,0.20454545454545456,0.22388059701492538,0.0,0.014925373134328358,44.0,67.0,0.019335142469470823,0.014925373134328358
BLUE ORIGIN,0.2358490566037736,0.2558139534883721,0.0,0.0,106.0,86.0,0.019964896884598515,0.0
The Judge Group,0.3076923076923077,0.3333333333333333,0.0,0.06666666666666667,39.0,15.0,0.025641025641025605,0.06666666666666667
myGwork - LGBTQ+ Business Community,0.25,0.2803738317757009,0.0,0.037383177570093455,12.0,107.0,0.03037383177570091,0.037383177570093455
L3Harris Technologies,0.3,0.3392857142857143,0.0,0.017857142857142856,70.0,56.0,0.03928571428571431,0.017857142857142856
Insight Global,0.09836065573770492,0.14049586776859505,0.0,0.0,61.0,121.0,0.04213521203089013,0.0
Luxoft,0.4117647058823529,0.45454545454545453,0.0,0.0,17.0,11.0,0.04278074866310161,0.0
Zscaler,0.35714285714285715,0.4,0.5714285714285714,0.7333333333333333,14.0,15.0,0.04285714285714287,0.16190476190476188
Cloudflare,0.19230769230769232,0.23684210526315788,0.0,0.0,26.0,38.0,0.04453441295546556,0.0
Wells Fargo,0.2702702702702703,0.3194444444444444,0.0,0.0,37.0,288.0,0.049174174174174134,0.0
Franklin Fitch,0.2,0.25,0.0,0.0,10.0,16.0,0.04999999999999999,0.0
Rippling,0.4375,0.4897959183673469,0.5625,0.5714285714285714,16.0,49.0,0.05229591836734693,0.008928571428571397
"Mission Technologies, a division of HII",0.19117647058823528,0.25,0.0,0.0,68.0,32.0,0.05882352941176472,0.0
EPITEC,0.0,0.06060606060606061,0.0,0.0,16.0,33.0,0.06060606060606061,0.0
hackajob,0.2,0.2638888888888889,0.0,0.023148148148148147,10.0,216.0,0.06388888888888888,0.023148148148148147
"Onyx Point, LLC.",0.0,0.06666666666666667,0.0,0.0,17.0,15.0,0.06666666666666667,0.0
The Walt Disney Company,0.39215686274509803,0.4626865671641791,0.0,0.05970149253731343,51.0,67.0,0.07052970441908107,0.05970149253731343
"Conch Technologies, Inc",0.0,0.07142857142857142,0.0,0.0,68.0,14.0,0.07142857142857142,0.0
ICE,0.6538461538461539,0.7254901960784313,0.0,0.0,26.0,51.0,0.0716440422322775,0.0
Open Systems Technologies,0.1276595744680851,0.2,0.0,0.0,47.0,15.0,0.07234042553191491,0.0
Amazon Web Services (AWS),0.2018348623853211,0.2743362831858407,0.0,0.0,109.0,339.0,0.07250142080051958,0.0
BCforward,0.07692307692307693,0.15384615384615385,0.0,0.0,13.0,39.0,0.07692307692307693,0.0
KLA,0.20833333333333334,0.2857142857142857,0.0,0.0,24.0,21.0,0.07738095238095236,0.0
"LanceSoft, Inc.",0.0,0.08333333333333333,0.0,0.0,15.0,12.0,0.08333333333333333,0.0
Motion Recruitment,0.27419354838709675,0.35807860262008734,0.04838709677419355,0.034934497816593885,124.0,229.0,0.08388505423299059,-0.013452598957599662
Lorven Technologies Inc.,0.06451612903225806,0.14893617021276595,0.0,0.0,31.0,47.0,0.08442004118050789,0.0
Ampstek,0.0625,0.14705882352941177,0.0,0.0,16.0,34.0,0.08455882352941177,0.0
CyberCoders,0.32989690721649484,0.42990654205607476,0.0,0.056074766355140186,97.0,107.0,0.10000963483957992,0.056074766355140186
Oracle,0.3333333333333333,0.43478260869565216,0.0,0.0,30.0,46.0,0.10144927536231885,0.0
Kforce Inc,0.1919191919191919,0.29411764705882354,0.010101010101010102,0.006535947712418301,99.0,153.0,0.10219845513963163,-0.003565062388591801
Agoda,0.09090909090909091,0.2,0.45454545454545453,0.6,11.0,25.0,0.1090909090909091,0.14545454545454545
HTC Global Services,0.42857142857142855,0.5384615384615384,0.0,0.0,21.0,13.0,0.10989010989010989,0.0
Talent Groups,0.10526315789473684,0.23333333333333334,0.0,0.0,19.0,30.0,0.1280701754385965,0.0
Anduril Industries,0.34615384615384615,0.47843137254901963,0.11538461538461539,0.10588235294117647,52.0,255.0,0.13227752639517348,-0.009502262443438922
HCLTech,0.11764705882352941,0.26666666666666666,0.0,0.0,17.0,15.0,0.14901960784313725,0.0
AMD,0.16,0.3125,0.08,0.075,25.0,80.0,0.1525,-0.0050000000000000044
"IDR, Inc.",0.0,0.16666666666666666,0.0,0.0,13.0,24.0,0.16666666666666666,0.0
Enexus Global Inc.,0.0,0.16666666666666666,0.0,0.0,11.0,12.0,0.16666666666666666,0.0
The Trade Desk,0.4666666666666667,0.6470588235294118,0.26666666666666666,0.11764705882352941,15.0,17.0,0.18039215686274512,-0.14901960784313725
Wipro,0.0,0.18181818181818182,0.0,0.0,18.0,22.0,0.18181818181818182,0.0
GE HealthCare,0.4,0.5833333333333334,0.2,0.16666666666666666,10.0,12.0,0.18333333333333335,-0.033333333333333354
JPMorgan Chase & Co.,0.0,0.1917808219178082,0.0,0.0015220700152207,12.0,657.0,0.1917808219178082,0.0015220700152207
Vanguard,0.15789473684210525,0.35294117647058826,0.0,0.0,19.0,17.0,0.195046439628483,0.0
Sierra Space,0.30434782608695654,0.5,0.0,0.0,23.0,10.0,0.19565217391304346,0.0
Palo Alto Networks,0.15151515151515152,0.38,0.020202020202020204,0.24,99.0,50.0,0.22848484848484849,0.2197979797979798
General Motors,0.2857142857142857,0.532967032967033,0.35714285714285715,0.2087912087912088,14.0,182.0,0.24725274725274726,-0.14835164835164835
Lyft,0.3076923076923077,0.5625,0.23076923076923078,0.0625,13.0,16.0,0.2548076923076923,-0.16826923076923078
Siemens,0.1,0.3684210526315789,0.0,0.0,10.0,19.0,0.2684210526315789,0.0
Microsoft,0.1,0.38082901554404147,0.0,0.025906735751295335,20.0,386.0,0.2808290155440415,0.025906735751295335
Saransh Inc,0.1724137931034483,0.46153846153846156,0.0,0.0,29.0,13.0,0.2891246684350133,0.0
ServiceNow,0.2,0.5,0.3,0.35714285714285715,10.0,14.0,0.3,0.05714285714285716
EVONA,0.19230769230769232,0.5,0.038461538461538464,0.0,26.0,22.0,0.3076923076923077,-0.038461538461538464
"Syms Strategic Group, LLC (SSG)",0.0,0.46875,0.0,0.0,118.0,32.0,0.46875,0.0
KPMG US,0.031746031746031744,0.5789473684210527,0.0,0.0,63.0,19.0,0.5472013366750209,0.0
