title_normalized,n_arshkon,n_scraped,theme,ai_class,marker,change_class
. .net developer (dallas/fort worth area candidates only - no 3rd parties - no sponsorship),1.0,0.0,General SWE,other,none,disappeared_2026
. .net full stack developer,1.0,0.0,Full Stack,other,none,disappeared_2026
. advisory data engineer,1.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
. angular / front end developer,1.0,0.0,Frontend/Web,other,none,disappeared_2026
. applied ai engineer,1.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
. automation engineer,1.0,0.0,General SWE,other,none,disappeared_2026
. azure cloud engineer (only accepting usc/gc on w2),1.0,0.0,General SWE,other,none,disappeared_2026
. azure devops engineer ( us citizens / gc holders only ) --- locals only ( once a week onsite),1.0,0.0,DevOps,other,none,disappeared_2026
. back end developer,1.0,0.0,Backend/API,other,none,disappeared_2026
. back end engineer(ruby on rails),1.0,0.0,Backend/API,other,none,disappeared_2026
. backend software engineer - ml infra,1.0,0.0,Backend/API,ai_domain,none,disappeared_2026
. business application developer (maximo),1.0,0.0,General SWE,other,none,disappeared_2026
. c++ developer,1.0,0.0,General SWE,other,none,disappeared_2026
. c++ developer/engineer,1.0,0.0,General SWE,other,none,disappeared_2026
. c++ software engineer - maps sdks,1.0,0.0,General SWE,other,none,disappeared_2026
. citrix systems engineer,1.0,0.0,Embedded/Systems,other,none,disappeared_2026
. cloud software engineer (golang),1.0,0.0,General SWE,other,none,disappeared_2026
. compute and storage systems engineer,1.0,0.0,Embedded/Systems,other,none,disappeared_2026
. cyber infrastructure engineer,1.0,0.0,General SWE,other,none,disappeared_2026
. data engineer (onsite),1.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
. data engineer _ nyc,1.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
. data engineer(only w2),1.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
. devops engineer with clearance required,1.0,0.0,DevOps,other,none,disappeared_2026
. devops engineer-nyc,1.0,0.0,DevOps,other,none,disappeared_2026
. director of devops engineering,1.0,0.0,DevOps,other,none,disappeared_2026
. electrical / firmware engineer,1.0,0.0,Embedded/Systems,other,none,disappeared_2026
. embedded site reliability engineer (samsung ads),1.0,0.0,Reliability/SRE,other,none,disappeared_2026
. embedded software engineer autosar,1.0,0.0,Embedded/Systems,other,none,disappeared_2026
". engineer, software engineer (erisk services - flanders, nj)",1.0,0.0,General SWE,other,none,disappeared_2026
". flight software engineer, autonomous & intelligent system management - space systems development",1.0,0.0,General SWE,other,none,disappeared_2026
. front end engineer,1.0,0.0,Frontend/Web,other,none,disappeared_2026
". frontend engineer, cp billing - directs",1.0,0.0,Frontend/Web,other,none,disappeared_2026
. full stack wordpress woocommerce developer,1.0,0.0,Full Stack,other,none,disappeared_2026
. fullstack engineer- mobile (remote),1.0,0.0,Full Stack,other,none,disappeared_2026
". gcp java developer :: memphis, tennessee :: 11+months :: webex interview :: w2 position (usc and gc)",1.0,0.0,General SWE,other,none,disappeared_2026
. gcp java developer- only w2,1.0,0.0,General SWE,other,none,disappeared_2026
. hybrid cloud platform engineer,1.0,0.0,Platform,other,none,disappeared_2026
. ios mobile developer,1.0,0.0,Mobile,other,none,disappeared_2026
". java developer (addison, chandler, seattle)",1.0,0.0,General SWE,other,none,disappeared_2026
. java developer + site reliability engineer,1.0,0.0,Reliability/SRE,other,none,disappeared_2026
. java developer - w2 only,1.0,0.0,General SWE,other,none,disappeared_2026
. java developer with cassandra,1.0,0.0,General SWE,other,none,disappeared_2026
. learning platform engineer (global),1.0,0.0,Platform,other,none,disappeared_2026
. linux kernel software engineer - seattle,1.0,0.0,General SWE,other,none,disappeared_2026
. mainframe developer,1.0,0.0,General SWE,other,none,disappeared_2026
. mfg systems engineer - serialization system owner,1.0,0.0,Embedded/Systems,other,none,disappeared_2026
. ml engineer at stealth ai startup,1.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
. net full stack engineer - w2,1.0,0.0,Full Stack,other,none,disappeared_2026
. platform engineer,1.0,0.0,Platform,other,none,disappeared_2026
. product engineer - platform,1.0,0.0,General SWE,other,none,disappeared_2026
. python developer for cyber program (ts/sci required),1.0,0.0,General SWE,other,none,disappeared_2026
. python developer with devops exp- w2 only,1.0,0.0,DevOps,other,none,disappeared_2026
. salesforce developer - it,1.0,0.0,General SWE,other,none,disappeared_2026
. salesforce release engineer/devops,1.0,0.0,DevOps,other,none,disappeared_2026
. site reliability engineer (3490),1.0,0.0,Reliability/SRE,other,none,disappeared_2026
. snowflake azure data engineer,1.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
. software developer - backend,1.0,0.0,Backend/API,other,none,disappeared_2026
. software developers,1.0,0.0,Other,other,none,disappeared_2026
". software development engineer, kuiper flight software",1.0,0.0,General SWE,other,none,disappeared_2026
". software development engineer, kuiper network processor platform team",1.0,0.0,General SWE,other,none,disappeared_2026
". software development engineer, nucleo",1.0,0.0,General SWE,other,none,disappeared_2026
". software development engineer, sponsored products",1.0,0.0,General SWE,other,none,disappeared_2026
". software development engineer, ww speed",1.0,0.0,General SWE,other,none,disappeared_2026
. software engineer (devsecops),1.0,0.0,DevOps,other,none,disappeared_2026
. software engineer - .net content dev,1.0,0.0,General SWE,other,none,disappeared_2026
. software engineer - android (remote),1.0,0.0,Mobile,other,none,disappeared_2026
. software engineer - cloud (remote),1.0,0.0,General SWE,other,none,disappeared_2026
. software engineer - macos sensor (remote),1.0,0.0,General SWE,other,none,disappeared_2026
. software engineer - test (sdet) - paze,1.0,0.0,General SWE,other,none,disappeared_2026
". software engineer, application administrator, salesforce",1.0,0.0,General SWE,other,none,disappeared_2026
". software engineer, application support",1.0,0.0,General SWE,other,none,disappeared_2026
". software engineer, back end",1.0,0.0,Backend/API,other,none,disappeared_2026
". software engineer, infrastructure",1.0,0.0,General SWE,other,none,disappeared_2026
". software engineer, integrations (bi) - hybrid,",1.0,0.0,General SWE,other,none,disappeared_2026
". software engineer, opx (libfabric provider)",1.0,0.0,General SWE,other,none,disappeared_2026
". software engineer, search relevance",1.0,0.0,General SWE,other,none,disappeared_2026
. software engineer- cobol,1.0,0.0,General SWE,other,none,disappeared_2026
. software engineer- full-stack,1.0,0.0,General SWE,other,none,disappeared_2026
. software engineer- warehousing modernization,1.0,0.0,General SWE,other,none,disappeared_2026
. software engineer/api developer,1.0,0.0,General SWE,other,none,disappeared_2026
. system test engineer,1.0,0.0,QA/Testing,other,none,disappeared_2026
. systems engineer - (melbourne fl),1.0,0.0,Embedded/Systems,other,none,disappeared_2026
. systems engineer architect - software-focused,1.0,0.0,Embedded/Systems,other,none,disappeared_2026
. systems engineer | sap s/4hana financial,1.0,0.0,Embedded/Systems,other,none,disappeared_2026
. windows systems engineer (3902),1.0,0.0,Embedded/Systems,other,none,disappeared_2026
./ wifi mac software engineer,1.0,0.0,General SWE,other,none,disappeared_2026
.net application developer,1.0,0.0,General SWE,other,none,disappeared_2026
.net application developer (only locals),1.0,0.0,General SWE,other,none,disappeared_2026
.net application developer / architect (only locals),1.0,0.0,General SWE,other,none,disappeared_2026
.net developer (100% remote),1.0,0.0,General SWE,other,none,disappeared_2026
".net developer (azure) roles, w- / indiana based candidates preferred",1.0,0.0,General SWE,other,none,disappeared_2026
".net developer (hybrid - reston, va)",1.0,0.0,General SWE,other,none,disappeared_2026
".net developer - local to bothell, wa",1.0,0.0,General SWE,other,none,disappeared_2026
.net developer - local to wi only,1.0,0.0,General SWE,other,none,disappeared_2026
.net developer - solution specialist,1.0,0.0,General SWE,other,none,disappeared_2026
.net developer expertise in web services,1.0,0.0,Frontend/Web,other,none,disappeared_2026
".net developer only locals fairfield, ca",1.0,0.0,General SWE,other,none,disappeared_2026
.net developer with azure,1.0,0.0,General SWE,other,none,disappeared_2026
.net developer with azure experience,1.0,0.0,General SWE,other,none,disappeared_2026
.net developer with python (w2 only),1.0,0.0,General SWE,other,none,disappeared_2026
.net developer- need on w2 or 1099,1.0,0.0,General SWE,other,none,disappeared_2026
".net developer/ developer, it applications",1.0,0.0,General SWE,other,none,disappeared_2026
.net devops engineer,1.0,0.0,DevOps,other,none,disappeared_2026
.net devops engineer - nbc sports next,1.0,0.0,DevOps,other,none,disappeared_2026
.net full stack developer (oracle pl/sql),1.0,0.0,Full Stack,other,none,disappeared_2026
.net full stack developer/technical,1.0,0.0,Full Stack,other,none,disappeared_2026
.net full stack engineer (onsite),1.0,0.0,Full Stack,other,none,disappeared_2026
.net full stack engineers,1.0,0.0,Full Stack,other,none,disappeared_2026
.net full-stack developer,1.0,0.0,General SWE,other,none,disappeared_2026
.net full-stack developer - blazor - mainframe - winforms w2 contract,1.0,0.0,General SWE,other,none,disappeared_2026
.net fullstack (angular) developer (),1.0,0.0,Full Stack,other,none,disappeared_2026
.net fullstack developer/sre,1.0,0.0,Reliability/SRE,other,none,disappeared_2026
.net software architect - client facing!,1.0,0.0,Other,other,none,disappeared_2026
.net software engineer in test (sdet),1.0,0.0,General SWE,other,none,disappeared_2026
.netcore software developer,1.0,0.0,General SWE,other,none,disappeared_2026
"/ . software engineer, react + front end",1.0,0.0,Frontend/Web,other,none,disappeared_2026
/ data software engineer,1.0,0.0,General SWE,ai_domain,none,disappeared_2026
/ fullstack developer,1.0,0.0,Full Stack,other,none,disappeared_2026
/ software engineer - gameplay (remote),1.0,0.0,General SWE,other,none,disappeared_2026
// full-stack software engineer - backend,1.0,0.0,Backend/API,other,none,disappeared_2026
"000198 - w2 only - data engineer (python, react, hadoop & cloud)",1.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
2024 intern - software development engineer,1.0,0.0,General SWE,other,none,disappeared_2026
2024 intern - software engineer,1.0,0.0,General SWE,other,none,disappeared_2026
2024 launch program: software engineer intern,1.0,0.0,General SWE,other,none,disappeared_2026
2024 summer intern: software development engineer,1.0,0.0,General SWE,other,none,disappeared_2026
26202 kc life - mobile developer,1.0,0.0,Mobile,other,none,disappeared_2026
5g system architect software developer,1.0,0.0,General SWE,other,none,disappeared_2026
[remote] mid-level .net developer,1.0,0.0,General SWE,other,none,disappeared_2026
adas algorithm and systems engineer,1.0,0.0,Embedded/Systems,other,none,disappeared_2026
adas software development engineer - embedded safety,1.0,0.0,Embedded/Systems,other,none,disappeared_2026
adobe data engineer || remote,1.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
advance infrastructure engineer,1.0,0.0,General SWE,other,none,disappeared_2026
advanced cloud engineer - gcp,1.0,0.0,General SWE,other,none,disappeared_2026
advanced cloud engineer - rapidscale,1.0,0.0,General SWE,other,none,disappeared_2026
advanced vehicle system engineer- core bom (ccc),1.0,0.0,Embedded/Systems,other,none,disappeared_2026
aem full stack engineer(only w2),1.0,0.0,Full Stack,other,none,disappeared_2026
aem react.js front-end developer,1.0,0.0,General SWE,other,none,disappeared_2026
aep consultant / data engineer,1.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
agile software engineer (java/scala) (jersey city),1.0,0.0,General SWE,other,none,disappeared_2026
ai & ml engineer – audio specialization,1.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
ai /machine learning engineer / architect,1.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
ai at lilly product manager and prompt engineer,1.0,0.0,AI/ML,ai_tool_or_domain,manager,disappeared_2026
ai cad application engineer,1.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
"ai engineer (open world game - combat, npcs)",1.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
ai engineer (virtual),1.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
ai engineer - deep learning,1.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
ai engineer - trust (anti-abuse),1.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
"ai engineer, biologics engineering, oncology r&d",1.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
ai engineer/architect,1.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
ai enthusiast software engineers (full stack / backend) instructor,1.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
ai ml software engineer - artificial integence / machine learning,1.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
ai product manager and prompt engineer,1.0,0.0,AI/ML,ai_tool_or_domain,manager,disappeared_2026
ai/ml engineer (contract) (hybrid) – 4313,1.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
ai/ml engineer- 1939207,1.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
analyst/.net developer,1.0,0.0,General SWE,other,none,disappeared_2026
android / ios developer,1.0,0.0,Mobile,other,none,disappeared_2026
android developer - remote / telecommute,1.0,0.0,Mobile,other,none,disappeared_2026
android developer / architect,1.0,0.0,Mobile,other,none,disappeared_2026
android developer intern (unpaid),1.0,0.0,Mobile,other,none,disappeared_2026
android developer/ios developer,1.0,0.0,Mobile,other,none,disappeared_2026
android engineer (contract),1.0,0.0,Mobile,other,none,disappeared_2026
"android engineer- design system (austin, dallas-ft worth, or san antonio)",1.0,0.0,Mobile,other,none,disappeared_2026
android kotlin software engineer,1.0,0.0,Mobile,other,none,disappeared_2026
"android software engineer, core and monetization",1.0,0.0,Mobile,other,none,disappeared_2026
angular / react developer + c# .net,1.0,0.0,General SWE,other,none,disappeared_2026
angular developer/,1.0,0.0,General SWE,other,none,disappeared_2026
angular front end developer (contract-to-hire),1.0,0.0,Frontend/Web,other,none,disappeared_2026
api architect,1.0,0.0,Other,other,none,disappeared_2026
api data engineer,1.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
application developer (hybrid),1.0,0.0,General SWE,other,none,disappeared_2026
application developer (java/javascript/sql),1.0,0.0,General SWE,other,none,disappeared_2026
application developer (support of file transfer systems),1.0,0.0,General SWE,other,none,disappeared_2026
application developer (unix/c/sql),1.0,0.0,General SWE,other,none,disappeared_2026
"application developer , assistant vice president",1.0,0.0,General SWE,other,none,disappeared_2026
application developer - ai – information services,1.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
application developer supervisor,1.0,0.0,General SWE,other,none,disappeared_2026
application developer/mgr.- informatica/etl,1.0,0.0,General SWE,other,none,disappeared_2026
application development technical,1.0,0.0,Other,other,none,disappeared_2026
application engineer ( full stack ),1.0,0.0,Full Stack,other,none,disappeared_2026
application engineer (cd/cd),1.0,0.0,General SWE,other,none,disappeared_2026
application engineer (data managment team) with security clearance,1.0,0.0,Security,ai_domain,none,disappeared_2026
application engineer (full-stack),1.0,0.0,General SWE,other,none,disappeared_2026
application engineer (high voltage),1.0,0.0,General SWE,other,none,disappeared_2026
application engineer (ios developer),1.0,0.0,Mobile,other,none,disappeared_2026
application engineer - full stack,1.0,0.0,Full Stack,other,none,disappeared_2026
application engineer - western usa (remote),1.0,0.0,General SWE,other,none,disappeared_2026
application engineer - workday,1.0,0.0,General SWE,other,none,disappeared_2026
application engineer / inside technical sales,1.0,0.0,General SWE,other,none,disappeared_2026
"application engineer, optical wafer inspection",1.0,0.0,General SWE,other,none,disappeared_2026
"application engineer, signoff",1.0,0.0,General SWE,other,none,disappeared_2026
application software engineer (remote),1.0,0.0,General SWE,other,none,disappeared_2026
applications dev & test - software development engineer software development engineer #: 24-02390,1.0,0.0,General SWE,other,none,disappeared_2026
applications dev & test - software development engineer software development engineer #: 24-02681,1.0,0.0,General SWE,other,none,disappeared_2026
applications programmer,1.0,0.0,Other,other,none,disappeared_2026
applied machine learning engineer (east coast),1.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
artificial intelligence engineer - 1929765,1.0,0.0,General SWE,other,none,disappeared_2026
asp.net software engineer,1.0,0.0,General SWE,other,none,disappeared_2026
associate application engineer ( full stack ),1.0,0.0,Full Stack,other,associate,disappeared_2026
associate application engineer (full stack),1.0,0.0,Full Stack,other,associate,disappeared_2026
associate data engineer - azure cloud,1.0,0.0,Data/Analytics,ai_domain,associate,disappeared_2026
"associate director, site reliability engineering - automation office",1.0,0.0,Reliability/SRE,other,associate,disappeared_2026
associate electronic security system engineer,1.0,0.0,Embedded/Systems,other,associate,disappeared_2026
associate field application engineer,1.0,0.0,General SWE,other,associate,disappeared_2026
associate software developer (java/scala),1.0,0.0,General SWE,other,associate,disappeared_2026
associate software engineer/software engineer-aits,1.0,0.0,General SWE,other,associate,disappeared_2026
associate systems engineer (remote),1.0,0.0,Embedded/Systems,other,associate,disappeared_2026
associate systems engineer - (biotech/biomedical),1.0,0.0,Embedded/Systems,other,associate,disappeared_2026
"associate web developer,",1.0,0.0,Frontend/Web,other,associate,disappeared_2026
"associate, java/j2ee backend developer",1.0,0.0,Backend/API,other,associate,disappeared_2026
audio systems engineer - new college graduate,1.0,0.0,Embedded/Systems,other,none,disappeared_2026
automation tester,1.0,0.0,Other,other,none,disappeared_2026
automation testing developer,1.0,0.0,General SWE,other,none,disappeared_2026
autosar cybersecurity software engineer,1.0,0.0,Security,other,none,disappeared_2026
av application engineer,1.0,0.0,General SWE,other,none,disappeared_2026
av systems engineer,1.0,0.0,Embedded/Systems,other,none,disappeared_2026
"avp, product engineer, servicing apps",1.0,0.0,General SWE,other,none,disappeared_2026
aws cloud engineer/. server administrator,1.0,0.0,General SWE,other,none,disappeared_2026
aws data engineer (healthcare domain),1.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
aws java full stack developer,1.0,0.0,Full Stack,other,none,disappeared_2026
aws lex and python developer !!! usc/gc/gc-ead,1.0,0.0,General SWE,other,none,disappeared_2026
aws rds database software engineer,1.0,0.0,General SWE,other,none,disappeared_2026
"aws/cloud architect (devops,linux) (only local candidates)",1.0,0.0,DevOps,other,none,disappeared_2026
azure cloud data engineer,1.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
azure cloud engineer - 12+ profiles only,1.0,0.0,General SWE,other,none,disappeared_2026
azure cloud engineer - only w2,1.0,0.0,General SWE,other,none,disappeared_2026
azure cloud engineer with nerdio,1.0,0.0,General SWE,other,none,disappeared_2026
azure cloud engineer with virtual desktop,1.0,0.0,General SWE,other,none,disappeared_2026
azure cloud engineer/architect,1.0,0.0,General SWE,other,none,disappeared_2026
azure cloud infrastructure engineer -this is not a devops role-us citizens or gch- perm/no consultants,1.0,0.0,DevOps,other,none,disappeared_2026
azure data engineer (full time),1.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
azure data engineer with hadoop and sql,1.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
azure data engineer- technical,1.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
azure devops consultant,1.0,0.0,DevOps,other,none,disappeared_2026
"azure devops engineer @ new york, (ny locals only) hybrid//c2c/1099/w2",1.0,0.0,DevOps,other,none,disappeared_2026
"azure devops engineer @ new york, (ny locals only) hybrid/w2",1.0,0.0,DevOps,other,none,disappeared_2026
azure devops engineer with aks - redmond wa (onsite),1.0,0.0,DevOps,other,none,disappeared_2026
azure network and infrastructure engineer,1.0,0.0,General SWE,other,none,disappeared_2026
back end developer (fte),1.0,0.0,Backend/API,other,none,disappeared_2026
back end developer - dallas or phoenix,1.0,0.0,Backend/API,other,none,disappeared_2026
back end developer / c# / defi,1.0,0.0,Backend/API,other,none,disappeared_2026
back end engineer ( w2),1.0,0.0,Backend/API,other,none,disappeared_2026
back end engineer - res & guest,1.0,0.0,Backend/API,other,none,disappeared_2026
back-end developer (),1.0,0.0,General SWE,other,none,disappeared_2026
"back-end engineer (chinese speaker) – midtown, ny (local only onsite)",1.0,0.0,General SWE,other,none,disappeared_2026
back-end software engineer (contract) (hybrid) – 4314,1.0,0.0,General SWE,other,none,disappeared_2026
back-end software engineer (hybrid),1.0,0.0,General SWE,other,none,disappeared_2026
back-end software engineer (machine learning emphasis),1.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
