title_normalized,n_arshkon,n_scraped,theme,ai_class,marker,change_class
azure data engineer,10.0,17.0,Data/Analytics,ai_domain,none,shared
php developer,10.0,2.0,General SWE,other,none,shared
artificial intelligence engineer,9.0,118.0,General SWE,other,none,shared
. software engineer,9.0,109.0,General SWE,other,none,shared
frontend engineer,9.0,49.0,Frontend/Web,other,none,shared
software engineer intern,9.0,45.0,General SWE,other,none,shared
java backend developer,9.0,27.0,Backend/API,other,none,shared
c++ developer,9.0,20.0,General SWE,other,none,shared
javascript developer,9.0,9.0,General SWE,other,none,shared
sales application engineer,9.0,6.0,General SWE,other,none,shared
. data engineer,8.0,58.0,Data/Analytics,ai_domain,none,shared
full stack java developer,8.0,56.0,Full Stack,other,none,shared
front end developer,8.0,28.0,Frontend/Web,other,none,shared
golang developer,8.0,18.0,General SWE,other,none,shared
software architect,8.0,6.0,Other,other,none,shared
full stack software engineer,7.0,109.0,Full Stack,other,none,shared
platform engineer,7.0,59.0,Platform,other,none,shared
"software engineer, full stack",7.0,55.0,Full Stack,other,none,shared
database engineer,7.0,54.0,General SWE,other,none,shared
power systems engineer,7.0,27.0,Embedded/Systems,other,none,shared
mlops engineer,7.0,21.0,AI/ML,ai_tool_or_domain,none,shared
ui developer,7.0,17.0,General SWE,other,none,shared
embedded engineer,7.0,3.0,Embedded/Systems,other,none,shared
ai engineer,6.0,348.0,AI/ML,ai_tool_or_domain,none,shared
software test engineer,6.0,72.0,QA/Testing,other,none,shared
java fullstack developer,6.0,35.0,Full Stack,other,none,shared
aws cloud engineer,6.0,24.0,General SWE,other,none,shared
cloud devops engineer,6.0,18.0,DevOps,other,none,shared
java engineer,6.0,11.0,General SWE,other,none,shared
scala developer,6.0,2.0,General SWE,other,none,shared
devops architect,6.0,1.0,DevOps,other,none,shared
qa automation engineer,5.0,49.0,QA/Testing,other,none,shared
software development engineer in test,5.0,46.0,General SWE,other,none,shared
generative ai engineer,5.0,36.0,AI/ML,ai_tool_or_domain,none,shared
mobile application developer,5.0,23.0,Mobile,other,none,shared
mobile developer,5.0,22.0,Mobile,other,none,shared
cloud software engineer,5.0,21.0,General SWE,other,none,shared
big data engineer,5.0,18.0,Data/Analytics,ai_domain,none,shared
full stack .net developer,5.0,15.0,Full Stack,other,none,shared
fullstack developer,5.0,13.0,Full Stack,other,none,shared
gcp data engineer,5.0,5.0,Data/Analytics,ai_domain,none,shared
programmer analyst,5.0,2.0,Other,other,none,shared
"software engineer, back end",5.0,2.0,Backend/API,other,none,shared
software engineer - backend,4.0,54.0,Backend/API,other,none,shared
software quality engineer,4.0,34.0,General SWE,other,none,shared
cloud infrastructure engineer,4.0,32.0,General SWE,other,none,shared
.net full stack developer,4.0,30.0,Full Stack,other,none,shared
aws devops engineer,4.0,27.0,DevOps,other,none,shared
"software engineer, machine learning",4.0,23.0,AI/ML,ai_tool_or_domain,none,shared
test automation engineer,4.0,22.0,QA/Testing,other,none,shared
cloud data engineer,4.0,21.0,Data/Analytics,ai_domain,none,shared
aws engineer,4.0,11.0,General SWE,other,none,shared
big data developer,4.0,8.0,General SWE,ai_domain,none,shared
. systems engineer,4.0,7.0,Embedded/Systems,other,none,shared
azure engineer,4.0,7.0,General SWE,other,none,shared
devops manager,4.0,6.0,DevOps,other,manager,shared
reactjs developer,4.0,5.0,General SWE,other,none,shared
software engineer - cloud platform,4.0,3.0,Platform,other,none,shared
fullstack java developer,4.0,2.0,Full Stack,other,none,shared
infrastructure specialist,4.0,2.0,Other,other,none,shared
mainframe engineer,4.0,2.0,General SWE,other,none,shared
associate systems engineer,4.0,1.0,Embedded/Systems,other,associate,shared
devops consultant,4.0,1.0,DevOps,other,none,shared
"software engineer, backend",3.0,56.0,Backend/API,other,none,shared
founding engineer,3.0,55.0,General SWE,other,none,shared
android engineer,3.0,48.0,Mobile,other,none,shared
mobile engineer,3.0,47.0,Mobile,other,none,shared
full-stack engineer,3.0,45.0,General SWE,other,none,shared
backend software engineer,3.0,41.0,Backend/API,other,none,shared
data platform engineer,3.0,37.0,Data/Analytics,ai_domain,none,shared
field application engineer,3.0,36.0,General SWE,other,none,shared
full stack software developer,3.0,31.0,Full Stack,other,none,shared
ml engineer,3.0,28.0,General SWE,ai_domain,none,shared
aws data engineer,3.0,26.0,Data/Analytics,ai_domain,none,shared
systems integration engineer,3.0,20.0,General SWE,other,none,shared
systems software engineer,3.0,20.0,General SWE,other,none,shared
python software engineer,3.0,15.0,General SWE,other,none,shared
.net software engineer,3.0,14.0,General SWE,other,none,shared
software design engineer,3.0,13.0,General SWE,other,none,shared
. software developer,3.0,12.0,General SWE,other,none,shared
api developer,3.0,12.0,General SWE,other,none,shared
web application developer,3.0,11.0,Frontend/Web,other,none,shared
software engineer (hybrid),3.0,9.0,General SWE,other,none,shared
associate data engineer,3.0,7.0,Data/Analytics,ai_domain,associate,shared
aws developer,3.0,6.0,General SWE,other,none,shared
it systems engineer,3.0,6.0,Embedded/Systems,other,none,shared
"software engineer, front end",3.0,6.0,Frontend/Web,other,none,shared
qa,3.0,5.0,QA/Testing,other,none,shared
radar systems engineer,3.0,5.0,Embedded/Systems,other,none,shared
data warehouse engineer,3.0,4.0,General SWE,ai_domain,none,shared
software engineering,3.0,4.0,Other,other,none,shared
core java developer,3.0,3.0,General SWE,other,none,shared
inside sales application engineer,3.0,2.0,General SWE,other,none,shared
ruby developer,3.0,2.0,General SWE,other,none,shared
software solutions architect,3.0,2.0,Other,other,none,shared
.net architect,3.0,1.0,Other,other,none,shared
c#/.net developer,3.0,1.0,General SWE,other,none,shared
embedded systems engineer,3.0,1.0,Embedded/Systems,other,none,shared
software quality assurance analyst,3.0,1.0,QA/Testing,other,none,shared
flight software engineer,2.0,43.0,General SWE,other,none,shared
associate software engineer,2.0,38.0,General SWE,other,associate,shared
software engineer - full stack,2.0,37.0,Full Stack,other,none,shared
full-stack software engineer,2.0,30.0,General SWE,other,none,shared
"software engineer,",2.0,25.0,General SWE,other,none,shared
"software engineer, android",2.0,25.0,Mobile,other,none,shared
software engineer -,2.0,21.0,General SWE,other,none,shared
. devops engineer,2.0,20.0,DevOps,other,none,shared
full-stack developer,2.0,20.0,General SWE,other,none,shared
software engineer (backend),2.0,20.0,Backend/API,other,none,shared
systems test engineer,2.0,18.0,QA/Testing,other,none,shared
"software engineer, ai",2.0,17.0,AI/ML,ai_tool_or_domain,none,shared
. full stack engineer,2.0,16.0,Full Stack,other,none,shared
software quality assurance engineer,2.0,16.0,QA/Testing,other,none,shared
software systems engineer,2.0,16.0,Embedded/Systems,other,none,shared
programmer,2.0,15.0,Other,other,none,shared
automation test engineer,2.0,14.0,QA/Testing,other,none,shared
test development engineer,2.0,14.0,General SWE,other,none,shared
/ software engineer,2.0,13.0,General SWE,other,none,shared
network systems engineer,2.0,13.0,Embedded/Systems,other,none,shared
data engineer intern,2.0,12.0,Data/Analytics,ai_domain,none,shared
software engineer - python,2.0,12.0,General SWE,other,none,shared
java backend engineer,2.0,11.0,Backend/API,other,none,shared
software engineer - infrastructure,2.0,11.0,General SWE,other,none,shared
system test engineer,2.0,10.0,QA/Testing,other,none,shared
back-end engineer,2.0,9.0,General SWE,other,none,shared
cloud systems engineer,2.0,9.0,Embedded/Systems,other,none,shared
"engineer, software",2.0,9.0,General SWE,other,none,shared
front-end developer,2.0,8.0,General SWE,other,none,shared
front-end engineer,2.0,8.0,General SWE,other,none,shared
golang engineer,2.0,8.0,General SWE,other,none,shared
servicenow engineer,2.0,8.0,General SWE,other,none,shared
"software engineer, payments",2.0,8.0,General SWE,other,none,shared
infrastructure software engineer,2.0,7.0,General SWE,other,none,shared
devops software engineer,2.0,6.0,DevOps,other,none,shared
.net engineer,2.0,5.0,General SWE,other,none,shared
engineer software,2.0,5.0,General SWE,other,none,shared
linux system engineer,2.0,5.0,Embedded/Systems,other,none,shared
product test engineer,2.0,5.0,QA/Testing,other,none,shared
quality system engineer,2.0,5.0,Embedded/Systems,other,none,shared
ui engineer,2.0,5.0,Frontend/Web,other,none,shared
devops automation engineer,2.0,4.0,DevOps,other,none,shared
software engineer (.net),2.0,4.0,General SWE,other,none,shared
. android developer,2.0,3.0,Mobile,other,none,shared
building management systems engineer,2.0,3.0,Embedded/Systems,other,none,shared
devops developer,2.0,3.0,DevOps,other,none,shared
"engineer, systems engineering",2.0,3.0,General SWE,other,none,shared
it data engineer,2.0,3.0,Data/Analytics,ai_domain,none,shared
rust engineer,2.0,3.0,General SWE,other,none,shared
service now developer,2.0,3.0,General SWE,other,none,shared
software engineer - cloud,2.0,3.0,General SWE,other,none,shared
applications developer,2.0,2.0,General SWE,other,none,shared
azure devops,2.0,2.0,DevOps,other,none,shared
bi data engineer,2.0,2.0,Data/Analytics,ai_domain,none,shared
data engineering,2.0,2.0,Other,ai_domain,none,shared
data engineering analyst,2.0,2.0,Other,ai_domain,none,shared
data platform software engineer,2.0,2.0,Data/Analytics,ai_domain,none,shared
etl data engineer,2.0,2.0,Data/Analytics,ai_domain,none,shared
python engineer,2.0,2.0,General SWE,other,none,shared
quality assurance test engineer,2.0,2.0,QA/Testing,other,none,shared
software engineer (on-site),2.0,2.0,General SWE,other,none,shared
windows system engineer,2.0,2.0,Embedded/Systems,other,none,shared
. servicenow developer,2.0,1.0,General SWE,other,none,shared
c++ engineer,2.0,1.0,General SWE,other,none,shared
computer scientist,2.0,1.0,Other,other,none,shared
cybersecurity data engineer,2.0,1.0,Data/Analytics,ai_domain,none,shared
"data engineer, mid",2.0,1.0,Data/Analytics,ai_domain,none,shared
data systems engineer,2.0,1.0,Embedded/Systems,ai_domain,none,shared
database software engineer,2.0,1.0,General SWE,other,none,shared
devops engineer (remote),2.0,1.0,DevOps,other,none,shared
full stack software development engineer,2.0,1.0,Full Stack,other,none,shared
java developer (w2 only),2.0,1.0,General SWE,other,none,shared
java developer with aws,2.0,1.0,General SWE,other,none,shared
linux devops engineer,2.0,1.0,DevOps,other,none,shared
magento developer,2.0,1.0,General SWE,other,none,shared
mobile engineer (android),2.0,1.0,Mobile,other,none,shared
project systems engineer,2.0,1.0,Embedded/Systems,other,none,shared
quality assurance automation,2.0,1.0,QA/Testing,other,none,shared
scala engineer,2.0,1.0,General SWE,other,none,shared
software developer -,2.0,1.0,General SWE,other,none,shared
software tester,2.0,1.0,Other,other,none,shared
", software engineer",1.0,81.0,General SWE,other,none,shared
ai software engineer,1.0,55.0,AI/ML,ai_tool_or_domain,none,shared
"(usa) , software engineer",1.0,46.0,General SWE,other,none,shared
ios engineer,1.0,45.0,Mobile,other,none,shared
applied ai engineer,1.0,37.0,AI/ML,ai_tool_or_domain,none,shared
software development engineer in test (sdet),1.0,33.0,General SWE,other,none,shared
ai platform engineer,1.0,31.0,AI/ML,ai_tool_or_domain,none,shared
fullstack engineer,1.0,31.0,Full Stack,other,none,shared
cloud platform engineer,1.0,30.0,Platform,other,none,shared
"software engineer, frontend",1.0,24.0,Frontend/Web,other,none,shared
agentic ai engineer,1.0,20.0,AI/ML,ai_tool_or_domain,none,shared
"software engineer, ios",1.0,20.0,Mobile,other,none,shared
"vice president, full-stack engineer",1.0,20.0,General SWE,other,none,shared
fullstack software engineer,1.0,19.0,Full Stack,other,none,shared
advanced software engineer,1.0,18.0,General SWE,other,none,shared
gen ai engineer,1.0,18.0,AI/ML,ai_tool_or_domain,none,shared
java full stack engineer,1.0,18.0,Full Stack,other,none,shared
software engineer (full stack),1.0,17.0,Full Stack,other,none,shared
specialty software engineer,1.0,17.0,General SWE,other,none,shared
databricks data engineer,1.0,16.0,Data/Analytics,ai_domain,none,shared
power system engineer,1.0,16.0,Embedded/Systems,other,none,shared
software engineer with security clearance,1.0,16.0,Security,other,none,shared
ai/ml developer,1.0,15.0,AI/ML,ai_tool_or_domain,none,shared
frontend software engineer,1.0,15.0,Frontend/Web,other,none,shared
ai security engineer,1.0,14.0,AI/ML,ai_tool_or_domain,none,shared
devops,1.0,14.0,DevOps,other,none,shared
ml ops engineer,1.0,14.0,General SWE,ai_domain,none,shared
.net fullstack developer,1.0,13.0,Full Stack,other,none,shared
ai/ml software engineer,1.0,13.0,AI/ML,ai_tool_or_domain,none,shared
automation test,1.0,13.0,Other,other,none,shared
cloud developer,1.0,13.0,General SWE,other,none,shared
ios software engineer,1.0,13.0,Mobile,other,none,shared
mobile software engineer,1.0,13.0,Mobile,other,none,shared
software engineer - android,1.0,13.0,Mobile,other,none,shared
android software engineer,1.0,12.0,Mobile,other,none,shared
front end software engineer,1.0,12.0,Frontend/Web,other,none,shared
. full stack developer,1.0,11.0,Full Stack,other,none,shared
. salesforce developer,1.0,11.0,General SWE,other,none,shared
data engineer (hybrid),1.0,10.0,Data/Analytics,ai_domain,none,shared
integration and test engineer,1.0,10.0,QA/Testing,other,none,shared
qa automation,1.0,10.0,QA/Testing,other,none,shared
software engineer (remote),1.0,10.0,General SWE,other,none,shared
ai product engineer,1.0,9.0,AI/ML,ai_tool_or_domain,none,shared
data quality engineer,1.0,9.0,General SWE,ai_domain,none,shared
network infrastructure engineer,1.0,9.0,General SWE,other,none,shared
software engineer (java),1.0,9.0,General SWE,other,none,shared
. cloud engineer,1.0,8.0,General SWE,other,none,shared
. site reliability engineer,1.0,8.0,Reliability/SRE,other,none,shared
data infrastructure engineer,1.0,8.0,General SWE,ai_domain,none,shared
security software engineer,1.0,8.0,Security,other,none,shared
software engineer (c++),1.0,8.0,General SWE,other,none,shared
ui react developer,1.0,8.0,General SWE,other,none,shared
. ios developer,1.0,7.0,Mobile,other,none,shared
cloud automation engineer,1.0,7.0,General SWE,other,none,shared
controls software engineer,1.0,7.0,General SWE,other,none,shared
embedded firmware engineer,1.0,7.0,Embedded/Systems,other,none,shared
"engineer , software",1.0,7.0,General SWE,other,none,shared
entry level software engineer,1.0,7.0,General SWE,other,none,shared
full stack web developer,1.0,7.0,Frontend/Web,other,none,shared
gcp cloud engineer,1.0,7.0,General SWE,other,none,shared
google cloud platform data engineer,1.0,7.0,Data/Analytics,ai_domain,none,shared
machine learning engineer intern,1.0,7.0,AI/ML,ai_tool_or_domain,none,shared
software developer (.net),1.0,7.0,General SWE,other,none,shared
software engineer (python),1.0,7.0,General SWE,other,none,shared
software engineer - data,1.0,7.0,General SWE,ai_domain,none,shared
software engineer - platform,1.0,7.0,General SWE,other,none,shared
. aws data engineer,1.0,6.0,Data/Analytics,ai_domain,none,shared
build engineer,1.0,6.0,General SWE,other,none,shared
ground software engineer,1.0,6.0,General SWE,other,none,shared
labview software engineer,1.0,6.0,General SWE,other,none,shared
network cloud engineer,1.0,6.0,General SWE,other,none,shared
product software engineer,1.0,6.0,General SWE,other,none,shared
quality systems engineer,1.0,6.0,Embedded/Systems,other,none,shared
software engineer - applications,1.0,6.0,General SWE,other,none,shared
"software engineer, full-stack",1.0,6.0,General SWE,other,none,shared
. application engineer,1.0,5.0,General SWE,other,none,shared
. machine learning engineer,1.0,5.0,AI/ML,ai_tool_or_domain,none,shared
. reliability engineer,1.0,5.0,Reliability/SRE,other,none,shared
aws platform engineer,1.0,5.0,Platform,other,none,shared
backend ai engineer,1.0,5.0,AI/ML,ai_tool_or_domain,none,shared
data engineer manager,1.0,5.0,Data/Analytics,ai_domain,manager,shared
embedded system engineer,1.0,5.0,Embedded/Systems,other,none,shared
mobile app developer,1.0,5.0,Mobile,other,none,shared
"software development engineer, amazon",1.0,5.0,General SWE,other,none,shared
software engineer - .net,1.0,5.0,General SWE,other,none,shared
software engineer - back end,1.0,5.0,Backend/API,other,none,shared
"software engineer, applications",1.0,5.0,General SWE,other,none,shared
systems engineer (onsite),1.0,5.0,Embedded/Systems,other,none,shared
. test engineer,1.0,4.0,QA/Testing,other,none,shared
associate quality engineer,1.0,4.0,General SWE,other,associate,shared
backend java developer,1.0,4.0,Backend/API,other,none,shared
c++ software developer,1.0,4.0,General SWE,other,none,shared
cloud engineer (aws),1.0,4.0,General SWE,other,none,shared
data engineer - databricks,1.0,4.0,Data/Analytics,ai_domain,none,shared
devops specialist,1.0,4.0,DevOps,other,none,shared
full stack java engineer,1.0,4.0,Full Stack,other,none,shared
full-stack software developer,1.0,4.0,General SWE,other,none,shared
machine learning research engineer,1.0,4.0,AI/ML,ai_tool_or_domain,none,shared
machine learning software engineer,1.0,4.0,AI/ML,ai_tool_or_domain,none,shared
"manager, software engineer",1.0,4.0,General SWE,other,manager,shared
network software engineer,1.0,4.0,General SWE,other,none,shared
react engineer,1.0,4.0,General SWE,other,none,shared
salesforce software engineer,1.0,4.0,General SWE,other,none,shared
"software engineer , infrastructure, google cloud platforms",1.0,4.0,General SWE,other,none,shared
software engineer - mainframe,1.0,4.0,General SWE,other,none,shared
ui software engineer,1.0,4.0,General SWE,other,none,shared
ui/ux developer,1.0,4.0,Frontend/Web,other,none,shared
associate software development engineer,1.0,3.0,General SWE,other,associate,shared
backend software developer,1.0,3.0,Backend/API,other,none,shared
business systems engineer,1.0,3.0,Embedded/Systems,other,none,shared
c# developer,1.0,3.0,General SWE,other,none,shared
computer systems engineer,1.0,3.0,Embedded/Systems,other,none,shared
cybersecurity software engineer,1.0,3.0,Security,other,none,shared
data operations engineer,1.0,3.0,General SWE,ai_domain,none,shared
fluid systems engineer,1.0,3.0,Embedded/Systems,other,none,shared
front-end web developer,1.0,3.0,Frontend/Web,other,none,shared
full-stack web developer,1.0,3.0,Frontend/Web,other,none,shared
graphics software engineer,1.0,3.0,General SWE,other,none,shared
mobile platform engineer,1.0,3.0,Platform,other,none,shared
principle software engineer,1.0,3.0,General SWE,other,none,shared
sap software engineer,1.0,3.0,General SWE,other,none,shared
site reliability engineer (remote),1.0,3.0,Reliability/SRE,other,none,shared
software and systems engineer,1.0,3.0,Embedded/Systems,other,none,shared
software application engineer,1.0,3.0,General SWE,other,none,shared
software dev engineer,1.0,3.0,General SWE,other,none,shared
software developer in test,1.0,3.0,General SWE,other,none,shared
software engineer - machine learning,1.0,3.0,AI/ML,ai_tool_or_domain,none,shared
software engineer /,1.0,3.0,General SWE,other,none,shared
specialist software engineer,1.0,3.0,General SWE,other,none,shared
test automation,1.0,3.0,QA/Testing,other,none,shared
. infrastructure engineer,1.0,2.0,General SWE,other,none,shared
. python developer,1.0,2.0,General SWE,other,none,shared
. react developer,1.0,2.0,General SWE,other,none,shared
bmc firmware engineer,1.0,2.0,Embedded/Systems,other,none,shared
contract software engineer,1.0,2.0,General SWE,other,none,shared
data and analytics engineer,1.0,2.0,Data/Analytics,ai_domain,none,shared
devops administrator,1.0,2.0,DevOps,other,none,shared
devops engineer (w2),1.0,2.0,DevOps,other,none,shared
"engineer, machine learning",1.0,2.0,AI/ML,ai_tool_or_domain,none,shared
enterprise application engineer,1.0,2.0,General SWE,other,none,shared
full stack .net developer (remote),1.0,2.0,Full Stack,other,none,shared
gcp platform engineer,1.0,2.0,Platform,other,none,shared
guidewire software engineer,1.0,2.0,General SWE,other,none,shared
java software developer,1.0,2.0,General SWE,other,none,shared
javascript engineer,1.0,2.0,General SWE,other,none,shared
mobile developer (react native),1.0,2.0,Mobile,other,none,shared
mobile engineer (ios),1.0,2.0,Mobile,other,none,shared
model-based systems engineer,1.0,2.0,Embedded/Systems,other,none,shared
network/systems engineer,1.0,2.0,Embedded/Systems,other,none,shared
python developer with ai/ml,1.0,2.0,AI/ML,ai_tool_or_domain,none,shared
react js developer,1.0,2.0,General SWE,other,none,shared
rust developer,1.0,2.0,General SWE,other,none,shared
software development eng,1.0,2.0,Other,other,none,shared
"software development engineer, nitro ssd",1.0,2.0,General SWE,other,none,shared
software engineer (front end),1.0,2.0,Frontend/Web,other,none,shared
software engineer - booking - costco travel,1.0,2.0,General SWE,other,none,shared
software engineer - infrastructure platforms,1.0,2.0,General SWE,other,none,shared
software engineer - ml infrastructure,1.0,2.0,General SWE,ai_domain,none,shared
software engineer - ui,1.0,2.0,General SWE,other,none,shared
software engineer technical,1.0,2.0,General SWE,other,none,shared
"software engineer, associate (njus)",1.0,2.0,General SWE,other,associate,shared
"software engineer, automation",1.0,2.0,General SWE,other,none,shared
"software engineer, embedded systems/firmware, pixel",1.0,2.0,Embedded/Systems,other,none,shared
"software engineer, google cloud platforms",1.0,2.0,General SWE,other,none,shared
"software engineer, infrastructure, google cloud data management",1.0,2.0,General SWE,ai_domain,none,shared
"software engineer, intern",1.0,2.0,General SWE,other,none,shared
software engineer- android,1.0,2.0,Mobile,other,none,shared
software engineer- backend,1.0,2.0,Backend/API,other,none,shared
system software engineer,1.0,2.0,General SWE,other,none,shared
systems engineer (expert),1.0,2.0,Embedded/Systems,other,none,shared
systems infrastructure engineer,1.0,2.0,General SWE,other,none,shared
testing engineer,1.0,2.0,General SWE,other,none,shared
. application developer,1.0,1.0,General SWE,other,none,shared
. java engineer,1.0,1.0,General SWE,other,none,shared
.net fullstack,1.0,1.0,Full Stack,other,none,shared
.net/c# developer,1.0,1.0,General SWE,other,none,shared
/ machine learning engineer,1.0,1.0,AI/ML,ai_tool_or_domain,none,shared
advanced systems engineer,1.0,1.0,Embedded/Systems,other,none,shared
aem full stack developer,1.0,1.0,Full Stack,other,none,shared
angular software engineer,1.0,1.0,General SWE,other,none,shared
associate devops engineer,1.0,1.0,DevOps,other,associate,shared
associate system engineer,1.0,1.0,Embedded/Systems,other,associate,shared
"associate, full-stack engineer",1.0,1.0,General SWE,other,associate,shared
azure .net developer,1.0,1.0,General SWE,other,none,shared
azure cloud infrastructure engineer,1.0,1.0,General SWE,other,none,shared
backend rust developer,1.0,1.0,Backend/API,other,none,shared
backend software engineer - infrastructure,1.0,1.0,Backend/API,other,none,shared
c# .net developer,1.0,1.0,General SWE,other,none,shared
c# engineer,1.0,1.0,General SWE,other,none,shared
cloud engineer - azure,1.0,1.0,General SWE,other,none,shared
cloud site reliability engineer,1.0,1.0,Reliability/SRE,other,none,shared
cloud software developer,1.0,1.0,General SWE,other,none,shared
control software engineer,1.0,1.0,General SWE,other,none,shared
cyber security software engineer,1.0,1.0,Security,other,none,shared
data engineer - w2,1.0,1.0,Data/Analytics,ai_domain,none,shared
devops engineer (only locals),1.0,1.0,DevOps,other,none,shared
devops engineer/ architect,1.0,1.0,DevOps,other,none,shared
devops/sre engineer,1.0,1.0,Reliability/SRE,other,none,shared
digital software engineer analyst,1.0,1.0,General SWE,other,none,shared
display software engineer,1.0,1.0,General SWE,other,none,shared
dot net fullstack developer,1.0,1.0,Full Stack,other,none,shared
embedded real-time software engineer,1.0,1.0,Embedded/Systems,other,none,shared
"engineer , qa",1.0,1.0,QA/Testing,other,none,shared
engineer site reliability,1.0,1.0,Reliability/SRE,other,none,shared
"engineer, systems",1.0,1.0,General SWE,other,none,shared
enterprise data engineer,1.0,1.0,Data/Analytics,ai_domain,none,shared
experienced software developer,1.0,1.0,General SWE,other,none,shared
field application engineer (fae),1.0,1.0,General SWE,other,none,shared
field system engineer,1.0,1.0,Embedded/Systems,other,none,shared
front end software engineer intern,1.0,1.0,Frontend/Web,other,none,shared
front-end engineer (remote),1.0,1.0,General SWE,other,none,shared
"full stack engineer (react, node, aws)",1.0,1.0,Full Stack,other,none,shared
full-stack .net developer,1.0,1.0,General SWE,other,none,shared
geospatial software engineer,1.0,1.0,General SWE,other,none,shared
ground systems engineer,1.0,1.0,Embedded/Systems,other,none,shared
hpc systems engineer,1.0,1.0,Embedded/Systems,other,none,shared
information technology infrastructure engineer,1.0,1.0,General SWE,other,none,shared
java developer (healthcare),1.0,1.0,General SWE,other,none,shared
java developer on w2,1.0,1.0,General SWE,other,none,shared
java full stack developer - only w2,1.0,1.0,Full Stack,other,none,shared
java web developer,1.0,1.0,Frontend/Web,other,none,shared
linux systems engineer,1.0,1.0,Embedded/Systems,other,none,shared
machine learning engineer (remote),1.0,1.0,AI/ML,ai_tool_or_domain,none,shared
manager of software engineering,1.0,1.0,Other,other,manager,shared
"manager, site reliability engineering",1.0,1.0,Reliability/SRE,other,manager,shared
marketing data engineer,1.0,1.0,Data/Analytics,ai_domain,none,shared
microsoft systems engineer,1.0,1.0,Embedded/Systems,other,none,shared
mid-level software developer,1.0,1.0,General SWE,other,none,shared
model based systems engineer,1.0,1.0,Embedded/Systems,other,none,shared
node.js backend developer,1.0,1.0,Backend/API,other,none,shared
operating system engineer,1.0,1.0,Embedded/Systems,other,none,shared
product system engineer,1.0,1.0,Embedded/Systems,other,none,shared
prompt engineer,1.0,1.0,AI/ML,other,none,shared
python software developer,1.0,1.0,General SWE,other,none,shared
qa automation test engineer,1.0,1.0,QA/Testing,other,none,shared
qa test,1.0,1.0,QA/Testing,other,none,shared
quality assurance engineer (hybrid),1.0,1.0,QA/Testing,other,none,shared
react front end developer,1.0,1.0,Frontend/Web,other,none,shared
react software engineer,1.0,1.0,General SWE,other,none,shared
sdet/qa automation engineer,1.0,1.0,QA/Testing,other,none,shared
site reliability engineer - federal,1.0,1.0,Reliability/SRE,other,none,shared
software application developer,1.0,1.0,General SWE,other,none,shared
software developer intern,1.0,1.0,General SWE,other,none,shared
software engineer (.net full stack),1.0,1.0,Full Stack,other,none,shared
software engineer (automation),1.0,1.0,General SWE,other,none,shared
