company_name_canonical,n_2024_arshkon,n_2024_asaniczka,n_2026_scraped,is_aggregator,breadth_resid_mean_2024,breadth_resid_mean_2026,ai_strict_mean_2024,ai_strict_mean_2026,mgmt_mean_2024,mgmt_mean_2026,mentor_on_s1_rate_2024,mentor_on_s1_rate_2026,desc_len_median_2024,desc_len_median_2026,yoe_llm_median_2024,yoe_llm_median_2026,yoe_rule_median_2024,yoe_rule_median_2026,tech_count_mean_2024,tech_count_mean_2026,scope_mean_2024,scope_mean_2026,credstack_mean_2024,credstack_mean_2026,breadth_resid_mean_delta,ai_strict_mean_delta,mgmt_mean_delta,mentor_on_s1_rate_delta,desc_len_median_delta,yoe_llm_median_delta,yoe_rule_median_delta,tech_count_mean_delta,scope_mean_delta,credstack_mean_delta,vol_2024,vol_2026,vol_log_ratio,cmax,cavg,size_class,archetype_name,is_tech_giant
"Miracle Software Systems, Inc",3.0,3.0,7.0,True,4.82005425169899,2.3147420385049466,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,1164.5,3913.0,5.0,7.0,7.5,7.0,9.833333333333334,9.285714285714286,0.5,0.8571428571428571,3.1666666666666665,4.285714285714286,-2.5053122131940437,0.42857142857142855,0.0,0.0,2748.5,2.0,-0.5,-0.5476190476190474,0.3571428571428571,1.119047619047619,0.1875,0.23333333333333334,0.13353139262452257,2528.0,2528.0,mid,java/boot/microservices,False
Apetan Consulting LLC,3.0,0.0,15.0,True,0.3498649191013463,1.5289553065314567,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,346.0,2025.0,8.0,5.5,8.0,5.0,3.3333333333333335,8.333333333333334,0.0,0.4666666666666667,2.3333333333333335,3.3333333333333335,1.1790903874301104,0.06666666666666667,0.0,0.0,1679.0,-2.5,-3.0,5.0,0.4666666666666667,1.0,0.1875,0.5,0.8594683960074588,146.0,146.0,small,software/sql/aspnet,False
Harvey Nash,4.0,1.0,6.0,False,0.6952553417944685,0.7821711314473413,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,2000.0,664.5,3.5,5.5,4.0,4.0,7.2,6.166666666666667,0.2,0.3333333333333333,2.6,2.6666666666666665,0.08691578965287283,0.16666666666666666,0.0,0.0,-1335.5,2.0,0.0,-1.0333333333333332,0.1333333333333333,0.06666666666666643,0.25,0.2,-0.2608838792970568,3248.0,3248.0,mid,android/kotlin/jetpack,False
Agility Partners,4.0,2.0,8.0,False,-1.3408264991283432,0.057806697010738706,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1790.0,1905.5,3.5,5.0,3.5,5.0,4.166666666666667,6.25,0.16666666666666666,0.625,3.5,3.875,1.3986331961390819,-0.16666666666666666,0.0,0.0,115.5,1.5,1.5,2.083333333333333,0.45833333333333337,0.375,0.25,0.26666666666666666,0.00738010729762246,88.0,88.0,small,pipelines/sql/etl,False
Raas Infotek,7.0,2.0,33.0,True,-0.9034009832159791,6.374472245569608,0.0,0.030303030303030304,0.1111111111111111,0.030303030303030304,0.14285714285714285,0.0,1969.0,2174.0,10.0,10.0,10.0,7.0,4.777777777777778,11.696969696969697,0.3333333333333333,0.5757575757575758,3.5555555555555554,4.03030303030303,7.277873228785587,0.030303030303030304,-0.0808080808080808,-0.14285714285714285,205.0,0.0,-3.0,6.91919191919192,0.2424242424242425,0.4747474747474749,0.4375,1.1,0.868033758866382,691.0,273.57142857142856,small,java/boot/microservices,False
General Dynamics Information Technology,3.0,18.0,80.0,True,-2.9656140052462483,-0.5386442967740888,0.0,0.0625,0.0,0.0125,0.0,0.0,5645.0,6040.5,5.0,6.0,5.0,5.0,5.0,9.275,0.2857142857142857,0.25,4.285714285714286,4.1375,2.4269697084721598,0.0625,0.0125,0.0,395.5,1.0,0.0,4.275,-0.0357142857142857,-0.1482142857142854,0.1875,2.6666666666666665,2.5068855565067754,24587.0,24587.0,large,systems/clearance/requirements,False
Goliath Partners,5.0,2.0,37.0,False,-4.2111548735620365,-3.5299078082918918,0.0,0.08108108108108109,0.0,0.0,0.0,0.0,1170.0,888.0,3.0,3.0,3.0,3.0,2.142857142857143,2.2162162162162162,0.0,0.3783783783783784,2.2857142857142856,2.2972972972972974,0.6812470652701448,0.08108108108108109,0.0,0.0,-282.0,0.0,0.0,0.07335907335907343,0.3783783783783784,0.011583011583011782,0.3125,1.2333333333333334,1.2909841813155658,4.0,4.0,small,noninternship/software/including_standards,False
Publicis Sapient,4.0,0.0,7.0,False,4.962293021525165,3.7784088356854535,0.0,0.0,0.0,0.0,0.0,0.0,4451.0,3851.0,6.0,6.0,6.0,7.0,12.25,12.571428571428571,0.75,0.2857142857142857,4.25,3.2857142857142856,-1.1838841858397111,0.0,0.0,0.0,-600.0,0.0,1.0,0.3214285714285712,-0.4642857142857143,-0.9642857142857144,0.25,0.23333333333333334,-0.11778303565638351,24663.0,24663.0,large,azure/pipelines/solutions,False
Soni,3.0,0.0,7.0,False,-1.68524104488336,7.508567794896792,0.0,0.0,0.0,0.0,0.0,0.0,705.0,1795.0,4.0,5.0,4.0,4.0,1.6666666666666667,12.714285714285714,0.0,0.7142857142857143,2.3333333333333335,4.285714285714286,9.193808839780152,0.0,0.0,0.0,1090.0,1.0,0.0,11.047619047619047,0.7142857142857143,1.952380952380952,0.1875,0.23333333333333334,0.13353139262452257,357.0,357.0,small,backend/systems/apis,False
Amazon,31.0,142.0,376.0,True,-3.81784844184901,-3.30501774399886,0.046242774566473986,0.061170212765957445,0.017341040462427744,0.02127659574468085,0.01948051948051948,0.01744186046511628,4184.0,5345.0,3.0,3.0,3.0,3.0,2.2485549132947975,3.606382978723404,0.3988439306358382,0.6303191489361702,4.635838150289017,4.723404255319149,0.5128306978501498,0.014927438199483459,0.003935555282253107,-0.0020386590154032012,1161.0,0.0,0.0,1.3578280654286066,0.23147521830033208,0.08756610503013196,1.9375,12.533333333333333,1.8523218419859868,748312.0,748312.0,large,noninternship/software/including_standards,True
Goldman Sachs,6.0,29.0,49.0,False,1.8222725418819254,4.1642533168319895,0.0,0.14285714285714285,0.02857142857142857,0.02040816326530612,0.043478260869565216,0.0,5251.0,5290.0,5.0,4.5,5.0,4.0,6.742857142857143,9.591836734693878,0.7428571428571429,0.8775510204081632,5.085714285714285,4.8979591836734695,2.341980774950064,0.14285714285714285,-0.00816326530612245,-0.043478260869565216,39.0,-0.5,-1.0,2.848979591836735,0.13469387755102036,-0.1877551020408159,0.375,1.6333333333333333,1.401561833250679,54575.0,54575.0,large,software/systems/requirements,False
The Judge Group,4.0,35.0,17.0,False,-1.6508725583130899,-1.099493012155019,0.0,0.11764705882352941,0.02564102564102564,0.058823529411764705,0.030303030303030304,0.0,2168.0,3060.0,5.0,6.0,5.0,6.0,4.564102564102564,6.9411764705882355,0.41025641025641024,0.47058823529411764,3.923076923076923,3.235294117647059,0.5513795461580708,0.11764705882352941,0.033182503770739065,-0.030303030303030304,892.0,1.0,1.0,2.3770739064856716,0.0603318250377074,-0.687782805429864,0.25,0.5666666666666667,0.7295148247308203,2366.0,2366.0,mid,java/boot/microservices,False
World Wide Technology,5.0,19.0,9.0,False,-1.2792064892173698,-4.5868038477561965,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,2324.0,7625.0,6.0,5.0,5.0,5.0,3.6666666666666665,2.2222222222222223,0.3333333333333333,0.6666666666666666,3.6666666666666665,4.444444444444445,-3.3075973585388265,0.0,-0.041666666666666664,0.0,5301.0,-1.0,0.0,-1.4444444444444442,0.3333333333333333,0.7777777777777781,0.3125,0.3,-0.0820649530543043,8376.0,8376.0,mid,kubernetes/terraform/cicd,False
Siri InfoSolutions Inc,7.0,1.0,11.0,True,-1.939621982059375,1.9220695324432022,0.0,0.0,0.0,0.09090909090909091,0.0,0.25,1406.5,1524.0,9.0,8.0,5.0,8.0,3.875,8.818181818181818,0.125,0.36363636363636365,2.625,2.727272727272727,3.861691514502577,0.0,0.09090909090909091,0.25,117.5,-1.0,3.0,4.943181818181818,0.23863636363636365,0.10227272727272707,0.4375,0.36666666666666664,-0.2011646445954346,512.0,512.0,small,java/boot/microservices,False
myGwork - LGBTQ+ Business Community,12.0,0.0,128.0,False,-1.9428149446740102,-0.49383851918970034,0.0,0.109375,0.08333333333333333,0.0625,0.1111111111111111,0.07692307692307693,3067.0,6225.0,4.5,3.0,3.0,3.0,6.416666666666667,6.6875,0.16666666666666666,0.6328125,3.6666666666666665,4.8671875,1.4489764254843098,0.109375,-0.02083333333333333,-0.03418803418803418,3158.0,-1.5,0.0,0.27083333333333304,0.46614583333333337,1.2005208333333335,0.75,4.266666666666667,1.701591600604645,133.0,133.0,small,noninternship/software/including_standards,False
Wipro,6.0,12.0,22.0,True,-0.043256709082470875,-0.9776216839024705,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,1883.0,2967.5,7.0,5.0,5.0,2.5,4.833333333333333,6.909090909090909,0.1111111111111111,0.7727272727272727,2.8333333333333335,3.6818181818181817,-0.9343649748199996,0.18181818181818182,0.0,0.0,1084.5,-2.0,-2.5,2.075757575757576,0.6616161616161615,0.8484848484848482,0.375,0.7333333333333333,0.6131044728864089,245662.0,245662.0,large,kubernetes/terraform/cicd,False
Parsons Corporation,4.0,12.0,29.0,False,-4.337559444238425,-0.4930539004749207,0.0,0.0,0.0,0.034482758620689655,0.0,0.08333333333333333,4631.5,4844.0,10.0,5.0,10.0,5.0,4.0625,6.482758620689655,0.1875,0.6551724137931034,3.8125,4.517241379310345,3.8445055437635047,0.0,0.034482758620689655,0.08333333333333333,212.5,-5.0,-5.0,2.420258620689655,0.4676724137931034,0.7047413793103452,0.25,0.9666666666666667,1.251704207147126,18408.0,18408.0,large,systems/clearance/requirements,False
Unisys,3.0,2.0,20.0,True,3.2161635024992905,6.646538025488764,0.4,0.25,0.0,0.0,0.0,0.0,3869.0,2543.5,10.0,5.0,10.0,5.0,9.8,12.9,0.2,0.5,4.6,4.15,3.430374522989473,-0.15000000000000002,0.0,0.0,-1325.5,-5.0,-5.0,3.0999999999999996,0.3,-0.4499999999999993,0.1875,0.6666666666666666,1.1390532582266204,24394.0,24394.0,large,backend/systems/services,False
Infosys,5.0,37.0,50.0,False,0.5083684850357857,2.865046144344937,0.0,0.0,0.0,0.0,0.0,0.0,3855.5,4299.5,6.5,4.0,6.0,4.0,4.476190476190476,8.76,0.8333333333333334,0.76,5.5476190476190474,5.2,2.356677659309151,0.0,0.0,0.0,444.0,-2.5,-2.0,4.2838095238095235,-0.07333333333333336,-0.34761904761904727,0.3125,1.6666666666666667,1.588616584620515,322488.0,322488.0,large,software/systems/requirements,False
VT Group (VTG),3.0,0.0,18.0,False,-4.540654640707079,0.1293218111528359,0.0,0.0,0.0,0.0,0.0,0.0,1643.0,2124.5,2.5,4.5,10.0,4.0,1.6666666666666667,7.777777777777778,0.3333333333333333,0.3888888888888889,4.0,4.055555555555555,4.669976451859915,0.0,0.0,0.0,481.5,2.0,-6.0,6.111111111111111,0.05555555555555558,0.05555555555555536,0.1875,0.6,1.036399104166537,1006.0,1006.0,mid,software/solutions/technology,False
Confidential,5.0,5.0,8.0,False,0.8076991080826815,-0.35141745270514146,0.0,0.0,0.1,0.0,0.1,0.0,2090.0,2564.0,6.0,4.0,6.0,5.0,7.0,6.125,0.4,0.75,4.1,4.25,-1.1591165607878229,0.0,-0.1,-0.1,474.0,-2.0,-1.0,-0.875,0.35,0.15000000000000036,0.3125,0.26666666666666666,-0.19329058816452863,35364.0,29636.2,large,software/solutions/technology,False
U.S. Bank,4.0,6.0,37.0,False,4.410837152342068,2.8635008078208486,0.0,0.10810810810810811,0.1,0.02702702702702703,0.1,0.0,6558.0,6786.0,6.0,5.0,6.0,5.0,8.8,9.702702702702704,0.7,0.972972972972973,5.1,4.918918918918919,-1.5473363445212192,0.10810810810810811,-0.07297297297297298,-0.1,228.0,-1.0,-1.0,0.9027027027027028,0.27297297297297307,-0.18108108108108034,0.25,1.2333333333333334,1.491654876777717,77486.0,77486.0,large,software/solutions/technology,False
hackajob,10.0,0.0,263.0,False,0.877494765102384,1.0941415632216518,0.0,0.08365019011406843,0.1,0.049429657794676805,0.2,0.08,1949.5,5805.0,5.0,5.0,5.0,5.0,7.3,8.577946768060837,0.4,0.5703422053231939,3.3,4.376425855513308,0.2166467981192678,0.08365019011406843,-0.0505703422053232,-0.12000000000000001,3855.5,0.0,0.0,1.2779467680608372,0.17034220532319388,1.0764258555133086,0.625,8.766666666666667,2.5940694513955656,158.0,158.0,small,software/solutions/technology,False
State Farm,3.0,2.0,12.0,False,2.287535674492669,2.491263726339032,0.0,0.0,0.4,0.0,0.6666666666666666,0.0,5649.0,5901.5,5.0,5.0,3.0,3.0,10.0,10.916666666666666,0.0,0.3333333333333333,4.0,3.8333333333333335,0.2037280518463631,0.0,-0.4,-0.6666666666666666,252.5,0.0,0.0,0.9166666666666661,0.3333333333333333,-0.16666666666666652,0.1875,0.4,0.6443570163905133,102647.0,102647.0,large,software/solutions/technology,False
Extend Information Systems Inc.,3.0,52.0,4.0,False,1.897711577164917,-0.5821144501163955,0.0,0.0,0.01818181818181818,0.0,0.024390243902439025,0.0,1572.0,3751.5,8.0,15.0,7.0,10.0,7.672727272727273,5.75,0.21818181818181817,0.75,3.090909090909091,4.0,-2.4798260272813124,0.0,-0.01818181818181818,-0.024390243902439025,2179.5,7.0,3.0,-1.9227272727272728,0.5318181818181819,0.9090909090909092,0.1875,0.13333333333333333,-0.37729423114146804,51.0,51.0,small,java/boot/microservices,False
Synechron,15.0,14.0,68.0,True,0.9138774070817447,4.305963915217775,0.0,0.14705882352941177,0.0,0.07352941176470588,0.0,0.0,4315.0,5533.0,8.0,9.0,8.0,10.0,6.827586206896552,10.117647058823529,0.5517241379310345,0.8676470588235294,4.275862068965517,4.411764705882353,3.39208650813603,0.14705882352941177,0.07352941176470588,0.0,1218.0,1.0,2.0,3.2900608519269774,0.31592292089249496,0.13590263691683635,0.9375,2.2666666666666666,0.8573850619206045,12818.0,12818.0,large,java/boot/microservices,False
"IDR, Inc.",4.0,9.0,30.0,True,-1.4893858495414762,-0.6934305167062861,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,1629.0,1884.5,3.0,5.0,7.0,5.0,4.3076923076923075,5.566666666666666,0.0,0.6666666666666666,3.1538461538461537,3.7333333333333334,0.7959553328351902,0.13333333333333333,0.0,0.0,255.5,2.0,-2.0,1.258974358974359,0.6666666666666666,0.5794871794871796,0.25,1.0,1.2850406274147177,470.0,470.0,small,software/requirements/degree,False
