tech,rate_all,rate_excl_aggregator,diff_pp
elasticsearch,0.016043704180468125,0.016813630249589002,-0.07699260691208763
airflow,0.026938352616128477,0.02723808100433418,-0.02997283882057028
bigquery,0.012260404075289243,0.012087131968315647,0.017327210697359527
redshift,0.017142588028445392,0.016047675982663278,0.10949120457821142
cassandra,0.014285490023704495,0.013189358840233149,0.1096131183471346
dynamodb,0.019654322538107723,0.019877447317291883,-0.02231247791841598
tensorflow,0.026718575846533022,0.02706994470183829,-0.03513688553052688
pytorch,0.03296651543931806,0.034000896726946644,-0.10343812876285816
scikit_learn,0.010062636379334704,0.00958376924226573,0.04788671370689734
pandas,0.011679565469929829,0.011713495740547003,-0.0033930270617174227
numpy,0.008398612266683411,0.008612315050067255,-0.021370278338384355
jupyter,0.002998383070909405,0.0032693169929756388,-0.02709339220662338
keras,0.002291957740066875,0.002372590046330892,-0.008063230626401737
xgboost,0.0012872639362019435,0.0013824540427439845,-0.009519010654204102
machine_learning,0.07700036106183576,0.08096697055746525,-0.39666094956294917
deep_learning,0.00036106183576395975,0.0004109998505455089,-0.004993801478154916
nlp,0.014426775089873,0.014048722164101031,0.037805292577196975
computer_vision,6.279336274155822e-05,5.604543416529667e-05,0.0006747928576261552
llm,0.0743944365080611,0.07497010910177851,-0.05756725937174079
langchain,0.020266557824837914,0.018775220445374382,0.14913373794635323
langgraph,0.011428392018963595,0.010032132715588104,0.13962593033754916
rag,0.03235428015258787,0.03132939769840084,0.1024882454187033
vector_db,4.709502205616866e-05,1.868181138843222e-05,0.002841321066773644
pinecone,0.0052118491075493325,0.004950680017934539,0.026116908961479335
chromadb,0.0016326274312805137,0.0013077267971902556,0.03249006340902581
huggingface,0.0021035776518422,0.002036317441339112,0.006726021050308803
openai_api,0.020596222979231096,0.019970856374234045,0.06253666049970512
claude_api,0.008194533837773348,0.008724405918397848,-0.05298720806245008
prompt_engineering,0.00015698340685389554,0.00011209086833059333,0.004489253852330221
fine_tuning,0.013076717790929499,0.014048722164101031,-0.09720043731715322
mcp,0.01306101945024411,0.012329995516365266,0.07310239338788431
agents_framework,0.08367215585312632,0.08447915109849051,-0.08069952453641921
gpt,0.004992072337953879,0.004894634583769242,0.009743775418463631
transformer_arch,0.0033594449066733645,0.00386713495740547,-0.05076900507321055
embedding,0.01864962873424279,0.018924674936481842,-0.02750462022390529
copilot,0.024426618106466146,0.023744582274697355,0.06820358317687902
cursor_tool,0.012260404075289243,0.01320804065162158,-0.09476365763323377
chatgpt,0.004034473556145115,0.00437154386489314,-0.033707030874802466
claude_tool,0.021648011805152197,0.022399491854730235,-0.07514800495780384
gemini_tool,0.006593303087863613,0.006706770288447168,-0.011346720058355488
codex_tool,0.003343746565987975,0.0035682259751905546,-0.022447940920257946
jest,0.010863251754289571,0.01033104169780302,0.05322100564865515
pytest,0.005070564041380826,0.00521222537737259,-0.014166133599176345
selenium,0.02040784289100642,0.020120310865341502,0.028753202566491817
cypress,0.009591686158773018,0.009621132865042594,-0.002944670626957649
junit,0.020611921319916484,0.019466447466746375,0.11454738531701085
playwright,0.009654479521514575,0.009210133014497086,0.04443465070174887
agile,0.26624385802420686,0.25412868031684355,1.2115177707363312
scrum,0.0557605061145037,0.05604543416529667,-0.02849280507929708
tdd,0.01624778260937819,0.016608130324316246,-0.03603477149380571
kanban,0.00913643427889672,0.009060678523389628,0.007575575550709292
microservices,0.11696833644683757,0.10874682409206397,0.8221512354773599
_ai_any,0.15607290309414296,0.15801076072335973,-0.1937857629216777
