source,industry,n
kaggle_arshkon,"Electric Power Transmission, Control, and Distribution",5
kaggle_arshkon,Hospitality,5
kaggle_arshkon,Mining,5
kaggle_arshkon,Non-profit Organizations,5
kaggle_arshkon,Public Safety,5
kaggle_arshkon,Retail Apparel and Fashion,5
kaggle_arshkon,Wholesale Building Materials,5
kaggle_arshkon,"Agriculture, Construction, Mining Machinery Manufacturing",4
kaggle_arshkon,Civil Engineering,4
kaggle_arshkon,Computer Networking Products,4
kaggle_arshkon,Data Infrastructure and Analytics,4
kaggle_arshkon,Data Security Software Products,4
kaggle_arshkon,E-Learning Providers,4
kaggle_arshkon,Food and Beverage Manufacturing,4
kaggle_arshkon,Renewable Energy Semiconductor Manufacturing,4
kaggle_arshkon,Space Research and Technology,4
kaggle_arshkon,Book and Periodical Publishing,3
kaggle_arshkon,Civic and Social Organizations,3
kaggle_arshkon,Computer Networking,3
kaggle_arshkon,Consumer Electronics,3
kaggle_arshkon,Education,3
kaggle_arshkon,Executive Search Services,3
kaggle_arshkon,IT System Data Services,3
kaggle_arshkon,Internet News,3
kaggle_arshkon,Legal Services,3
kaggle_arshkon,Maritime Transportation,3
kaggle_arshkon,Market Research,3
kaggle_arshkon,Media Production,3
kaggle_arshkon,Outsourcing and Offshoring Consulting,3
kaggle_arshkon,Spectator Sports,3
kaggle_arshkon,Agricultural Chemical Manufacturing,2
kaggle_arshkon,Business Content,2
kaggle_arshkon,Business Intelligence Platforms,2
kaggle_arshkon,Electric Power Generation,2
kaggle_arshkon,Electrical Equipment Manufacturing,2
kaggle_arshkon,Engines and Power Transmission Equipment Manufacturing,2
kaggle_arshkon,Events Services,2
kaggle_arshkon,IT System Testing and Evaluation,2
kaggle_arshkon,Insurance Agencies and Brokerages,2
kaggle_arshkon,Internet Publishing,2
kaggle_arshkon,Medical Device,2
kaggle_arshkon,Mental Health Care,2
kaggle_arshkon,Military and International Affairs,2
kaggle_arshkon,Nanotechnology Research,2
kaggle_arshkon,Paper and Forest Product Manufacturing,2
kaggle_arshkon,Personal Care Product Manufacturing,2
kaggle_arshkon,Plastics Manufacturing,2
kaggle_arshkon,Professional Services,2
kaggle_arshkon,Renewable Energy Equipment Manufacturing,2
kaggle_arshkon,Renewable Energy Power Generation,2
kaggle_arshkon,Restaurants,2
kaggle_arshkon,Robotics Engineering,2
kaggle_arshkon,Security and Investigations,2
kaggle_arshkon,Semiconductors,2
kaggle_arshkon,Social Networking Platforms,2
kaggle_arshkon,Strategic Management Services,2
kaggle_arshkon,Transportation Programs,2
kaggle_arshkon,Travel Arrangements,2
kaggle_arshkon,Venture Capital and Private Equity Principals,2
kaggle_arshkon,Veterinary Services,2
kaggle_arshkon,Writing and Editing,2
kaggle_arshkon,Architecture and Planning,1
kaggle_arshkon,Armed Forces,1
kaggle_arshkon,Biotechnology,1
kaggle_arshkon,Building Construction,1
kaggle_arshkon,Facilities Services,1
kaggle_arshkon,Farming,1
kaggle_arshkon,Food and Beverage Retail,1
kaggle_arshkon,Furniture and Home Furnishings Manufacturing,1
kaggle_arshkon,"Glass, Ceramics and Concrete Manufacturing",1
kaggle_arshkon,HVAC and Refrigeration Equipment Manufacturing,1
kaggle_arshkon,Human Resources,1
kaggle_arshkon,IT System Operations and Maintenance,1
kaggle_arshkon,Individual and Family Services,1
kaggle_arshkon,Industrial Automation,1
kaggle_arshkon,Law Enforcement,1
kaggle_arshkon,Loan Brokers,1
kaggle_arshkon,Mechanical Or Industrial Engineering,1
kaggle_arshkon,Metalworking Machinery Manufacturing,1
kaggle_arshkon,Musicians,1
kaggle_arshkon,Natural Gas Distribution,1
kaggle_arshkon,Operations Consulting,1
kaggle_arshkon,Public Health,1
kaggle_arshkon,Public Relations and Communications Services,1
kaggle_arshkon,Rail Transportation,1
kaggle_arshkon,Real Estate and Equipment Rental Services,1
kaggle_arshkon,Religious Institutions,1
kaggle_arshkon,Research,1
kaggle_arshkon,Retail Groceries,1
kaggle_arshkon,Retail Office Equipment,1
kaggle_arshkon,Retail Pharmacies,1
kaggle_arshkon,Securities and Commodity Exchanges,1
kaggle_arshkon,Solar Electric Power Generation,1
kaggle_arshkon,Think Tanks,1
kaggle_arshkon,Wholesale Machinery,1
kaggle_arshkon,Wood Product Manufacturing,1
scraped,Software Development,9652
scraped,IT Services and IT Consulting,4548
scraped,Financial Services,2733
scraped,"Technology, Information and Internet",1757
scraped,Defense and Space Manufacturing,1458
scraped,Staffing and Recruiting,975
scraped,"Information Services and Technology, Information and Internet",704
scraped,Business Consulting and Services,622
scraped,Hospitals and Health Care,529
scraped,Semiconductor Manufacturing,521
scraped,Aviation and Aerospace Component Manufacturing,459
scraped,Retail,457
scraped,Entertainment Providers,356
scraped,Insurance,328
scraped,"Technology, Information and Media",294
scraped,Information Technology & Services,272
scraped,"Financial Services, Investment Management, and Banking",260
scraped,Civil Engineering,242
scraped,Research Services,233
scraped,Internet Publishing,229
scraped,Medical Equipment Manufacturing,226
scraped,"Appliances, Electrical, and Electronics Manufacturing",222
scraped,Telecommunications,220
scraped,Computer and Network Security,218
scraped,Motor Vehicle Manufacturing,207
scraped,Internet Marketplace Platforms,186
scraped,Banking,181
scraped,"Software Development, Financial Services, and Technology, Information and Internet",176
scraped,"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and IT Services and IT Consulting",170
scraped,Automation Machinery Manufacturing,165
scraped,Computer Hardware Manufacturing,153
scraped,Information Services,148
scraped,Computers and Electronics Manufacturing,146
scraped,Real Estate,141
scraped,"Construction, Software Development, and IT Services and IT Consulting",130
scraped,Biotechnology Research,125
scraped,Manufacturing,125
scraped,"Advertising Services, IT Services and IT Consulting, and Software Development",120
scraped,Software Development and IT Services and IT Consulting,116
scraped,Engineering Services,115
scraped,Advertising Services,112
scraped,"Banking, Financial Services, and Investment Banking",96
scraped,Utilities,90
scraped,Oil and Gas,83
scraped,Industrial Machinery Manufacturing,81
scraped,Government Administration and IT Services and IT Consulting,80
scraped,Robotics Engineering,79
scraped,"Transportation, Logistics, Supply Chain and Storage",78
scraped,Banking and Financial Services,76
scraped,Airlines and Aviation,75
scraped,Higher Education,75
scraped,Pharmaceutical Manufacturing,72
scraped,"Computer Hardware Manufacturing, Software Development, and Computers and Electronics Manufacturing",71
scraped,IT System Data Services,70
scraped,"Software Development, Technology, Information and Internet, and Technology, Information and Media",70
scraped,"Airlines and Aviation, Aviation and Aerospace Component Manufacturing, and Defense and Space Manufacturing",68
scraped,Non-profit Organizations,68
scraped,Government Administration,66
scraped,Professional Services,65
scraped,Human Resources Services,64
scraped,Wellness and Fitness Services,64
scraped,IT Services and IT Consulting and Business Consulting and Services,61
scraped,Mental Health Care,60
scraped,IT System Custom Software Development,58
scraped,Marketing Services,57
scraped,Computer Games,56
scraped,Automotive,53
scraped,IT Services and IT Consulting and Financial Services,53
scraped,"Accounting, IT Services and IT Consulting, and Business Consulting and Services",51
scraped,"Financial Services, Investment Banking, and Investment Management",51
scraped,Construction,49
scraped,Online Audio and Video Media,49
scraped,Consumer Services,47
scraped,"Technology, Information and Internet, Software Development, and IT Services and IT Consulting",43
scraped,Machinery Manufacturing,41
scraped,Venture Capital and Private Equity Principals,41
scraped,"Computer Hardware Manufacturing, Software Development, and IT Services and IT Consulting",39
scraped,Investment Management,39
scraped,Broadcast Media Production and Distribution,38
scraped,Defense & Space,38
scraped,"IT Services and IT Consulting, Technology, Information and Internet, and Computer and Network Security",38
scraped,Defense and Space Manufacturing and Aviation and Aerospace Component Manufacturing,37
scraped,Data Infrastructure and Analytics,35
scraped,IT Services and IT Consulting and Software Development,35
scraped,Law Practice,35
scraped,Software Development and IT System Custom Software Development,35
scraped,Aviation & Aerospace,34
scraped,Hospitality,34
scraped,"Business Consulting and Services, IT Services and IT Consulting, and Professional Training and Coaching",32
scraped,Food and Beverage Services,31
scraped,Retail Apparel and Fashion,29
scraped,"Software Development, IT Services and IT Consulting, and Pharmaceutical Manufacturing",29
scraped,"Banking, Investment Banking, and Financial Services",28
scraped,Internet News,28
scraped,Social Networking Platforms,28
scraped,"Software Development, Consumer Services, and Entertainment Providers",28
scraped,Space Research and Technology,28
scraped,Spectator Sports,28
scraped,"Software Development, Technology, Information and Internet, and IT Services and IT Consulting",27
scraped,Non-profit Organizations and Primary and Secondary Education,26
scraped,"Software Development, IT Services and IT Consulting, and Technology, Information and Internet",26
scraped,Wholesale Building Materials,26
scraped,E-Learning Providers,25
scraped,Financial Services and Banking,25
scraped,Design Services,24
scraped,Musicians,24
scraped,Security and Investigations,24
scraped,Public Safety,23
scraped,Truck Transportation,23
scraped,Computer Hardware Manufacturing and Software Development,22
scraped,"Computer Hardware Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Computers and Electronics Manufacturing",22
scraped,"Wireless Services, Telecommunications, and Communications Equipment Manufacturing",22
scraped,"Accounting, Financial Services, and Business Consulting and Services",21
scraped,Insurance and Financial Services,21
scraped,Investment Banking,21
scraped,Professional Training and Coaching,21
scraped,Wholesale,21
scraped,Chemical Manufacturing,20
scraped,Financial Services and Software Development,20
scraped,Software Development and Financial Services,20
scraped,"Computer Games, Software Development, and Technology, Information and Internet",19
scraped,Financial Services and IT Services and IT Consulting,19
scraped,"Oil and Gas, Defense and Space Manufacturing, and Aviation and Aerospace Component Manufacturing",19
scraped,Accounting,18
scraped,Education Administration Programs,18
scraped,"Motor Vehicle Manufacturing, Renewable Energy Semiconductor Manufacturing, and Utilities",18
scraped,Renewable Energy Semiconductor Manufacturing,18
scraped,"Capital Markets, IT Services and IT Consulting, and Financial Services",17
scraped,"Chemical Manufacturing, Food and Beverage Services, and Food and Beverage Manufacturing",17
scraped,"Computer Hardware Manufacturing, Defense and Space Manufacturing, and IT Services and IT Consulting",17
scraped,"Construction, Civil Engineering, and Industrial Machinery Manufacturing",17
scraped,Defense and Space Manufacturing and Telecommunications,17
scraped,Government Relations Services,17
scraped,IT Services and IT Consulting and Information Services,17
scraped,"Medical Equipment Manufacturing, Hospitals and Health Care, and Pharmaceutical Manufacturing",17
scraped,Software Development and Defense and Space Manufacturing,17
scraped,"Software Development, Consumer Services, and Technology, Information and Internet",17
scraped,"Software Development, IT Services and IT Consulting, and Business Consulting and Services",17
scraped,"Software Development, Technology, Information and Internet, and Financial Services",17
scraped,"Banking, Financial Services, and IT Services and IT Consulting",16
scraped,Blockchain Services,16
scraped,Capital Markets,16
scraped,Electric Power Generation,16
scraped,Restaurants,16
scraped,Retail Office Equipment,16
scraped,"Semiconductor Manufacturing, Software Development, and Computer Hardware Manufacturing",16
scraped,Semiconductors,16
scraped,Book and Periodical Publishing,15
scraped,Computer Networking Products,15
scraped,Defense and Space Manufacturing and Space Research and Technology,15
scraped,Energy Technology,15
scraped,Environmental Services,15
scraped,Ground Passenger Transportation,15
scraped,Research,15
scraped,Design,14
scraped,Financial Services and Insurance,14
scraped,"Financial Services, Banking, and Investment Banking",14
scraped,Gambling Facilities and Casinos and Spectator Sports,14
scraped,Health and Human Services,14
scraped,"IT Services and IT Consulting, Software Development, and IT System Custom Software Development",14
scraped,"Leasing Non-residential Real Estate, IT Services and IT Consulting, and Research Services",14
scraped,Pharmaceutical Manufacturing and Biotechnology Research,14
scraped,"Wireless Services, IT Services and IT Consulting, and Telecommunications",14
scraped,"Appliances, Electrical, and Electronics Manufacturing and Semiconductor Manufacturing",13
scraped,Aviation and Aerospace Component Manufacturing and Defense and Space Manufacturing,13
scraped,"Computer and Network Security, Software Development, and IT Services and IT Consulting",13
scraped,Construction and Civil Engineering,13
scraped,IT Services and IT Consulting and Banking,13
scraped,"IT Services and IT Consulting, Information Services, and Technology, Information and Media",13
scraped,Medical Practices,13
scraped,Renewable Energy Power Generation,13
scraped,"Software Development, Defense and Space Manufacturing, and IT Services and IT Consulting",13
scraped,Travel Arrangements,13
scraped,"Civil Engineering, Public Safety, and Truck Transportation",12
scraped,"Financial Services, IT Services and IT Consulting, and Technology, Information and Internet",12
scraped,Food and Beverage Manufacturing,12
scraped,Legal Services,12
scraped,"Oil and Gas, Utilities, and Renewable Energy Semiconductor Manufacturing",12
scraped,"Real Estate, Financial Services, and Capital Markets",12
scraped,"Software Development and Technology, Information and Media",12
scraped,"Computer Hardware Manufacturing, Computers and Electronics Manufacturing, and Semiconductor Manufacturing",11
scraped,Education,11
scraped,Gambling Facilities and Casinos,11
scraped,"IT Services and IT Consulting, Financial Services, and Banking",11
scraped,"IT Services and IT Consulting, Technology, Information and Internet, and Advertising Services",11
scraped,IT System Operations and Maintenance,11
scraped,Industrial Automation,11
scraped,"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Industrial Machinery Manufacturing",11
scraped,"Retail Office Equipment, E-Learning Providers, and Professional Training and Coaching",11
scraped,Software Development and Computer and Network Security,11
scraped,"Software Development, Defense and Space Manufacturing, and Research Services",11
scraped,"Technology, Information and Internet, Business Consulting and Services, and Marketing Services",11
scraped,"Appliances, Electrical, and Electronics Manufacturing, Nanotechnology Research, and Semiconductor Manufacturing",10
scraped,Computers and Electronics Manufacturing and Retail,10
scraped,"Electric Power Transmission, Control, and Distribution",10
scraped,Financial Services and Hospitals and Health Care,10
scraped,"IT Services and IT Consulting, Information Services, and Research Services",10
scraped,Maritime Transportation,10
scraped,"Technology, Information and Media and Software Development",10
scraped,"Airlines and Aviation, IT Services and IT Consulting, and Security and Investigations",9
scraped,"Banking, Financial Services, and Insurance",9
scraped,Biotechnology Research and Pharmaceutical Manufacturing,9
scraped,Education Administration Programs and E-Learning Providers,9
scraped,Facilities Services,9
scraped,Freight and Package Transportation,9
scraped,IT Services and IT Consulting and Telecommunications,9
scraped,"IT Services and IT Consulting, Technology, Information and Internet, and Telecommunications",9
scraped,Information Services and IT Services and IT Consulting,9
scraped,Medical Device,9
scraped,Nuclear Electric Power Generation,9
scraped,Services for Renewable Energy,9
scraped,"Software Development, Design Services, and IT Services and IT Consulting",9
scraped,Staffing and Recruiting and IT Services and IT Consulting,9
scraped,"Technology, Information and Internet and Software Development",9
scraped,__missing__,9
scraped,"Accounting, Financial Services, and IT Services and IT Consulting",8
scraped,"Agriculture, Construction, Mining Machinery Manufacturing",8
scraped,Armed Forces,8
scraped,Biotechnology,8
scraped,Business Intelligence Platforms,8
scraped,"Computer Hardware Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Semiconductor Manufacturing",8
scraped,"Construction, Machinery Manufacturing, and Truck Transportation",8
scraped,Engineering Services and IT Services and IT Consulting,8
scraped,"Financial Services and Technology, Information and Media",8
scraped,"Hospitality, Food and Beverage Services, and Retail",8
scraped,Hospitals and Health Care and Insurance,8
scraped,Information Technology & Services and Financial Services,8
scraped,Manufacturing and Food and Beverage Services,8
scraped,Mining,8
scraped,Newspaper Publishing,8
scraped,Robot Manufacturing,8
scraped,Security Systems Services,8
scraped,"Software Development, Capital Markets, and Financial Services",8
scraped,"Software Development, IT Services and IT Consulting, and Research Services",8
scraped,"Software Development, Information Services, and IT Services and IT Consulting",8
scraped,"Technology, Information and Internet and Financial Services",8
scraped,"Technology, Information and Internet and Transportation, Logistics, Supply Chain and Storage",8
scraped,"Advertising Services, Software Development, and Information Services",7
scraped,"Banking, Capital Markets, and Financial Services",7
scraped,"Capital Markets, Investment Banking, and Investment Management",7
scraped,"Computer Networking Products, Software Development, and Technology, Information and Internet",7
scraped,Construction and Machinery Manufacturing,7
scraped,"Defense and Space Manufacturing, Space Research and Technology, and Aviation and Aerospace Component Manufacturing",7
scraped,Electronic and Precision Equipment Maintenance,7
scraped,Embedded Software Products,7
scraped,Food & Beverages,7
scraped,"Food and Beverage Services, Manufacturing, and Food and Beverage Manufacturing",7
scraped,"IT Services and IT Consulting, Computer and Network Security, and Information Services",7
scraped,"IT Services and IT Consulting, Software Development, and Financial Services",7
scraped,Information Services and Software Development,7
scraped,"Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Medical Equipment Manufacturing",7
scraped,Packaging and Containers Manufacturing,7
scraped,Railroad Equipment Manufacturing,7
scraped,Security and Investigations and Construction,7
scraped,"Semiconductors, Consumer Electronics, and Computer Hardware",7
scraped,Software Development and Research Services,7
scraped,"Wellness and Fitness Services, IT Services and IT Consulting, and Manufacturing",7
scraped,"Alternative Medicine, Hospitals and Health Care, and Mental Health Care",6
scraped,"Appliances, Electrical, and Electronics Manufacturing and Industrial Machinery Manufacturing",6
scraped,"Appliances, Electrical, and Electronics Manufacturing, Industrial Machinery Manufacturing, and Medical Equipment Manufacturing",6
scraped,"Aviation and Aerospace Component Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Automation Machinery Manufacturing",6
scraped,"Banking, Financial Services, and Capital Markets",6
scraped,Business Consulting and Services and IT Services and IT Consulting,6
scraped,"Consumer Services, Financial Services, and IT Services and IT Consulting",6
scraped,Data Security Software Products,6
scraped,"Defense and Space Manufacturing, Airlines and Aviation, and Semiconductor Manufacturing",6
scraped,Entertainment Providers and Broadcast Media Production and Distribution,6
scraped,Financial Services and Investment Management,6
scraped,"Hospitals and Health Care, IT Services and IT Consulting, and Software Development",6
scraped,"IT Services and IT Consulting, Banking, and Financial Services",6
scraped,"IT Services and IT Consulting, IT System Custom Software Development, and Software Development",6
scraped,"Information Services and Technology, Information and Media",6
scraped,"Manufacturing, Food and Beverage Manufacturing, and Food and Beverage Services",6
scraped,Mobile Computing Software Products,6
scraped,Motor Vehicle Parts Manufacturing,6
scraped,Public Health,6
scraped,Software Development and Information Services,6
scraped,"Staffing and Recruiting and Technology, Information and Media",6
scraped,"Technology, Information and Internet, Information Services, and Software Development",6
scraped,Apparel & Fashion,5
scraped,Architecture and Planning,5
scraped,Commercial and Industrial Machinery Maintenance,5
scraped,"Computer Networking Products, Wireless Services, and Appliances, Electrical, and Electronics Manufacturing",5
scraped,Consumer Goods,5
scraped,"Defense and Space Manufacturing, Aviation and Aerospace Component Manufacturing, and Armed Forces",5
scraped,Executive Offices,5
scraped,"Financial Services and Transportation, Logistics, Supply Chain and Storage",5
scraped,"Financial Services, Software Development, and Technology, Information and Media",5
scraped,Hospitals and Health Care and IT Services and IT Consulting,5
scraped,"Hospitals and Health Care, Insurance, and Pharmaceutical Manufacturing",5
scraped,IT Services and IT Consulting and Engineering Services,5
scraped,IT Services and IT Consulting and Government Administration,5
scraped,"IT Services and IT Consulting, Data Infrastructure and Analytics, and Software Development",5
scraped,"IT Services and IT Consulting, Engineering Services, and Software Development",5
scraped,IT System Custom Software Development and Software Development,5
scraped,"Manufacturing, Hospitality, and Restaurants",5
scraped,Media Production,5
scraped,Motor Vehicle Manufacturing and Motor Vehicle Parts Manufacturing,5
scraped,Motor Vehicle Manufacturing and Retail,5
scraped,Rail Transportation,5
scraped,Robotics Engineering and Software Development,5
scraped,Satellite Telecommunications,5
scraped,Software Development and Data Infrastructure and Analytics,5
scraped,"Software Development, Financial Services, and IT Services and IT Consulting",5
scraped,"Software Development, Human Resources Services, and Staffing and Recruiting",5
scraped,"Software Development, IT Services and IT Consulting, and Biotechnology Research",5
scraped,Staffing and Recruiting and Financial Services,5
scraped,"Transportation, Logistics, Supply Chain and Storage and Warehousing and Storage",5
scraped,Venture Capital and Private Equity Principals and Banking,5
scraped,Wireless Services,5
scraped,Advertising Services and Marketing Services,4
scraped,"Alternative Dispute Resolution, Law Practice, and Legal Services",4
scraped,"Appliances, Electrical, and Electronics Manufacturing and IT Services and IT Consulting",4
scraped,"Biotechnology Research, Hospitals and Health Care, and Medical Equipment Manufacturing",4
scraped,"Biotechnology Research, Medical Equipment Manufacturing, and Research Services",4
scraped,"Biotechnology Research, Pharmaceutical Manufacturing, and Appliances, Electrical, and Electronics Manufacturing",4
scraped,"Biotechnology Research, Research Services, and Medical Equipment Manufacturing",4
scraped,"Broadcast Media Production and Distribution, Online Audio and Video Media, and Software Development",4
scraped,Business Intelligence Platforms and Internet Publishing,4
scraped,Civic and Social Organizations and Non-profit Organizations,4
scraped,"Defense and Space Manufacturing, Space Research and Technology, and Software Development",4
scraped,Electrical Equipment Manufacturing,4
scraped,Engineering Services and Motor Vehicle Manufacturing,4
scraped,Executive Search Services,4
scraped,"Financial Services, Banking, and Capital Markets",4
scraped,"Financial Services, Investment Management, and Capital Markets",4
scraped,"Financial Services, Software Development, and Capital Markets",4
scraped,Food and Beverage Services and Food and Beverage Manufacturing,4
scraped,Government Administration and Government Relations Services,4
scraped,HVAC and Refrigeration Equipment Manufacturing,4
scraped,Hospitals and Health Care and Information Services,4
scraped,IT Services and IT Consulting and Investment Banking,4
scraped,IT Services and IT Consulting and Retail,4
scraped,IT Services and IT Consulting and Staffing and Recruiting,4
scraped,"IT Services and IT Consulting and Technology, Information and Media",4
scraped,"IT Services and IT Consulting, Financial Services, and Software Development",4
scraped,"IT Services and IT Consulting, IT System Custom Software Development, and IT System Design Services",4
scraped,"IT Services and IT Consulting, Software Development, and IT System Data Services",4
scraped,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet",4
scraped,"IT Services and IT Consulting, Software Development, and Technology, Information and Media",4
scraped,IT System Data Services and Software Development,4
scraped,IT System Testing and Evaluation and IT System Training and Support,4
scraped,Information Services and Financial Services,4
scraped,"Leisure, Travel & Tourism",4
scraped,"Manufacturing, Aviation and Aerospace Component Manufacturing, and Motor Vehicle Manufacturing",4
scraped,Motor Vehicle Manufacturing and Research Services,4
scraped,Motor Vehicle Manufacturing and Truck Transportation,4
scraped,"Non-profit Organizations, Biotechnology Research, and Public Health",4
scraped,Plastics Manufacturing,4
scraped,Renewable Energy Equipment Manufacturing,4
scraped,Retail Pharmacies,4
scraped,Semiconductor Manufacturing and Software Development,4
scraped,Software Development and Automation Machinery Manufacturing,4
scraped,"Software Development, Computer Networking Products, and Technology, Information and Internet",4
scraped,"Software Development, Computers and Electronics Manufacturing, and IT Services and IT Consulting",4
scraped,"Software Development, IT Services and IT Consulting, and Computer Networking Products",4
scraped,"Software Development, IT Services and IT Consulting, and Medical Equipment Manufacturing",4
scraped,"Spectator Sports, Software Development, and Information Services",4
scraped,"Staffing and Recruiting, Software Development, and IT Services and IT Consulting",4
scraped,"Technology, Information and Internet, Computer Networking Products, and Software Development",4
scraped,"Technology, Information and Media and Financial Services",4
scraped,"Telecommunications, IT Services and IT Consulting, and Software Development",4
scraped,"Advertising Services and Technology, Information and Media",3
scraped,"Airlines and Aviation, Aviation and Aerospace Component Manufacturing, and Software Development",3
scraped,"Appliances, Electrical, and Electronics Manufacturing, Transportation, Logistics, Supply Chain and Storage, and Industrial Machinery Manufacturing",3
scraped,"Aviation and Aerospace Component Manufacturing, Defense and Space Manufacturing, and Airlines and Aviation",3
scraped,"Aviation and Aerospace Component Manufacturing, Defense and Space Manufacturing, and Biotechnology Research",3
scraped,Banking and Investment Banking,3
scraped,"Banking, Financial Services, and Investment Management",3
scraped,"Business Consulting and Services, Banking, and Financial Services",3
scraped,Chemical Manufacturing and Manufacturing,3
scraped,Climate Data and Analytics,3
scraped,Climate Technology Product Manufacturing,3
scraped,Computer Hardware,3
scraped,Computer and Network Security and Software Development,3
scraped,"Computer and Network Security, Government Administration, and IT Services and IT Consulting",3
scraped,"Computers and Electronics Manufacturing and Appliances, Electrical, and Electronics Manufacturing",3
scraped,"Computers and Electronics Manufacturing, Software Development, and Financial Services",3
scraped,Consumer Services and Financial Services,3
scraped,"Defense and Space Manufacturing, Airlines and Aviation, and Aviation and Aerospace Component Manufacturing",3
scraped,"Engineering Services, Motor Vehicle Manufacturing, and Motor Vehicle Parts Manufacturing",3
scraped,"Engineering Services, Research Services, and Space Research and Technology",3
scraped,Entertainment,3
scraped,Entertainment Providers and Online Audio and Video Media,3
scraped,"Entertainment Providers and Technology, Information and Media",3
scraped,"Executive Offices, Government Administration, and Government Relations Services",3
scraped,Financial Services and Advertising Services,3
scraped,Financial Services and Engineering Services,3
scraped,Financial Services and IT System Custom Software Development,3
scraped,"Financial Services, Banking, and IT Services and IT Consulting",3
scraped,"Financial Services, Capital Markets, and Investment Management",3
scraped,"Financial Services, Capital Markets, and Software Development",3
scraped,"Financial Services, Engineering Services, and Technology, Information and Media",3
scraped,"Financial Services, Information Services, and IT Services and IT Consulting",3
scraped,Food and Beverage Retail,3
scraped,Furniture and Home Furnishings Manufacturing,3
scraped,"Glass, Ceramics and Concrete Manufacturing",3
scraped,Holding Companies,3
scraped,Hospitals and Health Care and Software Development,3
scraped,"Hospitals and Health Care, IT Services and IT Consulting, and Research Services",3
scraped,"Hospitals and Health Care, Medical Practices, and Wellness and Fitness Services",3
scraped,IT Services and IT Consulting and Airlines and Aviation,3
scraped,IT Services and IT Consulting and Hospitals and Health Care,3
scraped,IT Services and IT Consulting and IT System Data Services,3
scraped,IT Services and IT Consulting and Insurance,3
scraped,IT Services and IT Consulting and Motor Vehicle Manufacturing,3
scraped,IT Services and IT Consulting and Oil and Gas,3
scraped,IT Services and IT Consulting and Utilities,3
