representation,query_uid,query_period,neighbor_uid,neighbor_source,neighbor_period,neighbor_seniority_3level,rank,cosine_distance,cosine_similarity
tfidf,linkedin_li-4273518055,2026-03,asaniczka_e1f5b5f5ea022058,kaggle_asaniczka,2024-01,unknown,3,0.3928880620644861,0.6071119379355139
tfidf,linkedin_li-4273518055,2026-03,asaniczka_a1f9a4e1e636ec25,kaggle_asaniczka,2024-01,unknown,4,0.39830343169306903,0.601696568306931
tfidf,linkedin_li-4273518055,2026-03,asaniczka_84d16a5f0675fd20,kaggle_asaniczka,2024-01,senior,5,0.4108347213997129,0.5891652786002871
tfidf,linkedin_li-4274024665,2026-03,arshkon_3903813687,kaggle_arshkon,2024-04,senior,1,0.2696228886198625,0.7303771113801375
tfidf,linkedin_li-4274024665,2026-03,asaniczka_9651df991dcc43ac,kaggle_asaniczka,2024-01,senior,2,0.30819701881830797,0.691802981181692
tfidf,linkedin_li-4274024665,2026-03,asaniczka_57278f3c95aca0cc,kaggle_asaniczka,2024-01,senior,3,0.3084306711025335,0.6915693288974665
tfidf,linkedin_li-4274024665,2026-03,asaniczka_f98d0a981c95d4ff,kaggle_asaniczka,2024-01,junior,4,0.31576300266467816,0.6842369973353218
tfidf,linkedin_li-4274024665,2026-03,asaniczka_32f21b1f8a703fbd,kaggle_asaniczka,2024-01,senior,5,0.31738348753054735,0.6826165124694527
tfidf,linkedin_li-4274027009,2026-03,asaniczka_d20cf8d562d347e0,kaggle_asaniczka,2024-01,unknown,1,0.2350323956053736,0.7649676043946264
tfidf,linkedin_li-4274027009,2026-03,asaniczka_12088d0d7f949145,kaggle_asaniczka,2024-01,senior,2,0.2704732182633235,0.7295267817366765
tfidf,linkedin_li-4274027009,2026-03,asaniczka_255e27c92792ecf5,kaggle_asaniczka,2024-01,senior,3,0.27703907939519645,0.7229609206048035
tfidf,linkedin_li-4274027009,2026-03,asaniczka_32a96677c06459c9,kaggle_asaniczka,2024-01,unknown,4,0.2792427197665128,0.7207572802334872
tfidf,linkedin_li-4274027009,2026-03,asaniczka_9f8c3df00cdd053a,kaggle_asaniczka,2024-01,unknown,5,0.3050812218807041,0.6949187781192959
tfidf,linkedin_li-4274317782,2026-03,asaniczka_ae9dcda76b06d029,kaggle_asaniczka,2024-01,senior,1,0.35270284215846204,0.647297157841538
tfidf,linkedin_li-4274317782,2026-03,asaniczka_56b852d482835c63,kaggle_asaniczka,2024-01,senior,2,0.3545417246954782,0.6454582753045218
tfidf,linkedin_li-4274317782,2026-03,asaniczka_9fe182756e7e04a0,kaggle_asaniczka,2024-01,senior,3,0.35719679857194186,0.6428032014280581
tfidf,linkedin_li-4274317782,2026-03,arshkon_3889451782,kaggle_arshkon,2024-04,unknown,4,0.3688674507885912,0.6311325492114088
tfidf,linkedin_li-4274317782,2026-03,arshkon_3895587302,kaggle_arshkon,2024-04,unknown,5,0.3935334840166338,0.6064665159833662
tfidf,linkedin_li-4274682122,2026-03,asaniczka_9bec3225da9c810c,kaggle_asaniczka,2024-01,senior,1,0.29992411001856,0.70007588998144
tfidf,linkedin_li-4274682122,2026-03,asaniczka_d8614d824408a173,kaggle_asaniczka,2024-01,senior,2,0.310930439533055,0.689069560466945
tfidf,linkedin_li-4274682122,2026-03,asaniczka_9cfb08477f2825c7,kaggle_asaniczka,2024-01,unknown,3,0.334513768782261,0.665486231217739
tfidf,linkedin_li-4274682122,2026-03,asaniczka_4dd7d68d8ca3d8e0,kaggle_asaniczka,2024-01,senior,4,0.34925298306925845,0.6507470169307416
tfidf,linkedin_li-4274682122,2026-03,asaniczka_32e9683f8081d712,kaggle_asaniczka,2024-01,senior,5,0.3599053718222338,0.6400946281777662
tfidf,linkedin_li-4279288073,2026-03,arshkon_3901376569,kaggle_arshkon,2024-04,unknown,1,0.09538042282166082,0.9046195771783392
tfidf,linkedin_li-4279288073,2026-03,asaniczka_0f426de46e00a99f,kaggle_asaniczka,2024-01,senior,2,0.12852824977769517,0.8714717502223048
tfidf,linkedin_li-4279288073,2026-03,asaniczka_1e5119ac213ebf7a,kaggle_asaniczka,2024-01,unknown,3,0.15187434221722518,0.8481256577827748
tfidf,linkedin_li-4279288073,2026-03,asaniczka_723d037a9e0b827c,kaggle_asaniczka,2024-01,senior,4,0.15805401623924908,0.8419459837607509
tfidf,linkedin_li-4279288073,2026-03,asaniczka_bedd9f62a84d3b18,kaggle_asaniczka,2024-01,senior,5,0.15812006380619592,0.8418799361938041
tfidf,linkedin_li-4279793862,2026-03,arshkon_3904966390,kaggle_arshkon,2024-04,senior,1,0.23564512097020562,0.7643548790297944
tfidf,linkedin_li-4279793862,2026-03,arshkon_3895587302,kaggle_arshkon,2024-04,unknown,2,0.3168633007952898,0.6831366992047102
tfidf,linkedin_li-4279793862,2026-03,asaniczka_d47d0d2933594c56,kaggle_asaniczka,2024-01,unknown,3,0.3266650855208062,0.6733349144791938
tfidf,linkedin_li-4279793862,2026-03,asaniczka_996932a76107be60,kaggle_asaniczka,2024-01,senior,4,0.32724598574252994,0.6727540142574701
tfidf,linkedin_li-4279793862,2026-03,asaniczka_d08ea7531975b9e7,kaggle_asaniczka,2024-01,unknown,5,0.33731064277822276,0.6626893572217772
tfidf,linkedin_li-4279794736,2026-03,arshkon_3904966390,kaggle_arshkon,2024-04,senior,1,0.3567631196472876,0.6432368803527124
tfidf,linkedin_li-4279794736,2026-03,arshkon_3904983008,kaggle_arshkon,2024-04,unknown,2,0.41018244813558946,0.5898175518644105
tfidf,linkedin_li-4279794736,2026-03,asaniczka_794d56091c665732,kaggle_asaniczka,2024-01,unknown,3,0.41266797868031135,0.5873320213196886
tfidf,linkedin_li-4279794736,2026-03,asaniczka_7853bcfa08418440,kaggle_asaniczka,2024-01,unknown,4,0.4192614964973448,0.5807385035026552
tfidf,linkedin_li-4279794736,2026-03,arshkon_3904506938,kaggle_arshkon,2024-04,senior,5,0.42615627700818337,0.5738437229918166
tfidf,linkedin_li-4279798304,2026-03,asaniczka_d8a50075fdf6a905,kaggle_asaniczka,2024-01,senior,1,0.2429070685589071,0.7570929314410929
tfidf,linkedin_li-4279798304,2026-03,asaniczka_f3b15f2136f6d9e6,kaggle_asaniczka,2024-01,senior,2,0.24420591478117004,0.75579408521883
tfidf,linkedin_li-4279798304,2026-03,asaniczka_c03b84d9836bb594,kaggle_asaniczka,2024-01,unknown,3,0.2656068130743954,0.7343931869256046
tfidf,linkedin_li-4279798304,2026-03,asaniczka_958e3261bba5a1d1,kaggle_asaniczka,2024-01,unknown,4,0.32091624659815565,0.6790837534018443
tfidf,linkedin_li-4279798304,2026-03,asaniczka_426961fc3307bbbc,kaggle_asaniczka,2024-01,senior,5,0.34995044904971073,0.6500495509502893
tfidf,linkedin_li-4281119519,2026-03,asaniczka_5d914df75452701e,kaggle_asaniczka,2024-01,unknown,1,0.3602168551078683,0.6397831448921317
tfidf,linkedin_li-4281119519,2026-03,asaniczka_d809b00ece05c51b,kaggle_asaniczka,2024-01,senior,2,0.3872791636686965,0.6127208363313035
tfidf,linkedin_li-4281119519,2026-03,arshkon_3904966390,kaggle_arshkon,2024-04,senior,3,0.3924544818179415,0.6075455181820585
tfidf,linkedin_li-4281119519,2026-03,asaniczka_f3c1a8ad0c186292,kaggle_asaniczka,2024-01,senior,4,0.39423674912756645,0.6057632508724335
tfidf,linkedin_li-4281119519,2026-03,asaniczka_7980c06efce2acaa,kaggle_asaniczka,2024-01,senior,5,0.3979230678367547,0.6020769321632453
tfidf,linkedin_li-4281120423,2026-03,asaniczka_e22f5f83b6609739,kaggle_asaniczka,2024-01,senior,1,0.36868802552116875,0.6313119744788313
tfidf,linkedin_li-4281120423,2026-03,arshkon_3905870863,kaggle_arshkon,2024-04,unknown,2,0.37062134590667417,0.6293786540933258
tfidf,linkedin_li-4281120423,2026-03,asaniczka_958e3261bba5a1d1,kaggle_asaniczka,2024-01,unknown,3,0.37729373828630286,0.6227062617136971
tfidf,linkedin_li-4281120423,2026-03,asaniczka_2c136bddc5564b0a,kaggle_asaniczka,2024-01,senior,4,0.3875344587394257,0.6124655412605743
tfidf,linkedin_li-4281120423,2026-03,asaniczka_426961fc3307bbbc,kaggle_asaniczka,2024-01,senior,5,0.3875344587394257,0.6124655412605743
tfidf,linkedin_li-4281121262,2026-03,arshkon_3895584708,kaggle_arshkon,2024-04,unknown,1,0.25016553327682234,0.7498344667231777
tfidf,linkedin_li-4281121262,2026-03,arshkon_3895587302,kaggle_arshkon,2024-04,unknown,2,0.26983534729074865,0.7301646527092513
tfidf,linkedin_li-4281121262,2026-03,arshkon_3895587299,kaggle_arshkon,2024-04,unknown,3,0.28404647055290677,0.7159535294470932
tfidf,linkedin_li-4281121262,2026-03,arshkon_3889451782,kaggle_arshkon,2024-04,unknown,4,0.29418533364824506,0.7058146663517549
tfidf,linkedin_li-4281121262,2026-03,arshkon_3904966390,kaggle_arshkon,2024-04,senior,5,0.29888783931483887,0.7011121606851611
tfidf,linkedin_li-4281121264,2026-03,arshkon_3904966390,kaggle_arshkon,2024-04,senior,1,0.24312426835692214,0.7568757316430779
tfidf,linkedin_li-4281121264,2026-03,arshkon_3895587302,kaggle_arshkon,2024-04,unknown,2,0.2599763360357301,0.7400236639642699
tfidf,linkedin_li-4281121264,2026-03,arshkon_3904389721,kaggle_arshkon,2024-04,senior,3,0.2885445754998024,0.7114554245001976
tfidf,linkedin_li-4281121264,2026-03,arshkon_3889451782,kaggle_arshkon,2024-04,unknown,4,0.30526649002033945,0.6947335099796605
tfidf,linkedin_li-4281121264,2026-03,asaniczka_284ac545b15bf8fd,kaggle_asaniczka,2024-01,unknown,5,0.30632210598366083,0.6936778940163392
tfidf,linkedin_li-4281122116,2026-03,arshkon_3904389721,kaggle_arshkon,2024-04,senior,1,0.3509825920956151,0.6490174079043849
tfidf,linkedin_li-4281122116,2026-03,asaniczka_f6ada7dfff9700a5,kaggle_asaniczka,2024-01,senior,2,0.3634357803698769,0.6365642196301231
tfidf,linkedin_li-4281122116,2026-03,arshkon_3889451782,kaggle_arshkon,2024-04,unknown,3,0.4031957187422962,0.5968042812577038
tfidf,linkedin_li-4281122116,2026-03,arshkon_3904966390,kaggle_arshkon,2024-04,senior,4,0.4094435870298352,0.5905564129701648
tfidf,linkedin_li-4281122116,2026-03,arshkon_3895587302,kaggle_arshkon,2024-04,unknown,5,0.4108752358899662,0.5891247641100338
tfidf,linkedin_li-4281931156,2026-04,asaniczka_5935e1417bde0a68,kaggle_asaniczka,2024-01,senior,1,0.28376736786235235,0.7162326321376477
tfidf,linkedin_li-4281931156,2026-04,asaniczka_074d2c7c68a0dde1,kaggle_asaniczka,2024-01,senior,2,0.3090414113980653,0.6909585886019347
tfidf,linkedin_li-4281931156,2026-04,arshkon_3904951227,kaggle_arshkon,2024-04,unknown,3,0.32486449023816477,0.6751355097618352
tfidf,linkedin_li-4281931156,2026-04,arshkon_3906245868,kaggle_arshkon,2024-04,senior,4,0.33522721866395244,0.6647727813360476
tfidf,linkedin_li-4281931156,2026-04,arshkon_3870389946,kaggle_arshkon,2024-04,junior,5,0.35629173905839395,0.643708260941606
tfidf,linkedin_li-4284901892,2026-03,asaniczka_d5b3a52f82109f95,kaggle_asaniczka,2024-01,senior,1,0.23144293182062026,0.7685570681793797
tfidf,linkedin_li-4284901892,2026-03,asaniczka_5b293941814f9327,kaggle_asaniczka,2024-01,unknown,2,0.23147931185948512,0.7685206881405149
tfidf,linkedin_li-4284901892,2026-03,asaniczka_20be8cbc703220df,kaggle_asaniczka,2024-01,unknown,3,0.25542595727985773,0.7445740427201423
tfidf,linkedin_li-4284901892,2026-03,asaniczka_9f8c3df00cdd053a,kaggle_asaniczka,2024-01,unknown,4,0.2562207810556786,0.7437792189443214
tfidf,linkedin_li-4284901892,2026-03,asaniczka_9c912af3fbfc345f,kaggle_asaniczka,2024-01,senior,5,0.26202954654966226,0.7379704534503377
tfidf,linkedin_li-4286408716,2026-03,asaniczka_af0fabbe73dbcaac,kaggle_asaniczka,2024-01,senior,1,0.2861759684776638,0.7138240315223362
tfidf,linkedin_li-4286408716,2026-03,asaniczka_ce77e2d524cc8565,kaggle_asaniczka,2024-01,senior,2,0.2861759684776638,0.7138240315223362
tfidf,linkedin_li-4286408716,2026-03,arshkon_3904513117,kaggle_arshkon,2024-04,unknown,3,0.3063136130138122,0.6936863869861878
tfidf,linkedin_li-4286408716,2026-03,asaniczka_f6bf01487b628fd8,kaggle_asaniczka,2024-01,senior,4,0.34364304528439193,0.6563569547156081
tfidf,linkedin_li-4286408716,2026-03,asaniczka_a3e9b1da5a6bd95d,kaggle_asaniczka,2024-01,senior,5,0.34731320458269943,0.6526867954173006
tfidf,linkedin_li-4287366442,2026-03,arshkon_3889451782,kaggle_arshkon,2024-04,unknown,1,0.23696434469147376,0.7630356553085262
tfidf,linkedin_li-4287366442,2026-03,arshkon_3895584708,kaggle_arshkon,2024-04,unknown,2,0.2664264255698612,0.7335735744301388
tfidf,linkedin_li-4287366442,2026-03,arshkon_3905892009,kaggle_arshkon,2024-04,unknown,3,0.27388988847871265,0.7261101115212873
tfidf,linkedin_li-4287366442,2026-03,asaniczka_34a0b50fe8aa394a,kaggle_asaniczka,2024-01,unknown,4,0.29040753635588035,0.7095924636441197
tfidf,linkedin_li-4287366442,2026-03,arshkon_3895587299,kaggle_arshkon,2024-04,unknown,5,0.3024421129397845,0.6975578870602155
tfidf,linkedin_li-4287414868,2026-03,asaniczka_7aa0f216e56ae636,kaggle_asaniczka,2024-01,unknown,1,0.3555887194508708,0.6444112805491292
tfidf,linkedin_li-4287414868,2026-03,asaniczka_8cc745f4c0f050d8,kaggle_asaniczka,2024-01,unknown,2,0.3877822379440855,0.6122177620559145
tfidf,linkedin_li-4287414868,2026-03,asaniczka_aaebded02fc3b3cf,kaggle_asaniczka,2024-01,senior,3,0.4114562391749551,0.5885437608250449
tfidf,linkedin_li-4287414868,2026-03,asaniczka_5ae8ea96f15225e7,kaggle_asaniczka,2024-01,unknown,4,0.4143546308467442,0.5856453691532558
tfidf,linkedin_li-4287414868,2026-03,asaniczka_a8a456daf9002bf0,kaggle_asaniczka,2024-01,unknown,5,0.4160426085764628,0.5839573914235372
tfidf,linkedin_li-4287415821,2026-03,asaniczka_6c5490678299f7ac,kaggle_asaniczka,2024-01,senior,1,0.20064385022467757,0.7993561497753224
tfidf,linkedin_li-4287415821,2026-03,arshkon_3887101757,kaggle_arshkon,2024-04,senior,2,0.21156790377818602,0.788432096221814
tfidf,linkedin_li-4287415821,2026-03,arshkon_3902864931,kaggle_arshkon,2024-04,unknown,3,0.37707229651116736,0.6229277034888326
tfidf,linkedin_li-4287415821,2026-03,asaniczka_c520f0a7d39b51af,kaggle_asaniczka,2024-01,unknown,4,0.40955533670135347,0.5904446632986465
tfidf,linkedin_li-4287415821,2026-03,asaniczka_46c8b05dae551ce7,kaggle_asaniczka,2024-01,unknown,5,0.4265205521675244,0.5734794478324756
tfidf,linkedin_li-4287419263,2026-03,asaniczka_49cb1a131bcc7273,kaggle_asaniczka,2024-01,senior,1,0.31223691127703423,0.6877630887229658
tfidf,linkedin_li-4287419263,2026-03,asaniczka_ce82c855c6bc3db1,kaggle_asaniczka,2024-01,unknown,2,0.34572363518496185,0.6542763648150381
tfidf,linkedin_li-4287419263,2026-03,arshkon_3903813687,kaggle_arshkon,2024-04,senior,3,0.3498142131777141,0.6501857868222859
tfidf,linkedin_li-4287419263,2026-03,asaniczka_f98d0a981c95d4ff,kaggle_asaniczka,2024-01,junior,4,0.3531889796138009,0.6468110203861991
tfidf,linkedin_li-4287419263,2026-03,asaniczka_9acc401855dc69c0,kaggle_asaniczka,2024-01,unknown,5,0.35787654174539774,0.6421234582546023
tfidf,linkedin_li-4287421222,2026-03,asaniczka_284ac545b15bf8fd,kaggle_asaniczka,2024-01,unknown,1,0.4105803617568722,0.5894196382431278
tfidf,linkedin_li-4287421222,2026-03,asaniczka_7e97cf0d9a8af346,kaggle_asaniczka,2024-01,senior,2,0.41964880375923985,0.5803511962407601
tfidf,linkedin_li-4287421222,2026-03,asaniczka_410513ed611ea4c2,kaggle_asaniczka,2024-01,unknown,3,0.4246336803133035,0.5753663196866965
tfidf,linkedin_li-4287421222,2026-03,asaniczka_ae9dcda76b06d029,kaggle_asaniczka,2024-01,senior,4,0.4293053044851848,0.5706946955148152
tfidf,linkedin_li-4287421222,2026-03,arshkon_3900079754,kaggle_arshkon,2024-04,unknown,5,0.4364250084974307,0.5635749915025693
tfidf,linkedin_li-4287421224,2026-03,asaniczka_533795ba4fe0f4ab,kaggle_asaniczka,2024-01,unknown,1,0.1781040646107337,0.8218959353892663
tfidf,linkedin_li-4287421224,2026-03,asaniczka_bc01eadffc5f3d82,kaggle_asaniczka,2024-01,senior,2,0.20499413520387555,0.7950058647961245
tfidf,linkedin_li-4287421224,2026-03,asaniczka_ecdeb74384446b97,kaggle_asaniczka,2024-01,unknown,3,0.21082101695279343,0.7891789830472066
tfidf,linkedin_li-4287421224,2026-03,arshkon_3905287203,kaggle_arshkon,2024-04,senior,4,0.2194323114150678,0.7805676885849322
tfidf,linkedin_li-4287421224,2026-03,asaniczka_b7ce3576c9e59ece,kaggle_asaniczka,2024-01,unknown,5,0.23555879608057728,0.7644412039194227
tfidf,linkedin_li-4287988772,2026-03,asaniczka_ad0cdf883c8c2083,kaggle_asaniczka,2024-01,senior,1,0.4088175188038735,0.5911824811961265
tfidf,linkedin_li-4287988772,2026-03,asaniczka_2dcda153e88934f2,kaggle_asaniczka,2024-01,senior,2,0.4426624735439699,0.5573375264560301
tfidf,linkedin_li-4287988772,2026-03,asaniczka_9efbfc483564e3e9,kaggle_asaniczka,2024-01,unknown,3,0.4563516206167122,0.5436483793832878
tfidf,linkedin_li-4287988772,2026-03,asaniczka_4022cb5c5b4d3105,kaggle_asaniczka,2024-01,unknown,4,0.4615867855975636,0.5384132144024364
tfidf,linkedin_li-4287988772,2026-03,asaniczka_82a8cce6e54796da,kaggle_asaniczka,2024-01,unknown,5,0.4656927157100329,0.5343072842899671
tfidf,linkedin_li-4289810846,2026-03,arshkon_3895584708,kaggle_arshkon,2024-04,unknown,1,0.2000133499898079,0.7999866500101921
tfidf,linkedin_li-4289810846,2026-03,arshkon_3895587299,kaggle_arshkon,2024-04,unknown,2,0.22945905557535573,0.7705409444246443
tfidf,linkedin_li-4289810846,2026-03,asaniczka_996932a76107be60,kaggle_asaniczka,2024-01,senior,3,0.2406464488184541,0.7593535511815459
tfidf,linkedin_li-4289810846,2026-03,arshkon_3895587302,kaggle_arshkon,2024-04,unknown,4,0.24117234307761448,0.7588276569223855
tfidf,linkedin_li-4289810846,2026-03,arshkon_3894871488,kaggle_arshkon,2024-04,senior,5,0.2558662415024118,0.7441337584975882
tfidf,linkedin_li-4290898954,2026-03,arshkon_3889451782,kaggle_arshkon,2024-04,unknown,1,0.18249171111717133,0.8175082888828287
tfidf,linkedin_li-4290898954,2026-03,arshkon_3895584708,kaggle_arshkon,2024-04,unknown,2,0.18787528009820542,0.8121247199017946
tfidf,linkedin_li-4290898954,2026-03,arshkon_3895587299,kaggle_arshkon,2024-04,unknown,3,0.22249236387305737,0.7775076361269426
tfidf,linkedin_li-4290898954,2026-03,asaniczka_64e2533ee950ffa3,kaggle_asaniczka,2024-01,unknown,4,0.23154576015690065,0.7684542398430994
tfidf,linkedin_li-4290898954,2026-03,asaniczka_9f8c3df00cdd053a,kaggle_asaniczka,2024-01,unknown,5,0.247126549462665,0.752873450537335
tfidf,linkedin_li-4291011014,2026-03,asaniczka_f6ada7dfff9700a5,kaggle_asaniczka,2024-01,senior,1,0.36039126868241156,0.6396087313175884
tfidf,linkedin_li-4291011014,2026-03,arshkon_3905870863,kaggle_arshkon,2024-04,unknown,2,0.36729947116714967,0.6327005288328503
tfidf,linkedin_li-4291011014,2026-03,arshkon_3902352426,kaggle_arshkon,2024-04,unknown,3,0.3678938881400504,0.6321061118599496
tfidf,linkedin_li-4291011014,2026-03,arshkon_3888996307,kaggle_arshkon,2024-04,senior,4,0.3820111604896447,0.6179888395103553
tfidf,linkedin_li-4291011014,2026-03,arshkon_3905892009,kaggle_arshkon,2024-04,unknown,5,0.38446265560481285,0.6155373443951871
tfidf,linkedin_li-4291803212,2026-03,asaniczka_d5b3a52f82109f95,kaggle_asaniczka,2024-01,senior,1,0.23991997214490268,0.7600800278550973
tfidf,linkedin_li-4291803212,2026-03,asaniczka_9f8c3df00cdd053a,kaggle_asaniczka,2024-01,unknown,2,0.272607342990692,0.727392657009308
tfidf,linkedin_li-4291803212,2026-03,asaniczka_3aebd1b97b11b2ae,kaggle_asaniczka,2024-01,unknown,3,0.3115784387475371,0.6884215612524629
tfidf,linkedin_li-4291803212,2026-03,asaniczka_b95708ceceb6a8cd,kaggle_asaniczka,2024-01,unknown,4,0.3115784387475371,0.6884215612524629
tfidf,linkedin_li-4291803212,2026-03,arshkon_3905852463,kaggle_arshkon,2024-04,unknown,5,0.3662508951166519,0.6337491048833481
tfidf,linkedin_li-4299905975,2026-03,arshkon_3895584708,kaggle_arshkon,2024-04,unknown,1,0.12964024657260986,0.8703597534273901
tfidf,linkedin_li-4299905975,2026-03,arshkon_3895587299,kaggle_arshkon,2024-04,unknown,2,0.13278552031165114,0.8672144796883489
tfidf,linkedin_li-4299905975,2026-03,arshkon_3895587302,kaggle_arshkon,2024-04,unknown,3,0.16650896287078476,0.8334910371292152
tfidf,linkedin_li-4299905975,2026-03,arshkon_3894871488,kaggle_arshkon,2024-04,senior,4,0.19679468060389382,0.8032053193961062
tfidf,linkedin_li-4299905975,2026-03,asaniczka_434a835667a5f403,kaggle_asaniczka,2024-01,unknown,5,0.20567900678246276,0.7943209932175372
tfidf,linkedin_li-4299925152,2026-03,arshkon_3895584708,kaggle_arshkon,2024-04,unknown,1,0.13394183565254658,0.8660581643474534
tfidf,linkedin_li-4299925152,2026-03,arshkon_3895587299,kaggle_arshkon,2024-04,unknown,2,0.13963290464566547,0.8603670953543345
tfidf,linkedin_li-4299925152,2026-03,arshkon_3895587302,kaggle_arshkon,2024-04,unknown,3,0.173166524201944,0.826833475798056
tfidf,linkedin_li-4299925152,2026-03,asaniczka_434a835667a5f403,kaggle_asaniczka,2024-01,unknown,4,0.21433669380081255,0.7856633061991875
tfidf,linkedin_li-4299925152,2026-03,asaniczka_9acc401855dc69c0,kaggle_asaniczka,2024-01,unknown,5,0.21783937826447441,0.7821606217355256
tfidf,linkedin_li-4302011362,2026-03,arshkon_3895584708,kaggle_arshkon,2024-04,unknown,1,0.14804949285649271,0.8519505071435073
tfidf,linkedin_li-4302011362,2026-03,arshkon_3895587299,kaggle_arshkon,2024-04,unknown,2,0.17475645381823135,0.8252435461817687
tfidf,linkedin_li-4302011362,2026-03,arshkon_3895587302,kaggle_arshkon,2024-04,unknown,3,0.22088929402459256,0.7791107059754074
tfidf,linkedin_li-4302011362,2026-03,asaniczka_fa303cb2052e5500,kaggle_asaniczka,2024-01,senior,4,0.23533563641658362,0.7646643635834164
tfidf,linkedin_li-4302011362,2026-03,asaniczka_9acc401855dc69c0,kaggle_asaniczka,2024-01,unknown,5,0.23964145667048864,0.7603585433295114
tfidf,linkedin_li-4304130626,2026-04,arshkon_3899542407,kaggle_arshkon,2024-04,unknown,1,0.3200781224561703,0.6799218775438297
tfidf,linkedin_li-4304130626,2026-04,asaniczka_64e2533ee950ffa3,kaggle_asaniczka,2024-01,unknown,2,0.38058722912934406,0.6194127708706559
