source,seniority_native,rank,title_normalized,n
kaggle_asaniczka,mid-senior,28,", software engineer",68
kaggle_asaniczka,mid-senior,29,"manager, devops",62
kaggle_asaniczka,mid-senior,30,. systems engineer,62
kaggle_asaniczka,mid-senior,31,salesforce developer,59
kaggle_asaniczka,mid-senior,32,full stack engineer,57
kaggle_asaniczka,mid-senior,33,application developer,56
kaggle_asaniczka,mid-senior,34,quality assurance engineer,52
kaggle_asaniczka,mid-senior,35,python developer,50
kaggle_asaniczka,mid-senior,36,cloud engineer,46
kaggle_asaniczka,mid-senior,37,web developer,44
kaggle_asaniczka,mid-senior,38,"software engineer, android",42
kaggle_asaniczka,mid-senior,39,infrastructure engineer,42
kaggle_asaniczka,mid-senior,40,"authentication services platform engineer (active directory, sso, aws)",41
kaggle_asaniczka,mid-senior,41,platform engineer,40
kaggle_asaniczka,mid-senior,42,programmer analyst,40
kaggle_asaniczka,mid-senior,43,qa engineer,39
kaggle_asaniczka,mid-senior,44,software development engineer,39
kaggle_asaniczka,mid-senior,45,android developer,39
kaggle_asaniczka,mid-senior,46,software test engineer,35
kaggle_asaniczka,mid-senior,47,qa,35
kaggle_asaniczka,mid-senior,48,. data engineer,35
kaggle_asaniczka,mid-senior,49,backend engineer,33
kaggle_asaniczka,mid-senior,50,dotnet developer,33
