company,n_ar,n_sc,d_mean_breadth_raw,d_mean_breadth_resid,d_mean_desc_length_cleaned
EPITEC,11,33,-0.8787878787878789,1.4371820848752261,-1269.6060606060607
EVONA,4,22,-0.7954545454545454,-0.1632572644577186,-346.5681818181818
Ehub Global Inc,5,5,5.6,5.049102402132217,301.99999999999994
Eliassen Group,12,37,0.036036036036037444,1.415954649882541,-756.4662162162163
Empower Professionals,7,10,2.2142857142857144,3.27131070788614,-579.4571428571429
Entegee,5,10,-2.2,-1.7277238805034139,-258.90000000000003
Equifax,4,30,-6.216666666666665,-3.3837396153796906,-1553.0
Esri,3,66,4.181818181818182,5.321533882484242,-624.7878787878788
Experis,26,58,-1.6074270557029173,-0.1205686936673882,-815.0901856763925
Extend Information Systems Inc.,3,3,2.666666666666667,3.4808519685926727,-446.33333333333337
FIS,6,15,-3.4000000000000004,-0.6843059033144678,-1488.7333333333331
FanDuel,4,14,4.7857142857142865,8.450264780329341,-2008.892857142857
Fanatics,3,33,0.8787878787878798,2.4343577464978208,-852.7575757575758
FastTek Global,5,23,-0.1043478260869577,1.0997116026878722,-660.0608695652173
Fidelity Investments,29,46,-0.8965517241379306,0.5587470819930744,-797.7893553223388
Ford Motor Company,14,48,-6.071428571428571,-3.8460459322650586,-1219.9464285714287
Franklin Fitch,7,16,2.4642857142857144,3.0660481772830237,-329.88392857142856
GE HealthCare,4,12,1.25,3.964052348877317,-1487.8333333333335
Galactic Minds INC,3,7,4.2857142857142865,3.8823133956956823,221.1428571428571
"Gardner Resources Consulting, LLC",3,7,-5.047619047619048,-4.037379523304585,-553.8095238095239
General Atomics,3,20,-2.05,-0.6842786427252383,-748.6833333333333
General Dynamics Information Technology,3,73,2.2283105022831045,4.575385154253049,-1286.6575342465753
General Dynamics Mission Systems,5,63,-2.082539682539683,-0.5624607330567186,-833.3015873015872
General Motors,14,182,-3.5769230769230766,-1.609060809392204,-1078.7747252747254
Goldman Sachs,6,47,4.26950354609929,5.482391637257585,-664.9007092198582
Goliath Partners,5,37,-0.40540540540540526,0.2783012088518735,-374.8054054054054
Google,15,757,-4.753324526640247,-3.2030609241932577,-849.8487010127697
Guidehouse,3,14,1.2857142857142865,2.464732433910347,-646.3333333333333
HIRECLOUT,3,5,-7.133333333333333,-5.084918512475731,-1122.9333333333334
HTC Global Services,7,13,1.9450549450549435,3.6745630939828464,-948.1098901098902
Harnham,6,35,0.33809523809523867,1.2537040712843195,-501.9333333333334
Harvey Nash,4,3,-6.75,-4.619832218840717,-1167.75
Honeywell,11,49,3.417439703153989,4.962689561965729,-847.100185528757
Horizontal Talent,4,33,0.5303030303030312,1.4076292896005473,-480.9469696969697
ICE,26,51,0.28054298642533837,1.8790294880167013,-876.2843137254902
"IDR, Inc.",4,24,-1.916666666666667,-0.8238402784019063,-599.0833333333334
INSPYR Solutions,4,21,-4.238095238095237,-2.187560912130734,-1124.095238095238
Info Way Solutions,3,11,0.6060606060606055,1.7665054457192821,-636.1515151515152
Infojini Inc,3,7,4.095238095238095,5.191300203389417,-600.8571428571429
Infosys,5,47,-1.2893617021276604,0.18925148699798244,-810.5702127659575
Innova Solutions,3,18,1.166666666666667,2.052602428359117,-485.6666666666667
Insight Global,25,121,0.04132231404958642,1.3337592552724507,-708.5090909090909
IntePros,5,12,1.083333333333334,2.9882472346580466,-1044.2666666666667
Intel,4,29,-13.758620689655173,-11.227309758689731,-1387.655172413793
Intellectt Inc,4,24,3.375,4.910110207524229,-841.5416666666667
JPMorgan Chase & Co.,12,657,-0.28957382039573787,1.3321276168144114,-889.0106544901065
Jobot,12,92,1.2971014492753623,2.330199677544788,-566.3405797101449
Jobs via eFinancialCareers,3,30,-1.0333333333333332,1.2319746146318167,-1241.8333333333333
KPG99 INC,4,11,3.8409090909090917,4.527748382290454,-376.52272727272725
KTek Resourcing,3,10,1.7999999999999998,3.644838092638911,-1011.3333333333334
Kavaliro,3,3,3.000000000000001,5.798267930891321,-1534.0
"LanceSoft, Inc.",4,12,0.16666666666666696,1.8248319529640664,-909.0
Ledgent Technology,9,32,3.1736111111111107,4.9351710394660175,-965.6805555555557
Leidos,13,245,-0.7874411302982729,1.6372499934689826,-1329.2065934065934
Leonardo DRS,5,15,-1.4,2.1718351759325945,-1958.0666666666666
LinkedIn,4,81,-2.552469135802469,-0.49124800642440625,-1129.9537037037037
Lorven Technologies Inc.,3,47,2.0992907801418434,2.8351146441296327,-403.37588652482276
MITRE,5,13,-1.4307692307692301,1.201219114418239,-1442.8461538461538
Macquarie Group,5,5,5.999999999999999,6.302811262404145,-166.0
Mastech Digital,7,22,4.032467532467533,4.791687054599973,-416.2012987012987
Matlen Silver,5,26,3.976923076923077,4.685947649583831,-388.6846153846153
Meta,4,69,-1.0434782608695654,1.2336206616924281,-1248.2971014492755
"Metasys Technologies, Inc.",6,5,1.9333333333333327,3.611868453547478,-920.1666666666666
Microsoft,19,386,-2.6251704390509953,-0.1622328433665461,-1350.1731660758112
Mindlance,5,28,0.5785714285714292,2.1759399269868256,-875.6714285714285
"Miracle Software Systems, Inc",3,5,-1.5999999999999996,-1.7318262684522465,72.26666666666665
"Mission Technologies, a division of HII",4,32,6.53125,8.567815354038123,-1116.4375
Motion Recruitment,40,229,1.313755458515284,2.23038862497416,-502.49486899563317
Mphasis,4,3,-1.583333333333333,-1.0903529498109212,-270.25
NBCUniversal,5,11,-5.345454545454547,-3.2331718654180914,-1157.9454545454546
NLB Services,9,25,0.7644444444444449,1.9305556172791292,-639.2577777777778
Navy Federal Credit Union,3,5,-0.8000000000000007,3.0933745244452697,-2134.3333333333335
Netflix,3,32,1.3854166666666665,2.2328929658148144,-464.58333333333326
Netsmart,3,3,-3.333333333333334,-1.4562683392739004,-1029.0
New York Technology Partners,3,65,0.49743589743589745,2.0911660902689855,-873.6769230769231
Nityo Infotech,4,6,-2.916666666666667,-2.1914093710189864,-397.5833333333333
Northrop Grumman,14,103,-3.0228848821081833,0.028242318813270217,-1672.616504854369
OKAYA INFOCOM,4,3,5.166666666666666,6.174061363429856,-552.25
OSI Engineering,6,12,-2.833333333333333,-0.8351134315750537,-1095.4166666666665
Open Systems Technologies,31,15,3.249462365591398,3.6167235079027558,-201.3311827956989
Optomi,6,22,2.6060606060606055,4.085734186205581,-811.151515151515
Oracle,19,46,-0.20137299771166983,1.854693851196189,-1127.1281464530894
Palo Alto Networks,13,50,6.723076923076924,8.58827643041305,-1022.4953846153845
Parsons Corporation,4,25,-3.2300000000000004,-1.465321764234058,-967.39
Photon,13,17,0.3710407239819009,2.4796755257812966,-1155.945701357466
Pinterest,3,27,1.9629629629629628,3.4881669452863875,-836.1111111111112
Piper Companies,16,99,-0.48295454545454586,0.4435919027621067,-507.92929292929296
Precision Technologies,4,7,3.571428571428571,4.856878016027581,-704.6785714285714
PriceSenz,3,3,3.333333333333333,4.961095882441562,-892.3333333333334
Procore Technologies,8,22,-3.3863636363636367,-0.6688357018485571,-1489.7386363636365
Pronix Inc,3,6,4.333333333333334,5.0307721244529215,-382.3333333333333
Publicis Sapient,4,7,1.8571428571428577,3.604040703550938,-957.6428571428571
"Pyramid Consulting, Inc",7,17,0.3361344537815123,1.8326082752698145,-820.3613445378152
"Q1 Technologies, Inc.",3,6,1.166666666666666,1.6607111459906996,-270.83333333333337
Qualcomm,5,164,-2.423170731707317,-1.4016521096943195,-559.9926829268293
Quantum World Technologies Inc.,8,11,-0.011363636363636687,0.2977700134332574,-169.46590909090912
Raas Infotek,7,32,3.133928571428571,4.55702912318166,-780.1383928571429
Radley James,6,10,-0.3666666666666667,0.39899586670542186,-419.73333333333335
Randstad Digital Americas,7,100,0.43571428571428683,3.0517638455871263,-1434.1085714285714
Raytheon,3,115,0.12753623188405783,1.3341442031502224,-661.4579710144928
Revature,3,3,-11.333333333333334,-7.958629505335326,-1850.0
"Reveille Technologies,Inc",3,6,3.6666666666666665,4.353160472398154,-376.3333333333333
Robert Half,20,81,0.02407407407407458,1.5283328225287656,-824.629012345679
Robinhood,5,24,-0.06666666666666732,1.2290827909672166,-710.325
Rocket Lab,3,21,-3.333333333333333,-0.6108116505247473,-1492.4761904761904
Rockstar Games,3,9,0.11111111111111072,0.6995054181788721,-322.55555555555543
Rose International,8,15,4.616666666666667,7.811021457658511,-1751.1333333333332
Russell Tobin,5,17,-0.1294117647058819,1.1863471649892396,-721.2941176470588
SAIC,10,25,2.4800000000000004,4.083878158772416,-879.2400000000001
SSi People,5,10,2.0999999999999996,3.744301638139137,-901.4
Selby Jennings,11,16,-0.31818181818181834,0.7927756569884847,-609.0227272727273
ServiceNow,10,14,6.042857142857143,6.531602859413921,-267.92857142857133
Sibitalent Corp,3,13,1.8461538461538458,2.7926144415736616,-518.8461538461538
"Sira Consulting, an Inc 5000 company",4,8,5.625,7.445287882358656,-997.875
Siri InfoSolutions Inc,7,11,5.142857142857142,6.1344207000411135,-543.5714285714286
Smart IT Frame LLC,6,37,-0.5495495495495497,0.17890825045899028,-399.3378378378378
Snap Inc.,3,15,-2.666666666666667,-1.9294610953036422,-404.1333333333333
Software Technology Inc.,3,5,-1.8666666666666671,-1.1367577522290437,-400.1333333333333
"Softworld, a Kelly Company",7,6,-5.142857142857142,-1.9609066686384808,-1744.3333333333333
Solomon Page,3,13,2.76923076923077,4.401296474987311,-894.6923076923077
Soni,3,7,11.428571428571429,12.097431646733195,-366.6666666666667
State Farm,3,10,0.1999999999999993,2.563508789086173,-1295.6666666666667
State Street,6,9,1.7222222222222214,3.911624669671741,-1200.2222222222222
Stealth Startup,3,41,2.560975609756097,3.1333627521053975,-313.780487804878
"Stellar Consulting Solutions, LLC",3,3,-1.6666666666666665,-0.5058901607841086,-636.3333333333334
Strava,3,3,3.0,3.7910792216622364,-433.66666666666663
Synechron,15,63,3.19047619047619,4.834187146864225,-901.0761904761904
SynergisticIT,5,17,-6.411764705882353,-4.0033743231197425,-1320.270588235294
System One,5,40,3.55,3.8882000484923407,-185.40000000000003
System Soft Technologies,3,5,1.2000000000000002,2.2076683213978914,-552.4
TEKsystems,23,110,2.821343873517786,3.6715349087759774,-466.0715415019763
"TSR Consulting Services, Inc.",5,3,-2.4000000000000004,-0.1700200326486676,-1222.4666666666667
Talener,3,6,3.166666666666666,4.100638753118008,-512.0
Talent Groups,15,30,2.033333333333333,2.5415454881875195,-278.6
"Tanisha Systems, Inc",10,3,-0.33333333333333304,0.3202647107594704,-358.29999999999995
Tata Consultancy Services,39,131,3.64474456840869,4.397931589402248,-412.89430416911335
Tech Consulting,6,10,-2.2333333333333343,0.3581959846716237,-1420.6666666666667
TechDoQuest,4,8,0.5,1.827991560423,-728.0
TekWissen ®,8,5,-3.9000000000000004,-0.37680920357007963,-1931.4
Tesla,4,20,0.4500000000000002,2.2511797620352616,-987.4
The Intersect Group,3,4,6.166666666666667,7.509251540940468,-736.0
The Judge Group,4,15,0.5499999999999998,0.5998604889902406,-27.333333333333314
The Walt Disney Company,5,67,3.2477611940298514,4.834925652230008,-870.0776119402984
Themesoft Inc.,3,12,2.916666666666667,4.729581885256948,-993.8333333333333
Thermo Fisher Scientific,6,8,2.958333333333333,3.6189848124540243,-362.16666666666674
TikTok,14,150,-0.8419047619047619,0.34972617897663527,-653.2476190476191
U.S. Bank,4,33,0.5833333333333339,2.4178344953279263,-1005.6666666666666
USAA,5,4,3.1999999999999993,2.9423368023217744,141.25
UST,6,19,0.7807017543859658,2.249169962063562,-805.0087719298247
Uber,6,187,0.5365418894830656,2.0785166936434973,-845.3048128342245
Unisys,3,19,0.4035087719298236,2.3379549320736612,-1060.4561403508774
United Software Group Inc,4,4,-4.25,-2.2000954450201284,-1123.75
"V-Soft Consulting Group, Inc.",6,9,1.666666666666667,2.956350778231311,-707.0
VDart,7,21,3.19047619047619,4.889033684753489,-931.1428571428571
"VMC Soft Technologies, Inc",6,12,-1.666666666666667,-0.6600320383332068,-551.8333333333334
VT Group (VTG),3,14,5.571428571428571,6.621061356643859,-575.4047619047619
Venmo,3,17,-1.2941176470588234,1.9361910632536732,-1770.843137254902
"Veridian Tech Solutions, Inc.",4,8,3.125,3.082816202150025,23.125
Verizon,3,8,2.583333333333334,3.3162673201212787,-401.79166666666674
Viasat,4,17,-6.455882352941177,-4.219564309084054,-1225.9411764705883
Virtusa,4,36,7.194444444444445,7.76799208151816,-314.41666666666663
Visa,5,67,-0.692537313432835,2.3869840703345258,-1688.1820895522387
VySystems,5,12,3.2,4.849804533570378,-904.4166666666666
WEX,6,18,1.166666666666666,2.3348411719319233,-640.3888888888889
WHOOP,3,29,-1.4942528735632186,0.3154228809610442,-992.0574712643678
Wells Fargo,16,288,-2.1215277777777786,0.08889056175375565,-1211.7430555555557
Western Union,3,8,-2.541666666666666,-1.25943122571337,-702.9166666666667
Westinghouse Electric Company,3,20,-1.4,0.48347997160634826,-1032.5166666666669
Wipro,6,22,-1.0606060606060606,-0.09180902064712364,-531.090909090909
Workday,4,36,0.0,0.5405099959948161,-296.30555555555566
World Wide Technology,5,7,-3.6285714285714286,-2.1552200383988307,-807.6857142857143
"Yoh, A Day & Zimmermann Company",3,29,0.6781609195402298,2.5686031179628976,-1036.3333333333333
"Zillion Technologies, Inc.",5,7,-2.5428571428571436,0.49656529941868477,-1666.2
"Zodiac Solutions, Inc",8,7,-2.4107142857142856,-1.4148183384808581,-545.9464285714286
eBay,4,16,-1.75,0.5259869094028463,-1247.6875
eTeam,4,6,0.16666666666666696,1.143506612554739,-535.5
hackajob,10,216,0.2564814814814813,0.83377034427042,-316.4675925925926
myGwork - LGBTQ+ Business Community,12,107,-0.4797507788161983,1.0874776474465433,-859.1487538940809
