uid,source,period,company_name_canonical,snippet,llm_vocab_count,llm_vocab_density_1k,year,tier
linkedin_li-4272103492,scraped,2026-03,Harness,"Harness is the AI Software Delivery Platform company, led by technologist and entrepreneur Jyoti Bansal (founder of AppDynamics, acquired by Cisco for $3\.7B). Harness has raised approximately $570M in funding and is valued at $5\.5B, backed by leading investors including Goldman Sachs, Menlo Ventures, IVP, Unusual Ventures, Citi Ventures, and more. As AI accelerates code creation, the real bottle",23,3.126699293094073,2026,high
linkedin_li-4278706548,scraped,2026-04,Waystar,"**About This Position**
 Waystar modernizes the healthcare revenue cycle through innovative, cloud-based technology. We provide the highest-rated client experience to more than 450,000 providers, 22,000 healthcare organizations and 750 health systems and hospitals around the country. Together, our technology, data and client support streamline workflows and improve financials for our clients, so t",17,2.204071048878517,2026,high
arshkon_3901908139,kaggle_arshkon,2024-04,Pop-Up Talent,"Senior Backend AI EngineerTruckee, CAROLE IS ONLY AVAILABLE ON W2
We are seeking an exceptional Senior Backend AI Engineer to join our cutting-edge AI team. In this pivotal role, you will be at the forefront of developing advanced AI-powered tools and GenAI solutions. Your expertise in machine learning, artificial intelligence, and data engineering will be instrumental in driving innovation and pu",17,3.1278748850045996,2024,high
arshkon_3903832207,kaggle_arshkon,2024-04,Argano,"Job Description

Senior Data Engineer - SAP Analytics 

Company Overview

Argano is at the forefront of global digital consultancy, renowned for seamlessly merging strategic planning with execution to catalyze high-performance business operations transformations. Our mission is to bolster our clients' agility, profitability, customer engagement, and growth through strategic consulting. Leveraging ",15,2.6652452025586353,2024,high
arshkon_3904723802,kaggle_arshkon,2024-04,Generis Tek Inc,"Tips: Provide a summary of the role, what success in the position looks like, and how this role fits into the organization overall.
Responsibilities· Design and implement web applications that mostly use the Laravel and Bootstrap, Vue frameworks.· Implement CI/CD processes and tools for efficient and effective development workflows.· Identify and fix bugs that are found within code using testing f",0,0.0,2024,low
linkedin_li-4378902064,scraped,2026-03,Netflix,"At Netflix, our mission is to entertain the world. Together, we are writing the next episode - pushing the boundaries of storytelling, global fandom and making the unimaginable a reality. We are a dream team obsessed with the uncomfortable excitement of discovering what happens when you merge creativity, intuition and cutting-edge technology. Come be a part of what’s next.
   

  

 We launched a ",23,1.6364283173247953,2026,high
linkedin_li-4380961286,scraped,2026-03,American Express,"At American Express, our culture is built on a 175-year history of innovation, shared 
 

 values
 

  and Leadership Behaviors, and an unwavering commitment to back our customers, communities, and colleagues. From delivering differentiated products to providing world-class customer service, we operate with a strong risk mindset, ensuring we continue to uphold our brand promise of trust, security,",15,1.1063578698923144,2026,high
linkedin_li-4381319519,scraped,2026-03,Pacific Northwest National Laboratory,"**Overview**
 At PNNL, our core capabilities are divided among major departments that we refer to as Directorates within the Lab, focused on a specific area of scientific research or other function, with its own leadership team and dedicated budget.
   

  

 Our Science \& Technology directorates include National Security, Earth and Biological Sciences, Physical and Computational Sciences, and En",16,0.7423560525216907,2026,high
linkedin_li-4383040615,scraped,2026-04,Hadrian,"**Hadrian - Manufacturing the Future**
 Hadrian is building autonomous factories that help aerospace and defense companies manufacture rockets, satellites, jets, and ships up to 10x faster and up to 2x cheaper. By combining advanced software, robotics, and full-stack manufacturing, we are reinventing how America produces its most critical parts.
   

  

 We’re accelerating our mission with the la",0,0.0,2026,low
linkedin_li-4386102501,scraped,2026-03,Lensa,"Lensa is a career site that helps job seekers find great jobs in the US. We are not a staffing firm or agency. Lensa does not hire directly for these jobs, but promotes jobs on LinkedIn on behalf of its direct clients, recruitment ad agencies, and marketing partners. Lensa partners with DirectEmployers to promote this job for Insight Global. Clicking ""Apply Now"" or ""Read more"" on Lensa redirects y",0,0.0,2026,low
linkedin_li-4386103235,scraped,2026-03,Mercor,"**About The Job**
**Mercor** 
 connects elite creative and technical talent with leading AI research labs. Headquartered in San Francisco, our investors include
 **Benchmark** 
 ,
 **General Catalyst** 
 ,
 **Peter Thiel** 
 ,
 **Adam D'Angelo** 
 ,
 **Larry Summers** 
 , and
 **Jack Dorsey** 
 .
   

  

**Position:** 
 Software Engineer
   

  

**Type:** 
**Contract**
**Compensation:** 
**$100–",0,0.0,2026,low
linkedin_li-4386103378,scraped,2026-03,Tier4 Group,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Tier4 Group, is seeking the following. Apply via Dice today!
   

  

 Site Reliability Engineer (SRE) / Platform Engineer
   

  

**Location:** 
 Reston, VA (Hybrid — 2 days onsite / 3 days remote)
   

  

**Employment Type:** 
 Full-time
   

  

**About The Organization**
 Join a
 **mission-dr",0,0.0,2026,low
linkedin_li-4386159613,scraped,2026-03,myGwork - LGBTQ+ Business Community,"**This job is with Fitch Group, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ\+ business community. Please do not contact the recruiter directly.**
**Fitch Solutions is currently seeking a Senior Software Engineer, AI based out of our Chicago office.**
 Fitch Solutions is a leading provider of insights, data and analytics. It informs investment strategie",21,1.5076459185871205,2026,high
linkedin_li-4387532524,scraped,2026-03,Jobs via Dice,"**Senior PHP Engineer / Senior Web Developer Needed for Growing Company in the Music Industry!**
 This Jobot Job is hosted by: Reed Kellick
   

  

 Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume.
   

  

 Salary: $150,000 - $185,000 per year
   

  

**A bit about us:**
 Based in San Francisco, we are a growing company in the music industry that is o",0,0.0,2026,low
arshkon_3886458575,kaggle_arshkon,2024-04,Function Health,"Company Overview:
At Function Health, our mission is to empower individuals to take control of their health. Through our innovative platform, we offer comprehensive health insights through over 100+ lab tests, tracking health changes over time and providing actionable, easy-to-understand results, all made affordable and accessible to everyone.
Our leadership doesn't just talk the talk; they've bee",23,2.3090051199678747,2024,high
arshkon_3886820908,kaggle_arshkon,2024-04,Tata Consultancy Services,Job Description-Building and implementing top-notch user interfaces using Angular framework. Writing efficient TypeScript code while also using HTML and CSS Creating adaptable interfaces for web application.Leading with product-analysis tasks and conducting performance tests. Perform complex product analysis as well as development duties that may include significant research and analysis. Collabor,0,0.0,2024,low
arshkon_3894948290,kaggle_arshkon,2024-04,Synerfac Technical Staffing,"*** HYBRID/REMOTE*** Day Travel is Required at times
Candidates need to reside in the state of Ohio
Our client is looking for an outgoing Applications Engineer to join their growing team! Our client is a world leading distributor of electrical power generators while also being an industry leader in providing outdoor power equipment. 
The Applications Engineer will be responsible for coordinating w",0,0.0,2024,low
arshkon_3894996709,kaggle_arshkon,2024-04,Get Connected by Galaxy Digital,"Who We Are Looking For
Are you passionate about creating cutting-edge software solutions? Join our dynamic team as a Fullstack Developer and play a pivotal role in implementing innovative features across our tech stack! In this role, you'll have the opportunity to work with React for frontend development and PHP for backend tasks, ensuring seamless functionality, performance, and scalability. Coll",15,2.4908668216539356,2024,high
arshkon_3898166810,kaggle_arshkon,2024-04,IT America Inc,"Role: Data Engineer –W2Location Richmond- 3 days onsite per week.  4+ years of Data Engineering with Python, Spark, PySpark 2) 3+ years of AWS (EMR, Lambda, S3 etc) 3) Automation testing
Onsite in Richmond, VA: Tuesday, Wednesday, Thursday Remote: Monday and Friday
   Nice To Have: + Snowflake + RDB + Big DataSecondary Skills - Nice to Havessnowflakebig dataJob Description- Collaborate with and ac",0,0.0,2024,low
arshkon_3901391509,kaggle_arshkon,2024-04,DataAnnotation,"DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.
We are looking for a proficient Back End Developer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
In t",0,0.0,2024,low
linkedin_li-4392310019,scraped,2026-03,Synopsys Inc,"**We Are:**
 At Synopsys, we drive the innovations that shape the way we live and connect. Our technology is central to the Era of Pervasive Intelligence, from self-driving cars to learning machines. We lead in chip design, verification, and IP integration, empowering the creation of high-performance silicon chips and software content. Join us to transform the future through continuous technologic",16,2.728978338734436,2026,high
linkedin_li-4392461891,scraped,2026-04,Entegee,"W2 Contract
 

 Onsite in Santa Clarita, CA
 

 Software Engineer
 

 65-70/HR
 

  

**Job Specific Requirements:** 

**Wireless communication testing experience(RF/BLE), Python, Github/Bitbucket, System verification testing, Regulatory documents support** 

  

 Job Purpose
 

 Develops software systems, applications, firmware, and/or provides software systems testing and validation in support o",0,0.0,2026,low
linkedin_li-4393023440,scraped,2026-04,Eliassen Group,"*Hybrid Monday - Thursday in either Austin, TX or Salt Lake City, UT or Dublin, IE* 

  

 The organization seeks a Physical Security Systems Engineer to support and optimize enterprise physical security technologies. The role will administer access control, video management, and SQL-based reporting systems while resolving user issues and maintaining uptime. The engineer will collaborate with IT o",0,0.0,2026,low
linkedin_li-4393875772,scraped,2026-04,Red Oak Technologies,"**Cloud Engineer (Developer Experience)** 

**Contract to Hire - Hourly W2 - $95-100/hr** 

 W2 ONLY
 

 NO C2C
 

 🚨
 **Eligibility Requirement:** 
 Must be a
 **U.S. Citizen or Green Card holder (no exceptions)** 

 We’re hiring a
 **Cloud Engineer (Developer Experience)** 
 to help scale modern cloud infrastructure and improve developer workflows across
 **Infrastructure-as-Code, Kubernetes, an",0,0.0,2026,low
linkedin_li-4393977356,scraped,2026-04,Uber,"**About The Role**
 The Mobility Simulation \& Planning (MSP) Orchestration group transforms business strategies into actionable, optimized plans for Ops to effectively manage incentives and pricing. This group implements the core optimization algorithms behind each planning product, develops how Ops interacts with these products, manages the API between planning and real-time systems and makes su",0,0.0,2026,low
linkedin_li-4394229993,scraped,2026-04,Apton Inc,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Apton Inc, is seeking the following. Apply via Dice today!
   

  

**Sr Python Engineer (AWS/AI/ML)**
**Senior Python Developer – Machine Learning \& AI Services**
**Minimum Qualifications**
* 8\+ years of experience in application development using Python, Scala (and/or Java).
* 2\+ years of hand",0,0.0,2026,low
linkedin_li-4390632964,scraped,2026-03,Otter.ai,"**The Opportunity**
 Are you an experienced
 **Software Engineer, Backend (Infrastructure)** 
 looking to make a significant impact at the intersection of scalable web services and cutting-edge AI technologies? We're seeking a talented engineer to lead the development, deployment, and management of web services and infrastructure that empower AI-driven products and initiatives. As part of our dyna",16,1.674515960230246,2026,high
linkedin_li-4391906537,scraped,2026-03,ServiceNow,"**Company Description**
 Moveworks is the Agentic AI Assistant platform that empowers the entire workforce.
   

  

 Our platform enables employees to converse with all of their business systems through natural language to quickly find answers and automate tasks. Powered by the world's most advanced LLMs, our proprietary models, and a sophisticated Agentic AI platform, we're transforming how work",16,1.8407731247123793,2026,high
linkedin_li-4391965096,scraped,2026-03,Alignerr,"**About The Job**
**Alignerr** 
 connects top technical experts with leading AI labs to build, evaluate, and improve next-generation models. We work on real production systems and high-impact research workflows across data, tooling, and infrastructure.
   

  

****Position****
**Senior Rust Full-Stack Engineer — AI Data \& Infrastructure**
**Type:** 
 Contract, Remote
 **Commitment:** 
 20–40 hou",0,0.0,2026,low
asaniczka_2ee239791b680c61,kaggle_asaniczka,2024-01,Walmart,"Position Summary...
What you'll do...
Our organization focuses on managing and delivering world-class data assets, including creating and maintaining data standards, driving policy compliance, creating partnerships, and developing pipelines and self-service tools. We empower our business to leverage data to fuel growth, driving revenue in our core and building new business model opportunities.
At ",15,1.1616200727948578,2024,high
linkedin_li-4326375960,scraped,2026-03,Thomson Reuters,"Are you excited about building AI-driven software that redefines how professionals work? Have you developed solutions across the React and Python stacks? Join a dynamic and highly skilled team at Thomson Reuters, where we combine the agility and innovation of a startup with the stability and resources of a global leader. As a Senior Product Engineer, you will play a pivotal role in rapidly buildin",15,1.3145210761545878,2026,high
linkedin_li-4326435526,scraped,2026-03,Thomson Reuters,"Are you excited about building AI-driven software that redefines how professionals work? Have you developed solutions across the React and Python stacks? Join a dynamic and highly skilled team at Thomson Reuters, where we combine the agility and innovation of a startup with the stability and resources of a global leader. As a Senior Product Engineer, you will play a pivotal role in rapidly buildin",15,1.3145210761545878,2026,high
linkedin_li-4326454201,scraped,2026-03,Thomson Reuters,"Are you excited about building AI-driven software that redefines how professionals work? Have you developed solutions across the React and Python stacks? Join a dynamic and highly skilled team at Thomson Reuters, where we combine the agility and innovation of a startup with the stability and resources of a global leader. As a Senior Product Engineer, you will play a pivotal role in rapidly buildin",15,1.3145210761545878,2026,high
linkedin_li-4337464582,scraped,2026-04,Harness,"Harness is the AI Software Delivery Platform company, led by technologist and entrepreneur Jyoti Bansal (founder of AppDynamics, acquired by Cisco for $3\.7B). Harness has raised approximately $570M in funding and is valued at $5\.5B, backed by leading investors including Goldman Sachs, Menlo Ventures, IVP, Unusual Ventures, Citi Ventures, and more. As AI accelerates code creation, the real bottle",26,3.2532532532532534,2026,high
linkedin_li-4344230525,scraped,2026-04,Thomson Reuters,"**Lead Product Engineer (Full Stack), Materia AI**
 Lead Product Engineer (Full Stack) - Materia AI Team: Lead Product Engineers work across the end-to-end software development life cycle, applying modern full-stack practices when defining, designing, building, testing, and delivering AI-driven accounting software. They collaborate effectively with cross-functional teams and senior stakeholders to",16,1.063264221158958,2026,high
linkedin_li-4353496376,scraped,2026-03,Harness,"Harness is the AI Software Delivery Platform company, led by technologist and entrepreneur Jyoti Bansal (founder of AppDynamics, acquired by Cisco for $3\.7B). Harness has raised approximately $570M in funding and is valued at $5\.5B, backed by leading investors including Goldman Sachs, Menlo Ventures, IVP, Unusual Ventures, Citi Ventures, and more. As AI accelerates code creation, the real bottle",22,3.17597805687888,2026,high
linkedin_li-4377234971,scraped,2026-03,Function Health,"**Company Overview**
 Function was founded with a singular focus: empower you to live 100 healthy years. We’re doing that by using the best available technology to make sure people don't suffer or die a preventable death. Function has been recognized as one of Fast Company’s Most Innovative Companies of 2024 and is venture-backed by Andreessen Horowitz (a16z). Hundreds of thousands of members have",25,2.0549071181982574,2026,high
