column,source,source_platform,subset,non_null_rate
description_length,scraped,linkedin,swe,1.0
seniority_raw,kaggle_arshkon,linkedin,all,0.7600254022015241
seniority_raw,kaggle_arshkon,linkedin,swe,0.6892095627826836
seniority_raw,kaggle_asaniczka,linkedin,all,1.0
seniority_raw,kaggle_asaniczka,linkedin,swe,1.0
seniority_raw,scraped,indeed,all,0.0
seniority_raw,scraped,indeed,swe,0.0
seniority_raw,scraped,linkedin,all,0.9998882806390348
seniority_raw,scraped,linkedin,swe,1.0
seniority_native,kaggle_arshkon,linkedin,all,0.7600254022015241
seniority_native,kaggle_arshkon,linkedin,swe,0.6892095627826836
seniority_native,kaggle_asaniczka,linkedin,all,1.0
seniority_native,kaggle_asaniczka,linkedin,swe,1.0
seniority_native,scraped,indeed,all,0.0
seniority_native,scraped,indeed,swe,0.0
seniority_native,scraped,linkedin,all,0.8547648307451682
seniority_native,scraped,linkedin,swe,0.8366177818515124
company_industry,kaggle_arshkon,linkedin,all,0.9870279424216766
company_industry,kaggle_arshkon,linkedin,swe,0.9922463924186948
company_industry,kaggle_asaniczka,linkedin,all,0.0
company_industry,kaggle_asaniczka,linkedin,swe,0.0
company_industry,scraped,indeed,all,0.3336773052259158
company_industry,scraped,indeed,swe,0.33737185461323393
company_industry,scraped,linkedin,all,0.999739321491081
company_industry,scraped,linkedin,swe,0.9997708524289642
company_size,kaggle_arshkon,linkedin,all,0.9855122777307367
company_size,kaggle_arshkon,linkedin,swe,0.9911695024768469
company_size,kaggle_asaniczka,linkedin,all,0.0
company_size,kaggle_asaniczka,linkedin,swe,0.0
company_size,scraped,indeed,all,0.7145278985774305
company_size,scraped,indeed,swe,0.8061509785647717
company_size,scraped,linkedin,all,0.0
company_size,scraped,linkedin,swe,0.0
company_size_raw,kaggle_arshkon,linkedin,all,0.9855122777307367
company_size_raw,kaggle_arshkon,linkedin,swe,0.9911695024768469
company_size_raw,kaggle_asaniczka,linkedin,all,0.0
company_size_raw,kaggle_asaniczka,linkedin,swe,0.0
company_size_raw,scraped,indeed,all,0.821847129063168
company_size_raw,scraped,indeed,swe,0.8890959925442684
company_size_raw,scraped,linkedin,all,0.0
company_size_raw,scraped,linkedin,swe,0.0
company_size_category,kaggle_arshkon,linkedin,all,0.9458255715495343
company_size_category,kaggle_arshkon,linkedin,swe,0.9474477708378204
company_size_category,kaggle_asaniczka,linkedin,all,0.0
company_size_category,kaggle_asaniczka,linkedin,swe,0.0
company_size_category,scraped,indeed,all,0.0
company_size_category,scraped,indeed,swe,0.0
company_size_category,scraped,linkedin,all,0.0
company_size_category,scraped,linkedin,swe,0.0
search_query,kaggle_arshkon,linkedin,all,0.0
search_query,kaggle_arshkon,linkedin,swe,0.0
search_query,kaggle_asaniczka,linkedin,all,1.0
search_query,kaggle_asaniczka,linkedin,swe,1.0
search_query,scraped,indeed,all,0.9996314586865187
search_query,scraped,indeed,swe,0.9953401677539608
search_query,scraped,linkedin,all,0.9998138010650579
search_query,scraped,linkedin,swe,0.9988542621448213
query_tier,kaggle_arshkon,linkedin,all,0.0
query_tier,kaggle_arshkon,linkedin,swe,0.0
query_tier,kaggle_asaniczka,linkedin,all,0.0
query_tier,kaggle_asaniczka,linkedin,swe,0.0
query_tier,scraped,indeed,all,0.9996314586865187
query_tier,scraped,indeed,swe,0.9953401677539608
query_tier,scraped,linkedin,all,0.9998138010650579
query_tier,scraped,linkedin,swe,0.9988542621448213
search_metro_id,kaggle_arshkon,linkedin,all,0.0
search_metro_id,kaggle_arshkon,linkedin,swe,0.0
search_metro_id,kaggle_asaniczka,linkedin,all,0.0
search_metro_id,kaggle_asaniczka,linkedin,swe,0.0
search_metro_id,scraped,indeed,all,0.9996314586865187
search_metro_id,scraped,indeed,swe,0.9953401677539608
search_metro_id,scraped,linkedin,all,0.9998138010650579
search_metro_id,scraped,linkedin,swe,0.9988542621448213
search_metro_name,kaggle_arshkon,linkedin,all,0.0
search_metro_name,kaggle_arshkon,linkedin,swe,0.0
search_metro_name,kaggle_asaniczka,linkedin,all,1.0
search_metro_name,kaggle_asaniczka,linkedin,swe,1.0
search_metro_name,scraped,indeed,all,0.9996314586865187
search_metro_name,scraped,indeed,swe,0.9953401677539608
search_metro_name,scraped,linkedin,all,0.9998138010650579
search_metro_name,scraped,linkedin,swe,0.9988542621448213
search_metro_region,kaggle_arshkon,linkedin,all,0.0
search_metro_region,kaggle_arshkon,linkedin,swe,0.0
search_metro_region,kaggle_asaniczka,linkedin,all,0.0
search_metro_region,kaggle_asaniczka,linkedin,swe,0.0
search_metro_region,scraped,indeed,all,0.9996314586865187
search_metro_region,scraped,indeed,swe,0.9953401677539608
search_metro_region,scraped,linkedin,all,0.9998138010650579
search_metro_region,scraped,linkedin,swe,0.9988542621448213
search_location,kaggle_arshkon,linkedin,all,0.0
search_location,kaggle_arshkon,linkedin,swe,0.0
search_location,kaggle_asaniczka,linkedin,all,0.0
search_location,kaggle_asaniczka,linkedin,swe,0.0
search_location,scraped,indeed,all,0.9996314586865187
search_location,scraped,indeed,swe,0.9953401677539608
search_location,scraped,linkedin,all,0.9998138010650579
search_location,scraped,linkedin,swe,0.9988542621448213
work_type,kaggle_arshkon,linkedin,all,1.0
work_type,kaggle_arshkon,linkedin,swe,1.0
work_type,kaggle_asaniczka,linkedin,all,0.0
work_type,kaggle_asaniczka,linkedin,swe,0.0
work_type,scraped,indeed,all,0.8506670597774011
work_type,scraped,indeed,swe,0.8294501397949674
work_type,scraped,linkedin,all,0.9998882806390348
work_type,scraped,linkedin,swe,1.0
is_remote,kaggle_arshkon,linkedin,all,1.0
is_remote,kaggle_arshkon,linkedin,swe,1.0
is_remote,kaggle_asaniczka,linkedin,all,1.0
is_remote,kaggle_asaniczka,linkedin,swe,1.0
is_remote,scraped,indeed,all,1.0
is_remote,scraped,indeed,swe,1.0
is_remote,scraped,linkedin,all,1.0
is_remote,scraped,linkedin,swe,1.0
job_url,kaggle_arshkon,linkedin,all,1.0
job_url,kaggle_arshkon,linkedin,swe,1.0
job_url,kaggle_asaniczka,linkedin,all,1.0
job_url,kaggle_asaniczka,linkedin,swe,1.0
job_url,scraped,indeed,all,1.0
job_url,scraped,indeed,swe,1.0
job_url,scraped,linkedin,all,1.0
job_url,scraped,linkedin,swe,1.0
skills_raw,kaggle_arshkon,linkedin,all,0.018348856900931413
skills_raw,kaggle_arshkon,linkedin,swe,0.012922679302175317
skills_raw,kaggle_asaniczka,linkedin,all,0.9570165256394394
skills_raw,kaggle_asaniczka,linkedin,swe,0.9615502116702309
skills_raw,scraped,indeed,all,0.0
skills_raw,scraped,indeed,swe,0.0
skills_raw,scraped,linkedin,all,0.0
skills_raw,scraped,linkedin,swe,0.0
asaniczka_skills,kaggle_arshkon,linkedin,all,0.0
asaniczka_skills,kaggle_arshkon,linkedin,swe,0.0
asaniczka_skills,kaggle_asaniczka,linkedin,all,0.9570165256394394
asaniczka_skills,kaggle_asaniczka,linkedin,swe,0.9615502116702309
asaniczka_skills,scraped,indeed,all,0.0
asaniczka_skills,scraped,indeed,swe,0.0
asaniczka_skills,scraped,linkedin,all,0.0
asaniczka_skills,scraped,linkedin,swe,0.0
company_id_kaggle,kaggle_arshkon,linkedin,all,0.9855207451312447
company_id_kaggle,kaggle_arshkon,linkedin,swe,0.9911695024768469
company_id_kaggle,kaggle_asaniczka,linkedin,all,0.0
company_id_kaggle,kaggle_asaniczka,linkedin,swe,0.0
company_id_kaggle,scraped,indeed,all,0.0
company_id_kaggle,scraped,indeed,swe,0.0
company_id_kaggle,scraped,linkedin,all,0.0
company_id_kaggle,scraped,linkedin,swe,0.0
posting_age_days,kaggle_arshkon,linkedin,all,0.0
posting_age_days,kaggle_arshkon,linkedin,swe,0.0
posting_age_days,kaggle_asaniczka,linkedin,all,0.0
posting_age_days,kaggle_asaniczka,linkedin,swe,0.0
posting_age_days,scraped,indeed,all,1.0
posting_age_days,scraped,indeed,swe,1.0
posting_age_days,scraped,linkedin,all,0.015491751387182066
posting_age_days,scraped,linkedin,swe,0.010999083409715857
is_aggregator,kaggle_arshkon,linkedin,all,1.0
is_aggregator,kaggle_arshkon,linkedin,swe,1.0
is_aggregator,kaggle_asaniczka,linkedin,all,1.0
is_aggregator,kaggle_asaniczka,linkedin,swe,1.0
is_aggregator,scraped,indeed,all,1.0
is_aggregator,scraped,indeed,swe,1.0
is_aggregator,scraped,linkedin,all,1.0
is_aggregator,scraped,linkedin,swe,1.0
real_employer,kaggle_arshkon,linkedin,all,0.0027265029635901777
real_employer,kaggle_arshkon,linkedin,swe,0.00926125349989231
real_employer,kaggle_asaniczka,linkedin,all,0.02017607073808604
real_employer,kaggle_asaniczka,linkedin,swe,0.09793566970715314
real_employer,scraped,indeed,all,0.0
real_employer,scraped,indeed,swe,0.0
real_employer,scraped,linkedin,all,0.04334711205451905
real_employer,scraped,linkedin,swe,0.06347387717690192
company_name_effective,kaggle_arshkon,linkedin,all,0.9855038103302286
company_name_effective,kaggle_arshkon,linkedin,swe,0.9911695024768469
company_name_effective,kaggle_asaniczka,linkedin,all,0.9999943330950085
company_name_effective,kaggle_asaniczka,linkedin,swe,1.0
company_name_effective,scraped,indeed,all,0.9630721603891796
company_name_effective,scraped,indeed,swe,0.972972972972973
company_name_effective,scraped,linkedin,all,1.0
company_name_effective,scraped,linkedin,swe,1.0
description_core,kaggle_arshkon,linkedin,all,0.9999407281964436
description_core,kaggle_arshkon,linkedin,swe,1.0
description_core,kaggle_asaniczka,linkedin,all,0.9592851766043716
description_core,kaggle_asaniczka,linkedin,swe,0.962466721948239
description_core,scraped,indeed,all,1.0
description_core,scraped,indeed,swe,1.0
description_core,scraped,linkedin,all,0.9998882806390348
description_core,scraped,linkedin,swe,1.0
core_length,kaggle_arshkon,linkedin,all,0.9999407281964436
core_length,kaggle_arshkon,linkedin,swe,1.0
core_length,kaggle_asaniczka,linkedin,all,0.9592851766043716
core_length,kaggle_asaniczka,linkedin,swe,0.962466721948239
core_length,scraped,indeed,all,1.0
core_length,scraped,indeed,swe,1.0
core_length,scraped,linkedin,all,0.9998882806390348
core_length,scraped,linkedin,swe,1.0
boilerplate_flag,kaggle_arshkon,linkedin,all,1.0
boilerplate_flag,kaggle_arshkon,linkedin,swe,1.0
boilerplate_flag,kaggle_asaniczka,linkedin,all,1.0
boilerplate_flag,kaggle_asaniczka,linkedin,swe,1.0
boilerplate_flag,scraped,indeed,all,1.0
boilerplate_flag,scraped,indeed,swe,1.0
boilerplate_flag,scraped,linkedin,all,1.0
boilerplate_flag,scraped,linkedin,swe,1.0
company_name_canonical,kaggle_arshkon,linkedin,all,0.9855038103302286
company_name_canonical,kaggle_arshkon,linkedin,swe,0.9911695024768469
company_name_canonical,kaggle_asaniczka,linkedin,all,0.9999943330950085
company_name_canonical,kaggle_asaniczka,linkedin,swe,1.0
company_name_canonical,scraped,indeed,all,0.9630721603891796
company_name_canonical,scraped,indeed,swe,0.972972972972973
company_name_canonical,scraped,linkedin,all,1.0
company_name_canonical,scraped,linkedin,swe,1.0
company_name_canonical_method,kaggle_arshkon,linkedin,all,1.0
company_name_canonical_method,kaggle_arshkon,linkedin,swe,1.0
company_name_canonical_method,kaggle_asaniczka,linkedin,all,1.0
company_name_canonical_method,kaggle_asaniczka,linkedin,swe,1.0
company_name_canonical_method,scraped,indeed,all,1.0
company_name_canonical_method,scraped,indeed,swe,1.0
company_name_canonical_method,scraped,linkedin,all,1.0
company_name_canonical_method,scraped,linkedin,swe,1.0
is_multi_location,kaggle_arshkon,linkedin,all,1.0
is_multi_location,kaggle_arshkon,linkedin,swe,1.0
is_multi_location,kaggle_asaniczka,linkedin,all,1.0
is_multi_location,kaggle_asaniczka,linkedin,swe,1.0
is_multi_location,scraped,indeed,all,1.0
is_multi_location,scraped,indeed,swe,1.0
is_multi_location,scraped,linkedin,all,1.0
is_multi_location,scraped,linkedin,swe,1.0
is_swe,kaggle_arshkon,linkedin,all,1.0
is_swe,kaggle_arshkon,linkedin,swe,1.0
is_swe,kaggle_asaniczka,linkedin,all,1.0
is_swe,kaggle_asaniczka,linkedin,swe,1.0
is_swe,scraped,indeed,all,1.0
is_swe,scraped,indeed,swe,1.0
is_swe,scraped,linkedin,all,1.0
is_swe,scraped,linkedin,swe,1.0
is_swe_adjacent,kaggle_arshkon,linkedin,all,1.0
is_swe_adjacent,kaggle_arshkon,linkedin,swe,1.0
is_swe_adjacent,kaggle_asaniczka,linkedin,all,1.0
is_swe_adjacent,kaggle_asaniczka,linkedin,swe,1.0
is_swe_adjacent,scraped,indeed,all,1.0
is_swe_adjacent,scraped,indeed,swe,1.0
is_swe_adjacent,scraped,linkedin,all,1.0
is_swe_adjacent,scraped,linkedin,swe,1.0
swe_confidence,kaggle_arshkon,linkedin,all,1.0
swe_confidence,kaggle_arshkon,linkedin,swe,1.0
swe_confidence,kaggle_asaniczka,linkedin,all,1.0
swe_confidence,kaggle_asaniczka,linkedin,swe,1.0
swe_confidence,scraped,indeed,all,1.0
swe_confidence,scraped,indeed,swe,1.0
swe_confidence,scraped,linkedin,all,1.0
swe_confidence,scraped,linkedin,swe,1.0
swe_classification_tier,kaggle_arshkon,linkedin,all,1.0
swe_classification_tier,kaggle_arshkon,linkedin,swe,1.0
swe_classification_tier,kaggle_asaniczka,linkedin,all,1.0
swe_classification_tier,kaggle_asaniczka,linkedin,swe,1.0
swe_classification_tier,scraped,indeed,all,1.0
swe_classification_tier,scraped,indeed,swe,1.0
swe_classification_tier,scraped,linkedin,all,1.0
swe_classification_tier,scraped,linkedin,swe,1.0
is_control,kaggle_arshkon,linkedin,all,1.0
is_control,kaggle_arshkon,linkedin,swe,1.0
is_control,kaggle_asaniczka,linkedin,all,1.0
is_control,kaggle_asaniczka,linkedin,swe,1.0
is_control,scraped,indeed,all,1.0
is_control,scraped,indeed,swe,1.0
is_control,scraped,linkedin,all,1.0
is_control,scraped,linkedin,swe,1.0
seniority_imputed,kaggle_arshkon,linkedin,all,1.0
seniority_imputed,kaggle_arshkon,linkedin,swe,1.0
seniority_imputed,kaggle_asaniczka,linkedin,all,1.0
seniority_imputed,kaggle_asaniczka,linkedin,swe,1.0
seniority_imputed,scraped,indeed,all,1.0
seniority_imputed,scraped,indeed,swe,1.0
seniority_imputed,scraped,linkedin,all,1.0
seniority_imputed,scraped,linkedin,swe,1.0
seniority_source,kaggle_arshkon,linkedin,all,1.0
seniority_source,kaggle_arshkon,linkedin,swe,1.0
seniority_source,kaggle_asaniczka,linkedin,all,1.0
seniority_source,kaggle_asaniczka,linkedin,swe,1.0
seniority_source,scraped,indeed,all,1.0
seniority_source,scraped,indeed,swe,1.0
seniority_source,scraped,linkedin,all,1.0
seniority_source,scraped,linkedin,swe,1.0
seniority_confidence,kaggle_arshkon,linkedin,all,1.0
seniority_confidence,kaggle_arshkon,linkedin,swe,1.0
seniority_confidence,kaggle_asaniczka,linkedin,all,1.0
seniority_confidence,kaggle_asaniczka,linkedin,swe,1.0
seniority_confidence,scraped,indeed,all,1.0
seniority_confidence,scraped,indeed,swe,1.0
seniority_confidence,scraped,linkedin,all,1.0
seniority_confidence,scraped,linkedin,swe,1.0
seniority_final,kaggle_arshkon,linkedin,all,1.0
seniority_final,kaggle_arshkon,linkedin,swe,1.0
seniority_final,kaggle_asaniczka,linkedin,all,1.0
seniority_final,kaggle_asaniczka,linkedin,swe,1.0
seniority_final,scraped,indeed,all,1.0
seniority_final,scraped,indeed,swe,1.0
seniority_final,scraped,linkedin,all,1.0
seniority_final,scraped,linkedin,swe,1.0
seniority_final_source,kaggle_arshkon,linkedin,all,1.0
seniority_final_source,kaggle_arshkon,linkedin,swe,1.0
seniority_final_source,kaggle_asaniczka,linkedin,all,1.0
seniority_final_source,kaggle_asaniczka,linkedin,swe,1.0
seniority_final_source,scraped,indeed,all,1.0
seniority_final_source,scraped,indeed,swe,1.0
seniority_final_source,scraped,linkedin,all,1.0
seniority_final_source,scraped,linkedin,swe,1.0
seniority_final_confidence,kaggle_arshkon,linkedin,all,1.0
seniority_final_confidence,kaggle_arshkon,linkedin,swe,1.0
seniority_final_confidence,kaggle_asaniczka,linkedin,all,1.0
seniority_final_confidence,kaggle_asaniczka,linkedin,swe,1.0
seniority_final_confidence,scraped,indeed,all,1.0
seniority_final_confidence,scraped,indeed,swe,1.0
seniority_final_confidence,scraped,linkedin,all,1.0
seniority_final_confidence,scraped,linkedin,swe,1.0
yoe_extracted,kaggle_arshkon,linkedin,all,0.20303132938187976
yoe_extracted,kaggle_arshkon,linkedin,swe,0.3926340727977601
yoe_extracted,kaggle_asaniczka,linkedin,all,0.12639087099385235
yoe_extracted,kaggle_asaniczka,linkedin,swe,0.32911447649805786
yoe_extracted,scraped,indeed,all,0.10680327264686372
yoe_extracted,scraped,indeed,swe,0.1565703634669152
yoe_extracted,scraped,linkedin,all,0.1499273824153726
yoe_extracted,scraped,linkedin,swe,0.1604032997250229
yoe_seniority_contradiction,kaggle_arshkon,linkedin,all,1.0
yoe_seniority_contradiction,kaggle_arshkon,linkedin,swe,1.0
yoe_seniority_contradiction,kaggle_asaniczka,linkedin,all,1.0
yoe_seniority_contradiction,kaggle_asaniczka,linkedin,swe,1.0
yoe_seniority_contradiction,scraped,indeed,all,1.0
yoe_seniority_contradiction,scraped,indeed,swe,1.0
yoe_seniority_contradiction,scraped,linkedin,all,1.0
yoe_seniority_contradiction,scraped,linkedin,swe,1.0
seniority_cross_check,kaggle_arshkon,linkedin,all,1.0
seniority_cross_check,kaggle_arshkon,linkedin,swe,1.0
seniority_cross_check,kaggle_asaniczka,linkedin,all,1.0
seniority_cross_check,kaggle_asaniczka,linkedin,swe,1.0
seniority_cross_check,scraped,indeed,all,1.0
seniority_cross_check,scraped,indeed,swe,1.0
seniority_cross_check,scraped,linkedin,all,1.0
seniority_cross_check,scraped,linkedin,swe,1.0
seniority_3level,kaggle_arshkon,linkedin,all,1.0
seniority_3level,kaggle_arshkon,linkedin,swe,1.0
seniority_3level,kaggle_asaniczka,linkedin,all,1.0
seniority_3level,kaggle_asaniczka,linkedin,swe,1.0
seniority_3level,scraped,indeed,all,1.0
seniority_3level,scraped,indeed,swe,1.0
seniority_3level,scraped,linkedin,all,1.0
seniority_3level,scraped,linkedin,swe,1.0
city_extracted,kaggle_arshkon,linkedin,all,0.9030397967823878
city_extracted,kaggle_arshkon,linkedin,swe,0.7912987292698687
city_extracted,kaggle_asaniczka,linkedin,all,0.9818045125564447
city_extracted,kaggle_asaniczka,linkedin,swe,0.969318727360014
city_extracted,scraped,indeed,all,0.9999262917373037
city_extracted,scraped,indeed,swe,1.0
city_extracted,scraped,linkedin,all,0.9624250549286858
city_extracted,scraped,linkedin,swe,0.9543996333638863
state_normalized,kaggle_arshkon,linkedin,all,0.8856900931414056
state_normalized,kaggle_arshkon,linkedin,swe,0.7641611027353005
state_normalized,kaggle_asaniczka,linkedin,all,0.9800657172082181
state_normalized,kaggle_asaniczka,linkedin,swe,0.9734648452843364
state_normalized,scraped,indeed,all,0.99764133559372
state_normalized,scraped,indeed,swe,1.0
state_normalized,scraped,linkedin,all,0.961196141958068
state_normalized,scraped,linkedin,swe,0.9495875343721356
country_extracted,kaggle_arshkon,linkedin,all,0.9579932260795936
country_extracted,kaggle_arshkon,linkedin,swe,0.9347404695240147
country_extracted,kaggle_asaniczka,linkedin,all,0.9867961113697948
country_extracted,kaggle_asaniczka,linkedin,swe,0.9833718849561385
country_extracted,scraped,indeed,all,1.0
country_extracted,scraped,indeed,swe,1.0
country_extracted,scraped,linkedin,all,0.9648084012959446
country_extracted,scraped,linkedin,swe,0.9564619615032081
is_remote_inferred,kaggle_arshkon,linkedin,all,1.0
is_remote_inferred,kaggle_arshkon,linkedin,swe,1.0
is_remote_inferred,kaggle_asaniczka,linkedin,all,1.0
is_remote_inferred,kaggle_asaniczka,linkedin,swe,1.0
is_remote_inferred,scraped,indeed,all,1.0
is_remote_inferred,scraped,indeed,swe,1.0
is_remote_inferred,scraped,linkedin,all,1.0
is_remote_inferred,scraped,linkedin,swe,1.0
metro_area,kaggle_arshkon,linkedin,all,0.5954953429297206
metro_area,kaggle_arshkon,linkedin,swe,0.6601335343527891
metro_area,kaggle_asaniczka,linkedin,all,0.5910440233514265
metro_area,kaggle_asaniczka,linkedin,swe,0.7580412866058569
metro_area,scraped,indeed,all,0.8623129652834083
metro_area,scraped,indeed,swe,0.8434296365330848
metro_area,scraped,linkedin,all,0.825121960302387
metro_area,scraped,linkedin,swe,0.7486251145737856
metro_source,kaggle_arshkon,linkedin,all,1.0
metro_source,kaggle_arshkon,linkedin,swe,1.0
metro_source,kaggle_asaniczka,linkedin,all,1.0
metro_source,kaggle_asaniczka,linkedin,swe,1.0
metro_source,scraped,indeed,all,1.0
metro_source,scraped,indeed,swe,1.0
metro_source,scraped,linkedin,all,1.0
metro_source,scraped,linkedin,swe,1.0
metro_confidence,kaggle_arshkon,linkedin,all,1.0
metro_confidence,kaggle_arshkon,linkedin,swe,1.0
metro_confidence,kaggle_asaniczka,linkedin,all,1.0
metro_confidence,kaggle_asaniczka,linkedin,swe,1.0
metro_confidence,scraped,indeed,all,1.0
metro_confidence,scraped,indeed,swe,1.0
metro_confidence,scraped,linkedin,all,1.0
metro_confidence,scraped,linkedin,swe,1.0
period,kaggle_arshkon,linkedin,all,1.0
period,kaggle_arshkon,linkedin,swe,1.0
period,kaggle_asaniczka,linkedin,all,1.0
period,kaggle_asaniczka,linkedin,swe,1.0
period,scraped,indeed,all,1.0
period,scraped,indeed,swe,1.0
period,scraped,linkedin,all,1.0
period,scraped,linkedin,swe,1.0
scrape_week,kaggle_arshkon,linkedin,all,0.0
scrape_week,kaggle_arshkon,linkedin,swe,0.0
scrape_week,kaggle_asaniczka,linkedin,all,0.0
scrape_week,kaggle_asaniczka,linkedin,swe,0.0
scrape_week,scraped,indeed,all,1.0
scrape_week,scraped,indeed,swe,1.0
scrape_week,scraped,linkedin,all,1.0
scrape_week,scraped,linkedin,swe,1.0
date_flag,kaggle_arshkon,linkedin,all,1.0
date_flag,kaggle_arshkon,linkedin,swe,1.0
date_flag,kaggle_asaniczka,linkedin,all,1.0
