definition_code,side,definition,denominator,occ_group,period_group,eligible_n,denominator_n,numerator_n,share,agreement_verdict
S2,senior,seniority_final = director,eligible rows,swe_adjacent,2026,11592,11592.0,144.0,0.012422360248447204,mixed
S3,senior,raw title senior regex,eligible rows,swe,2024,22820,22820.0,12941.0,0.5670902716914987,mixed
S3,senior,raw title senior regex,eligible rows,control,2024,113955,113955.0,15490.0,0.1359308498968891,unanimous_up
S3,senior,raw title senior regex,eligible rows,swe_adjacent,2024,11816,11816.0,6666.0,0.5641503046716316,mixed
S3,senior,raw title senior regex,eligible rows,control,2026,41790,41790.0,9592.0,0.2295285953577411,unanimous_up
S3,senior,raw title senior regex,eligible rows,swe,2026,40881,40881.0,17289.0,0.42291039847361855,mixed
S3,senior,raw title senior regex,eligible rows,swe_adjacent,2026,11592,11592.0,5055.0,0.4360766045548654,mixed
S4,senior,yoe_extracted >= 5,YOE-known rows,swe,2024,22820,15745.0,10279.0,0.6528421721181328,mixed
S4,senior,yoe_extracted >= 5,YOE-known rows,control,2024,113955,54112.0,10201.0,0.18851641040804257,unanimous_up
S4,senior,yoe_extracted >= 5,YOE-known rows,swe_adjacent,2024,11816,8405.0,5237.0,0.623081499107674,mixed
S4,senior,yoe_extracted >= 5,YOE-known rows,control,2026,41790,23011.0,6720.0,0.2920342444917648,unanimous_up
S4,senior,yoe_extracted >= 5,YOE-known rows,swe,2026,40881,27581.0,15938.0,0.5778615713715964,mixed
S4,senior,yoe_extracted >= 5,YOE-known rows,swe_adjacent,2026,11592,7806.0,4550.0,0.5828849602869588,mixed
