spec,archetype,archetype_name,n_2024,n_2026,rate_2024,rate_2026,delta_pp,direction
yoe_le2_of_all,3,JS frontend (React/TypeScript),2031.0,1340.0,0.06400787789266371,0.09925373134328358,3.524585345061987,up
yoe_le2_of_all,4,Java enterprise (Spring/microservices),2254.0,1146.0,0.07808340727595386,0.09947643979057591,2.139303251462205,up
yoe_le2_of_all,5,Data engineering (Spark/ETL),1347.0,947.0,0.07498144023756496,0.0897571277719113,1.477568753434634,up
yoe_le2_of_all,6,Embedded / firmware,1476.0,723.0,0.08130081300813008,0.14522821576763487,6.392740275950478,up
yoe_le2_of_all,7,.NET / ASP.NET full-stack,1250.0,323.0,0.0632,0.09287925696594428,2.967925696594427,up
yoe_le2_of_all,8,Agile/Scrum generalist,1081.0,434.0,0.11100832562442182,0.12442396313364056,1.341563750921873,up
yoe_le2_of_all,9,iOS / Swift mobile,229.0,200.0,0.06550218340611354,0.115,4.949781659388647,up
yoe_le2_of_all,10,AWS cloud SDE (Amazon template),576.0,307.0,0.06597222222222222,0.09120521172638436,2.5232989504162138,up
yoe_le2_of_all,11,QA / test automation,293.0,177.0,0.07849829351535836,0.13559322033898305,5.709492682362469,up
yoe_le2_of_all,12,Azure data platform,160.0,106.0,0.08125,0.07547169811320754,-0.5778301886792458,down
yoe_le2_of_all,13,Amazon program boilerplate,244.0,218.0,0.14344262295081966,0.44036697247706424,29.69243495262446,up
yoe_le2_of_all,14,US gov SCI-cleared SWE,261.0,156.0,0.0421455938697318,0.07692307692307693,3.4777483053345124,up
yoe_le2_of_all,15,GPU / CUDA / systems perf,98.0,103.0,0.08163265306122448,0.11650485436893204,3.4872201307707558,up
yoe_le2_of_all,16,Python web backend (Django/Flask),207.0,114.0,0.04830917874396135,0.06140350877192982,1.3094330027968468,up
yoe_le2_of_all,17,AWS cloud generic template,632.0,94.0,0.01740506329113924,0.09574468085106383,7.833961755992459,up
yoe_le2_of_all,18,Android / Kotlin mobile,92.0,82.0,0.06521739130434782,0.0975609756097561,3.2343584305408277,up
yoe_le2_of_all,19,Generic JS/Python boilerplate,101.0,58.0,0.0891089108910891,0.1896551724137931,10.0546261522704,up
yoe_le2_of_known,0,LLM / GenAI / ML engineering,637.0,1626.0,0.14599686028257458,0.18327183271832717,3.727497243575259,up
yoe_le2_of_known,1,Defense & cleared regulated work,4266.0,1002.0,0.11978434130332864,0.2245508982035928,10.476655690026417,up
yoe_le2_of_known,2,DevOps / SRE / platform,1746.0,1356.0,0.09965635738831616,0.12315634218289086,2.34999847945747,up
yoe_le2_of_known,3,JS frontend (React/TypeScript),1270.0,855.0,0.10236220472440945,0.15555555555555556,5.319335083114611,up
yoe_le2_of_known,4,Java enterprise (Spring/microservices),1553.0,794.0,0.11332904056664521,0.14357682619647355,3.024778562982834,up
yoe_le2_of_known,5,Data engineering (Spark/ETL),918.0,635.0,0.11002178649237472,0.13385826771653545,2.3836481224160724,up
yoe_le2_of_known,6,Embedded / firmware,1019.0,519.0,0.11776251226692837,0.2023121387283237,8.454962646139535,up
yoe_le2_of_known,7,.NET / ASP.NET full-stack,791.0,216.0,0.09987357774968394,0.1388888888888889,3.901531113920495,up
yoe_le2_of_known,8,Agile/Scrum generalist,810.0,312.0,0.14814814814814814,0.17307692307692307,2.4928774928774935,up
yoe_le2_of_known,9,iOS / Swift mobile,131.0,132.0,0.11450381679389313,0.17424242424242425,5.973860744853113,up
yoe_le2_of_known,10,AWS cloud SDE (Amazon template),458.0,247.0,0.08296943231441048,0.11336032388663968,3.0390891572229197,up
yoe_le2_of_known,11,QA / test automation,190.0,129.0,0.12105263157894737,0.18604651162790697,6.499388004895961,up
yoe_le2_of_known,12,Azure data platform,112.0,67.0,0.11607142857142858,0.11940298507462686,0.3331556503198288,up
yoe_le2_of_known,13,Amazon program boilerplate,168.0,186.0,0.20833333333333334,0.5161290322580645,30.779569892473113,up
yoe_le2_of_known,14,US gov SCI-cleared SWE,207.0,64.0,0.05314009661835749,0.1875,13.435990338164249,up
yoe_le2_of_known,15,GPU / CUDA / systems perf,58.0,59.0,0.13793103448275862,0.2033898305084746,6.545879602571597,up
yoe_le2_of_known,16,Python web backend (Django/Flask),126.0,68.0,0.07936507936507936,0.10294117647058823,2.357609710550887,up
yoe_le2_of_known,17,AWS cloud generic template,391.0,85.0,0.028132992327365727,0.10588235294117647,7.774936061381074,up
yoe_le2_of_known,18,Android / Kotlin mobile,60.0,51.0,0.1,0.1568627450980392,5.686274509803921,up
yoe_le2_of_known,19,Generic JS/Python boilerplate,72.0,43.0,0.125,0.2558139534883721,13.08139534883721,up
