archetype,archetype_name,n_2024,n_2026,value_2024,value_2026,delta,metric,restriction
4,Java enterprise (Spring/microservices),2254.0,1146.0,7.721384205856255,9.567190226876091,1.8458060210198362,tech_count,all
5,Data engineering (Spark/ETL),1347.0,947.0,6.143281365998515,6.627243928194297,0.4839625621957824,tech_count,all
6,Embedded / firmware,1476.0,723.0,2.609078590785908,2.499308437067773,-0.10977015371813481,tech_count,all
7,.NET / ASP.NET full-stack,1250.0,323.0,6.2832,7.8328173374613,1.5496173374613003,tech_count,all
8,Agile/Scrum generalist,1081.0,434.0,5.184088806660499,5.9308755760368665,0.7467867693763672,tech_count,all
9,iOS / Swift mobile,229.0,200.0,2.995633187772926,3.23,0.23436681222707412,tech_count,all
10,AWS cloud SDE (Amazon template),576.0,307.0,6.3125,7.631921824104235,1.3194218241042348,tech_count,all
11,QA / test automation,293.0,177.0,5.146757679180888,6.31638418079096,1.1696265016100726,tech_count,all
12,Azure data platform,160.0,106.0,6.0375,7.283018867924528,1.2455188679245284,tech_count,all
13,Amazon program boilerplate,244.0,218.0,2.3237704918032787,2.169724770642202,-0.15404572116107662,tech_count,all
14,US gov SCI-cleared SWE,261.0,156.0,3.3295019157088124,4.391025641025641,1.061523725316829,tech_count,all
15,GPU / CUDA / systems perf,98.0,103.0,2.2142857142857144,3.029126213592233,0.8148404993065186,tech_count,all
16,Python web backend (Django/Flask),207.0,114.0,5.966183574879227,7.026315789473684,1.0601322145944572,tech_count,all
17,AWS cloud generic template,632.0,94.0,11.386075949367088,12.138297872340425,0.7522219229733373,tech_count,all
18,Android / Kotlin mobile,92.0,82.0,3.1739130434782608,3.2195121951219514,0.04559915164369066,tech_count,all
19,Generic JS/Python boilerplate,101.0,58.0,5.425742574257426,6.931034482758621,1.5052919085011949,tech_count,all
0,LLM / GenAI / ML engineering,1059.0,2559.0,0.1938680371597075,0.24556970465665548,0.05170166749694799,scope_density,has_clean_text
1,Defense & cleared regulated work,5676.0,1426.0,0.08031488171858532,0.1255501343762661,0.04523525265768079,scope_density,has_clean_text
2,DevOps / SRE / platform,2576.0,1943.0,0.0899968810374245,0.12987718236227,0.039880301324845505,scope_density,has_clean_text
3,JS frontend (React/TypeScript),2031.0,1340.0,0.17977483518916845,0.2638908614277834,0.08411602623861494,scope_density,has_clean_text
4,Java enterprise (Spring/microservices),2254.0,1146.0,0.1081472952821401,0.18268734070243134,0.07454004542029125,scope_density,has_clean_text
5,Data engineering (Spark/ETL),1347.0,947.0,0.1352640793537229,0.1752978159185711,0.04003373656484821,scope_density,has_clean_text
6,Embedded / firmware,1476.0,723.0,0.08498489647487698,0.1700259284439947,0.08504103196911772,scope_density,has_clean_text
7,.NET / ASP.NET full-stack,1250.0,323.0,0.08868670911659038,0.191405818680492,0.10271910956390162,scope_density,has_clean_text
8,Agile/Scrum generalist,1081.0,434.0,0.11996326530591607,0.1716706779305481,0.051707412624632035,scope_density,has_clean_text
9,iOS / Swift mobile,229.0,200.0,0.19158893611975836,0.2763037720284459,0.08471483590868756,scope_density,has_clean_text
10,AWS cloud SDE (Amazon template),576.0,307.0,0.12913628004777153,0.17699559592203898,0.04785931587426745,scope_density,has_clean_text
11,QA / test automation,293.0,177.0,0.12859282833165303,0.2093305954356599,0.08073776710400687,scope_density,has_clean_text
12,Azure data platform,160.0,106.0,0.1507393263692392,0.18949904158101621,0.03875971521177701,scope_density,has_clean_text
13,Amazon program boilerplate,244.0,218.0,0.09692307242288528,0.09276574119360896,-0.00415733122927632,scope_density,has_clean_text
14,US gov SCI-cleared SWE,261.0,156.0,0.03266082484873459,0.09360751767585174,0.06094669282711715,scope_density,has_clean_text
15,GPU / CUDA / systems perf,98.0,103.0,0.12039452457449014,0.15984368351643807,0.039449158941947934,scope_density,has_clean_text
16,Python web backend (Django/Flask),207.0,114.0,0.13526858154758953,0.2269968673152097,0.09172828576762018,scope_density,has_clean_text
17,AWS cloud generic template,632.0,94.0,0.05151596667602268,0.10039665488122083,0.048880688205198156,scope_density,has_clean_text
18,Android / Kotlin mobile,92.0,82.0,0.14636137611394015,0.2627543467550092,0.11639297064106904,scope_density,has_clean_text
19,Generic JS/Python boilerplate,101.0,58.0,0.13202742722242766,0.16526107190892578,0.033233644686498115,scope_density,has_clean_text
0,LLM / GenAI / ML engineering,1059.0,2559.0,0.3153918791312559,0.45330207112153187,0.137910191990276,any_scope,all
1,Defense & cleared regulated work,5676.0,1426.0,0.17107117688513038,0.2805049088359046,0.10943373195077424,any_scope,all
2,DevOps / SRE / platform,2576.0,1943.0,0.1906055900621118,0.30519814719505917,0.11459255713294736,any_scope,all
3,JS frontend (React/TypeScript),2031.0,1340.0,0.27277203348104384,0.4298507462686567,0.15707871278761287,any_scope,all
4,Java enterprise (Spring/microservices),2254.0,1146.0,0.20408163265306123,0.3612565445026178,0.15717491184955656,any_scope,all
5,Data engineering (Spark/ETL),1347.0,947.0,0.2516703786191537,0.34635691657866946,0.09468653795951576,any_scope,all
6,Embedded / firmware,1476.0,723.0,0.15989159891598917,0.34716459197787,0.1872729930618808,any_scope,all
7,.NET / ASP.NET full-stack,1250.0,323.0,0.156,0.3591331269349845,0.2031331269349845,any_scope,all
8,Agile/Scrum generalist,1081.0,434.0,0.24421831637372804,0.3686635944700461,0.12444527809631806,any_scope,all
9,iOS / Swift mobile,229.0,200.0,0.2576419213973799,0.435,0.1773580786026201,any_scope,all
10,AWS cloud SDE (Amazon template),576.0,307.0,0.2326388888888889,0.4006514657980456,0.16801257690915672,any_scope,all
11,QA / test automation,293.0,177.0,0.24914675767918087,0.4180790960451977,0.16893233836601684,any_scope,all
12,Azure data platform,160.0,106.0,0.26875,0.4528301886792453,0.1840801886792453,any_scope,all
13,Amazon program boilerplate,244.0,218.0,0.14754098360655737,0.15137614678899083,0.0038351631824334598,any_scope,all
14,US gov SCI-cleared SWE,261.0,156.0,0.06896551724137931,0.1794871794871795,0.11052166224580018,any_scope,all
15,GPU / CUDA / systems perf,98.0,103.0,0.21428571428571427,0.32038834951456313,0.10610263522884886,any_scope,all
16,Python web backend (Django/Flask),207.0,114.0,0.15942028985507245,0.34210526315789475,0.1826849733028223,any_scope,all
17,AWS cloud generic template,632.0,94.0,0.08227848101265822,0.1702127659574468,0.08793428494478858,any_scope,all
18,Android / Kotlin mobile,92.0,82.0,0.20652173913043478,0.4146341463414634,0.2081124072110286,any_scope,all
19,Generic JS/Python boilerplate,101.0,58.0,0.24752475247524752,0.39655172413793105,0.14902697166268353,any_scope,all
0,LLM / GenAI / ML engineering,1059.0,2559.0,0.5873465533522191,0.8589292692457992,0.2715827158935801,any_ai_narrow,all
1,Defense & cleared regulated work,5676.0,1426.0,0.052677942212825936,0.16479663394109398,0.11211869172826805,any_ai_narrow,all
2,DevOps / SRE / platform,2576.0,1943.0,0.07996894409937888,0.3901183736489964,0.3101494295496175,any_ai_narrow,all
3,JS frontend (React/TypeScript),2031.0,1340.0,0.12703101920236337,0.5216417910447761,0.3946107718424128,any_ai_narrow,all
4,Java enterprise (Spring/microservices),2254.0,1146.0,0.05989352262644188,0.33158813263525305,0.2716946100088112,any_ai_narrow,all
5,Data engineering (Spark/ETL),1347.0,947.0,0.12249443207126949,0.44350580781414994,0.32101137574288047,any_ai_narrow,all
6,Embedded / firmware,1476.0,723.0,0.10094850948509485,0.3236514522821577,0.22270294279706285,any_ai_narrow,all
7,.NET / ASP.NET full-stack,1250.0,323.0,0.048,0.3653250773993808,0.3173250773993808,any_ai_narrow,all
8,Agile/Scrum generalist,1081.0,434.0,0.08973172987974098,0.35253456221198154,0.26280283233224055,any_ai_narrow,all
9,iOS / Swift mobile,229.0,200.0,0.0611353711790393,0.375,0.3138646288209607,any_ai_narrow,all
10,AWS cloud SDE (Amazon template),576.0,307.0,0.08159722222222222,0.44625407166123776,0.36465684943901555,any_ai_narrow,all
11,QA / test automation,293.0,177.0,0.023890784982935155,0.21468926553672316,0.190798480553788,any_ai_narrow,all
12,Azure data platform,160.0,106.0,0.15,0.3490566037735849,0.1990566037735849,any_ai_narrow,all
13,Amazon program boilerplate,244.0,218.0,0.18032786885245902,0.6697247706422018,0.4893969017897428,any_ai_narrow,all
14,US gov SCI-cleared SWE,261.0,156.0,0.0842911877394636,0.24358974358974358,0.15929855585027997,any_ai_narrow,all
15,GPU / CUDA / systems perf,98.0,103.0,0.4489795918367347,0.6893203883495146,0.2403407965127799,any_ai_narrow,all
16,Python web backend (Django/Flask),207.0,114.0,0.11594202898550725,0.5789473684210527,0.4630053394355454,any_ai_narrow,all
17,AWS cloud generic template,632.0,94.0,0.028481012658227847,0.10638297872340426,0.07790196606517641,any_ai_narrow,all
18,Android / Kotlin mobile,92.0,82.0,0.07608695652173914,0.23170731707317074,0.1556203605514316,any_ai_narrow,all
19,Generic JS/Python boilerplate,101.0,58.0,0.26732673267326734,0.7413793103448276,0.4740525776715603,any_ai_narrow,all
0,LLM / GenAI / ML engineering,1059.0,2559.0,0.4173748819641171,0.7026182102383743,0.28524332827425725,any_ai_broad,all
1,Defense & cleared regulated work,5676.0,1426.0,0.010747004933051444,0.028751753155680224,0.018004748222628777,any_ai_broad,all
2,DevOps / SRE / platform,2576.0,1943.0,0.01436335403726708,0.11682964487905301,0.10246629084178593,any_ai_broad,all
3,JS frontend (React/TypeScript),2031.0,1340.0,0.024618414574101428,0.17164179104477612,0.14702337647067468,any_ai_broad,all
4,Java enterprise (Spring/microservices),2254.0,1146.0,0.0075421472937000885,0.12390924956369982,0.11636710226999973,any_ai_broad,all
5,Data engineering (Spark/ETL),1347.0,947.0,0.031180400890868598,0.1235480464625132,0.0923676455716446,any_ai_broad,all
6,Embedded / firmware,1476.0,723.0,0.01016260162601626,0.03734439834024896,0.027181796714232702,any_ai_broad,all
7,.NET / ASP.NET full-stack,1250.0,323.0,0.0104,0.14551083591331268,0.1351108359133127,any_ai_broad,all
8,Agile/Scrum generalist,1081.0,434.0,0.020351526364477335,0.09216589861751152,0.07181437225303419,any_ai_broad,all
9,iOS / Swift mobile,229.0,200.0,0.008733624454148471,0.1,0.09126637554585154,any_ai_broad,all
10,AWS cloud SDE (Amazon template),576.0,307.0,0.022569444444444444,0.20195439739413681,0.17938495294969237,any_ai_broad,all
11,QA / test automation,293.0,177.0,0.0034129692832764505,0.062146892655367235,0.05873392337209078,any_ai_broad,all
12,Azure data platform,160.0,106.0,0.05,0.11320754716981132,0.06320754716981132,any_ai_broad,all
13,Amazon program boilerplate,244.0,218.0,0.04918032786885246,0.06880733944954129,0.01962701158068883,any_ai_broad,all
14,US gov SCI-cleared SWE,261.0,156.0,0.019157088122605363,0.03205128205128205,0.012894193928676686,any_ai_broad,all
15,GPU / CUDA / systems perf,98.0,103.0,0.20408163265306123,0.2524271844660194,0.04834555181295819,any_ai_broad,all
16,Python web backend (Django/Flask),207.0,114.0,0.033816425120772944,0.24561403508771928,0.21179760996694635,any_ai_broad,all
17,AWS cloud generic template,632.0,94.0,0.007911392405063292,0.02127659574468085,0.013365203339617559,any_ai_broad,all
18,Android / Kotlin mobile,92.0,82.0,0.010869565217391304,0.07317073170731707,0.062301166489925765,any_ai_broad,all
19,Generic JS/Python boilerplate,101.0,58.0,0.1188118811881188,0.41379310344827586,0.29498122226015705,any_ai_broad,all
0,LLM / GenAI / ML engineering,1059.0,2559.0,1.6685552407932012,1.1832747166862057,-0.4852805241069955,credential_stack_depth,has_clean_text
1,Defense & cleared regulated work,5676.0,1426.0,2.048449612403101,1.597475455820477,-0.45097415658262396,credential_stack_depth,has_clean_text
2,DevOps / SRE / platform,2576.0,1943.0,1.6401397515527951,1.0499227997941327,-0.5902169517586624,credential_stack_depth,has_clean_text
3,JS frontend (React/TypeScript),2031.0,1340.0,1.1600196947316592,0.6895522388059702,-0.47046745592568906,credential_stack_depth,has_clean_text
4,Java enterprise (Spring/microservices),2254.0,1146.0,1.409494232475599,1.057591623036649,-0.3519026094389499,credential_stack_depth,has_clean_text
5,Data engineering (Spark/ETL),1347.0,947.0,1.5694135115070527,0.9683210137275607,-0.6010924977794919,credential_stack_depth,has_clean_text
6,Embedded / firmware,1476.0,723.0,1.7811653116531165,1.5076071922544951,-0.2735581193986214,credential_stack_depth,has_clean_text
7,.NET / ASP.NET full-stack,1250.0,323.0,1.4328,1.1486068111455108,-0.2841931888544893,credential_stack_depth,has_clean_text
8,Agile/Scrum generalist,1081.0,434.0,1.8926919518963923,1.4377880184331797,-0.45490393346321256,credential_stack_depth,has_clean_text
9,iOS / Swift mobile,229.0,200.0,1.2358078602620088,0.885,-0.35080786026200883,credential_stack_depth,has_clean_text
10,AWS cloud SDE (Amazon template),576.0,307.0,1.7725694444444444,1.1498371335504887,-0.6227323108939558,credential_stack_depth,has_clean_text
11,QA / test automation,293.0,177.0,1.3037542662116042,1.07909604519774,-0.22465822101386412,credential_stack_depth,has_clean_text
12,Azure data platform,160.0,106.0,1.55625,1.2924528301886793,-0.2637971698113206,credential_stack_depth,has_clean_text
13,Amazon program boilerplate,244.0,218.0,1.9877049180327868,2.8394495412844036,0.8517446232516168,credential_stack_depth,has_clean_text
14,US gov SCI-cleared SWE,261.0,156.0,1.78544061302682,1.3717948717948718,-0.4136457412319481,credential_stack_depth,has_clean_text
15,GPU / CUDA / systems perf,98.0,103.0,1.846938775510204,1.3398058252427185,-0.5071329502674855,credential_stack_depth,has_clean_text
16,Python web backend (Django/Flask),207.0,114.0,1.038647342995169,0.5350877192982456,-0.5035596236969234,credential_stack_depth,has_clean_text
17,AWS cloud generic template,632.0,94.0,2.2816455696202533,2.0851063829787235,-0.1965391866415298,credential_stack_depth,has_clean_text
18,Android / Kotlin mobile,92.0,82.0,1.2282608695652173,1.0,-0.2282608695652173,credential_stack_depth,has_clean_text
19,Generic JS/Python boilerplate,101.0,58.0,1.9405940594059405,1.4655172413793103,-0.47507681802663027,credential_stack_depth,has_clean_text
0,LLM / GenAI / ML engineering,1059.0,2559.0,0.18602455146364494,0.2543962485345838,0.06837169707093887,any_mentor,all
1,Defense & cleared regulated work,5676.0,1426.0,0.15081042988019733,0.18863955119214587,0.037829121311948544,any_mentor,all
2,DevOps / SRE / platform,2576.0,1943.0,0.19371118012422361,0.25218733916623776,0.05847615904201414,any_mentor,all
3,JS frontend (React/TypeScript),2031.0,1340.0,0.21073362875430823,0.2798507462686567,0.06911711751434846,any_mentor,all
4,Java enterprise (Spring/microservices),2254.0,1146.0,0.2111801242236025,0.28272251308900526,0.07154238886540276,any_mentor,all
5,Data engineering (Spark/ETL),1347.0,947.0,0.1789161098737936,0.24392819429778248,0.06501208442398887,any_mentor,all
6,Embedded / firmware,1476.0,723.0,0.1402439024390244,0.1991701244813278,0.05892622204230338,any_mentor,all
7,.NET / ASP.NET full-stack,1250.0,323.0,0.184,0.3065015479876161,0.12250154798761609,any_mentor,all
8,Agile/Scrum generalist,1081.0,434.0,0.32562442183163737,0.31797235023041476,-0.00765207160122261,any_mentor,all
9,iOS / Swift mobile,229.0,200.0,0.2794759825327511,0.37,0.09052401746724892,any_mentor,all
10,AWS cloud SDE (Amazon template),576.0,307.0,0.2777777777777778,0.46254071661237783,0.18476293883460004,any_mentor,all
11,QA / test automation,293.0,177.0,0.16040955631399317,0.2033898305084746,0.042980274194481416,any_mentor,all
12,Azure data platform,160.0,106.0,0.175,0.24528301886792453,0.07028301886792454,any_mentor,all
13,Amazon program boilerplate,244.0,218.0,0.0860655737704918,0.12385321100917432,0.03778763723868252,any_mentor,all
14,US gov SCI-cleared SWE,261.0,156.0,0.04597701149425287,0.05128205128205128,0.005305039787798407,any_mentor,all
15,GPU / CUDA / systems perf,98.0,103.0,0.07142857142857142,0.13592233009708737,0.06449375866851595,any_mentor,all
16,Python web backend (Django/Flask),207.0,114.0,0.10628019323671498,0.2543859649122807,0.14810577167556574,any_mentor,all
17,AWS cloud generic template,632.0,94.0,0.7753164556962026,0.7340425531914894,-0.04127390250471319,any_mentor,all
18,Android / Kotlin mobile,92.0,82.0,0.21739130434782608,0.2804878048780488,0.06309650053022273,any_mentor,all
19,Generic JS/Python boilerplate,101.0,58.0,0.2079207920792079,0.29310344827586204,0.08518265619665413,any_mentor,all
