source,state_normalized,n,share_of_state_known
asaniczka,WV,17,0.0010240963855421687
asaniczka,WY,2,0.00012048192771084337
scraped_linkedin,AK,0,0.0
scraped_linkedin,AL,0,0.0
scraped_linkedin,AR,0,0.0
scraped_linkedin,AZ,837,0.023495396362003144
scraped_linkedin,CA,8056,0.22613968111385582
scraped_linkedin,CO,989,0.02776218279811363
scraped_linkedin,CT,100,0.002807096339546373
scraped_linkedin,DC,438,0.012295081967213115
scraped_linkedin,DE,236,0.006624747361329441
scraped_linkedin,FL,753,0.02113743543678419
scraped_linkedin,GA,1255,0.03522905906130699
scraped_linkedin,HI,0,0.0
scraped_linkedin,IA,0,0.0
scraped_linkedin,ID,0,0.0
scraped_linkedin,IL,1225,0.03438693015944307
scraped_linkedin,IN,9,0.0002526386705591736
scraped_linkedin,KS,20,0.0005614192679092747
scraped_linkedin,KY,0,0.0
scraped_linkedin,LA,0,0.0
scraped_linkedin,MA,1733,0.048646979564338645
scraped_linkedin,MD,1459,0.04095553559398159
scraped_linkedin,ME,0,0.0
scraped_linkedin,MI,697,0.019565461486638222
scraped_linkedin,MN,690,0.019368964742869976
scraped_linkedin,MO,10,0.00028070963395463735
scraped_linkedin,MS,0,0.0
scraped_linkedin,MT,0,0.0
scraped_linkedin,NC,1853,0.052015495171794296
scraped_linkedin,ND,0,0.0
scraped_linkedin,NE,0,0.0
scraped_linkedin,NH,228,0.006400179654165731
scraped_linkedin,NJ,1409,0.0395519874242084
scraped_linkedin,NM,0,0.0
scraped_linkedin,NV,0,0.0
scraped_linkedin,NY,2681,0.07525825286323827
scraped_linkedin,OH,553,0.015523242757691444
scraped_linkedin,OK,0,0.0
scraped_linkedin,OR,176,0.004940489557601617
scraped_linkedin,PA,1032,0.02896923422411857
scraped_linkedin,RI,80,0.0022456770716370988
scraped_linkedin,SC,28,0.0007859869750729845
scraped_linkedin,SD,0,0.0
scraped_linkedin,TN,252,0.007073882775656861
scraped_linkedin,TX,4245,0.11916123961374354
scraped_linkedin,UT,0,0.0
scraped_linkedin,VA,2067,0.05802268133842353
scraped_linkedin,VT,0,0.0
scraped_linkedin,WA,2502,0.07023355041545026
scraped_linkedin,WI,7,0.00019649674376824613
scraped_linkedin,WV,4,0.00011228385358185493
scraped_linkedin,WY,0,0.0
